PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
0.7926121023729313,0.2916293157763214,0.2654915174903087,0.02573234864450128,0.6947378749054031,0.44192222090490557,0.3116661631051776,0.18649417180540093,-0.13748910475332457,-0.5384851070295383,0.011384641821810895,-0.28653229293498583,0.00715334722806682,-0.0029613658634169986,0.015389952158934002,-0.5865806446208155,0.06992985491375914,0.12925861337369432
-0.6597163186320172,-0.3968814866800124,-0.44505118383354697,-0.09348025672505805,-0.2072486951021768,0.8023555658411325,-0.39052613650334617,-0.4317938831031114,-0.13033439117406082,-0.07073196748150931,-0.05203497507436621,0.014072220738768983,0.30678820643312,0.3060858081288821,-0.4039172260916814,-0.11819463287097705,-0.18460553541390484,-0.06158537014671935
0.6303881765757086,0.6086771710967452,-0.011194179400786156,0.04848533263894032,-0.2644503451845144,-0.251805858398527,0.10441363073061127,-0.060246499706280036,-0.06433765121567739,-0.3634886658511557,-0.056172166620846356,0.1043977033306379,0.06384389745123137,-0.05056100629059029,0.4246885455628219,-0.037765378879930485,0.14404830177664593,0.11060401480034056
0.7628114614300197,0.5638273844829467,0.12739740280608708,-0.08640991484036371,0.1919603560822597,-0.05190016237132653,-0.04131016907577541,0.11222546534438435,-0.011615036185212098,0.11654527340575344,0.036398369633560385,0.25913362483683505,0.07186323659914963,-0.12290748804401984,-0.08924769859962785,-0.14872725875264706,-0.14570076153268408,0.04932487332278466
0.6661191942082004,0.0031514777898693004,-0.054418936775841885,0.29383125179819436,0.26508771888313737,-0.7430415098941014,-0.05953336946443831,-0.3673833814520118,-0.16066591235748898,-0.32095816362596524,0.17671709151371,-0.20909334737029683,0.09527833898108315,-0.12070064658006241,-0.4201443996772476,0.01542460230098695,-0.29617580366145907,-0.10475046262905455
0.6399941866298507,-0.1479014120048488,-0.13955817515922275,0.5745346293543604,0.23399746322470705,-0.5021079811907061,-0.38228272760343174,-0.4905869105399891,-0.1623538271251847,-0.6825880785290969,0.13313314833093817,-0.02393020338310975,-0.665751200751916,-0.4674039207749282,-0.37680613045845607,-0.09131845573236895,-0.019698621135275783,-0.004143434493500238
-0.5791651678993341,-0.1254627655792468,-0.5198497096054233,-0.6395225330264686,-0.509976414339725,-0.05194347484778957,0.14426070614093953,0.333041459073381,0.3057440849344692,0.3222893077749647,-0.5417359512168854,-0.3447088262373001,0.07131228933247358,-0.4510607844890977,-0.19509070895594255,-0.01664060790818602,-0.25523156953256454,0.0794388243704045
0.7622996274771942,0.3977730838296731,0.2520804734976901,-0.10703452403141044,0.6796096274976925,0.27615865912349735,-0.23918961047872786,-0.2813805384046026,0.04446331369754443,-0.019869742518902965,-0.03693147880200945,0.3608328580518962,0.11530526850161305,-0.07987978251408646,0.2765434372698941,-0.1708091145696944,-0.12699768842287992,0.09731666139056148
-0.7368117034375015,0.4829867216156678,-0.0903736492187093,0.013610797844858274,0.1151113800587484,0.03207564505075531,0.06014253184929684,-0.386870351465745,0.0376823533359538,-0.06401620247629855,-0.046027900805772744,-0.08549677168333074,-0.09178761444222806,0.046845392908581925,0.5641971750855108,0.049320989851961074,-0.22615074441717586,0.13108103248898387
-0.6498218314579222,-0.3718000440696923,-0.45108562144666864,1.0869957346535413,0.01936805416256874,-0.4755808682037874,0.04376011934214631,-0.21094030862091512,-0.2731663542884452,0.36944207938083024,-0.2354538563204826,-0.1256205242884417,0.130383853013013,0.6012650205812445,-0.1964540145785935,-0.27508709497427547,-0.2677845612359147,0.03860200858992923
