,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,ORIENTSEX.BN_1,ORIENTSEX.BN_2
613,1,0.0,17.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,1,1.8,0.16,3.125,3.5,1.109375,3.7142857142857135,4.0,0.2040816326530612,5.0,0.0,5.0,1,0,1,0
614,1,0.0,17.0,1.0,3,3,1.0,0.0,1.0,0.0,1.0,0,3.2,0.1599999999999999,2.625,3.0,0.234375,3.7142857142857135,4.0,0.489795918367347,4.2,0.5599999999999999,4.0,1,0,1,0
615,2,1.0,17.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.4,0.64,2.25,2.0,1.4375,1.8571428571428568,1.0,1.2653061224489797,4.4,0.24,1.0,1,0,1,0
616,1,0.0,16.0,1.0,2,2,0.0,1.0,0.0,0.0,0.0,1,2.4,0.24,2.375,2.0,0.734375,3.4285714285714284,4.0,0.816326530612245,4.2,0.5599999999999999,4.0,1,0,1,0
617,1,0.0,16.0,0.0,4,4,1.0,0.0,1.0,0.0,0.0,0,2.6,0.24,2.5,2.5,1.25,3.7142857142857135,4.0,0.2040816326530612,4.4,0.6399999999999999,5.0,1,0,1,0
618,1,0.0,17.0,1.0,3,3,0.0,0.0,1.0,0.0,0.0,0,3.6,0.24,2.0,2.0,0.0,3.857142857142857,4.0,0.1224489795918367,2.8,0.5599999999999999,5.0,1,0,1,0
619,1,0.0,17.0,0.0,3,3,1.0,0.0,1.0,0.0,0.0,0,3.2,0.1599999999999999,2.25,2.0,0.1875,3.4285714285714284,4.0,0.5306122448979592,4.0,0.4,5.0,1,0,0,1
620,1,0.0,17.0,0.0,4,3,0.0,1.0,0.0,0.0,0.0,0,3.0,0.4,2.5,2.5,0.75,4.0,4.0,0.0,5.0,0.0,5.0,1,0,1,0
621,1,0.0,17.0,0.0,3,3,1.0,1.0,0.0,0.0,0.0,0,2.8,0.1599999999999999,1.625,1.5,0.484375,3.857142857142857,4.0,0.1224489795918367,3.8,1.36,1.0,0,1,1,0
622,1,0.0,17.0,0.0,2,0,1.0,0.0,0.0,0.0,1.0,0,3.0,0.0,3.0,3.5,1.5,3.571428571428572,4.0,0.2448979591836734,2.4,1.84,1.0,0,1,1,0
623,1,0.0,16.0,0.0,4,3,1.0,1.0,0.0,0.0,1.0,0,2.0,1.2,3.0,3.0,0.5,3.857142857142857,4.0,0.1224489795918367,3.4,2.64,3.0,0,1,1,0
624,1,0.0,17.0,0.0,3,3,1.0,1.0,0.0,0.0,0.0,0,3.2,0.96,2.375,2.5,0.984375,3.857142857142857,4.0,0.1224489795918367,4.2,1.36,1.0,0,1,1,0
625,1,0.0,17.0,0.0,2,2,1.0,0.0,0.0,0.0,1.0,0,2.6,1.04,2.875,3.5,1.609375,4.0,4.0,0.0,4.4,0.24,1.0,0,1,1,0
626,1,0.0,17.0,0.0,2,0,1.0,0.0,0.0,0.0,1.0,0,2.8,0.1599999999999999,2.5,2.5,1.25,3.571428571428572,4.0,0.2448979591836734,4.8,0.1599999999999999,1.0,0,1,1,0
627,1,1.0,17.0,0.0,2,0,1.0,1.0,1.0,1.0,1.0,1,4.0,0.0,2.0,2.0,0.75,3.9596343430722354,4.0,0.00977631755526,4.8,0.1599999999999999,5.0,1,0,1,0
628,1,0.0,17.0,0.0,3,2,1.0,1.0,0.0,0.0,1.0,0,3.8,0.1599999999999999,2.125,2.0,0.359375,4.0,4.0,0.0,4.8,0.1599999999999999,1.0,0,1,0,1
629,1,0.0,16.0,1.0,4,4,1.0,1.0,0.0,0.0,1.0,1,3.4,0.24,3.0,3.0,0.5,3.857142857142857,4.0,0.1224489795918367,4.2,0.1599999999999999,1.0,1,0,1,0
630,1,0.0,17.0,0.0,3,4,1.0,1.0,0.0,0.0,1.0,0,2.4,0.24,2.5,2.5,0.75,2.7142857142857144,3.0,0.489795918367347,4.2,0.5599999999999999,1.0,0,1,1,0
631,1,0.0,16.0,0.0,3,0,1.0,1.0,0.0,0.0,0.0,0,2.4,0.24,2.375,2.0,0.734375,3.571428571428572,4.0,0.2448979591836734,4.4,0.6399999999999999,3.0,0,1,0,1
632,1,0.0,17.0,0.0,2,0,1.0,1.0,0.0,0.0,0.0,0,2.4,0.64,2.0,2.0,1.0,3.857142857142857,4.0,0.1224489795918367,4.0,0.4,1.0,0,1,1,0
633,1,0.0,17.0,0.0,2,2,1.0,1.0,0.0,0.0,1.0,0,3.0,0.4,2.25,2.0,0.6875,4.0,4.0,0.0,4.2,0.5599999999999999,2.0,0,1,1,0
634,1,0.0,17.0,0.0,3,2,1.0,1.0,0.0,0.0,0.0,0,2.8,0.1599999999999999,2.375,2.0,0.234375,2.7142857142857144,3.0,0.2040816326530612,3.0,0.8,2.0,1,0,1,0
