outcome,model,threshold,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,support,positive_support,negative_support,meets_recall_085,meets_recall_090
victimization,DecisionTree_selected_pruned_FINAL,0.5,405,329,148,60,0.8709677419354839,0.31027253668763105,0.5517711171662125,0.7115384615384616,0.5906201393115574,0.6755629691409508,0.5870488322717622,942,465,477,True,False
victimization,LogisticRegression,0.5,309,142,335,156,0.6645161290322581,0.7023060796645703,0.6851441241685144,0.6822810590631364,0.6834111043484141,0.6746724890829695,0.6836518046709129,942,465,477,False,False
victimization,LogisticRegression_balanced,0.5,312,147,330,153,0.6709677419354839,0.6918238993710691,0.6797385620915033,0.6832298136645962,0.6813958206532765,0.6753246753246753,0.6815286624203821,942,465,477,False,False
victimization,GradientBoosting_balancedSW,0.5,310,155,322,155,0.6666666666666666,0.6750524109014675,0.6666666666666666,0.6750524109014675,0.670859538784067,0.6666666666666666,0.6709129511677282,942,465,477,False,False
victimization,GradientBoosting,0.5,302,155,322,163,0.6494623655913978,0.6750524109014675,0.6608315098468271,0.6639175257731958,0.6622573882464327,0.6550976138828634,0.6624203821656051,942,465,477,False,False
victimization,HistGradientBoosting_balancedSW,0.5,297,153,324,168,0.6387096774193548,0.6792452830188679,0.66,0.6585365853658537,0.6589774802191113,0.6491803278688524,0.6592356687898089,942,465,477,False,False
victimization,RandomForest,0.5,316,175,302,149,0.6795698924731183,0.6331236897274634,0.6435845213849287,0.6696230598669624,0.6563467911002908,0.6610878661087866,0.6560509554140127,942,465,477,False,False
victimization,RandomForest_balanced,0.5,319,184,293,146,0.6860215053763441,0.6142557651991615,0.6341948310139165,0.6674259681093394,0.6501386352877527,0.6590909090909091,0.6496815286624203,942,465,477,False,False
victimization,HistGradientBoosting,0.5,301,168,309,164,0.6473118279569893,0.6477987421383647,0.6417910447761194,0.653276955602537,0.647555285047677,0.6445396145610278,0.6475583864118896,942,465,477,False,False
victimization,DecisionTree_balanced_unpruned,0.5,280,197,280,185,0.6021505376344086,0.5870020964360587,0.5870020964360587,0.6021505376344086,0.5945763170352336,0.59447983014862,0.5944798301486199,942,465,477,False,False
victimization,DecisionTree_unpruned,0.5,283,204,273,182,0.6086021505376344,0.5723270440251572,0.5811088295687885,0.6,0.5904645972813958,0.5945378151260504,0.5902335456475584,942,465,477,False,False
victimization,Dummy_most_frequent,0.5,0,0,477,465,0.0,1.0,,0.5063694267515924,0.5,,0.5063694267515924,942,465,477,False,False
