pc,operador,umbral,constante,target,β_PAÍS,β_ETNIA.BN,β_EDAD,β_FUGAS.BN,β_ABUSOSUBS1,β_ABUSOSUBS2,β_CONVIVEN.1,β_CONVIVEN.2,β_CONVIVEN.3,β_CONVIVEN.4,β_CONVIVEN_H,β_CONVIVEN_0,β_AUTOEFIC.MEAN,β_AUTOEFIC.VAR,β_IMPULS.MEAN,β_IMPULS.MEDIAN,β_IMPULS.VAR,β_APOYO.MEAN,β_APOYO.MEDIAN,β_APOYO.VAR,β_MORAL.MEAN,β_MORAL.VAR,β_PORNO.T,β_GENERO.BN0,β_ORIENTSEX.BN0,β_GENERO.BN1,β_ORIENTSEX.BN1
PC7,<=,0.31,-2.843879468563927,,0.17639820821588562,-0.2559894426074373,-0.17056075853838565,0.537956907245937,-0.007123277528966347,0.002994939629972478,-0.0210127848209458,0.0620818728502759,0.046271508535383005,0.02597623727998586,0.0092386743486449,-0.02359844772425646,-0.047673620577130156,0.016806130686097615,0.009511427292547617,0.013355961198823634,-0.005639226439020885,-0.09557216364801502,-0.11402289231726588,0.12884715518764212,-0.02671717368242039,0.013425284572106278,-0.003368582391247338,-0.0006577617969465016,0.11047235475101738,0.0006577617969464218,-0.11047235475101738
PC2,<=,-0.12,0.7471497617659582,,0.13042199002714122,-0.21418497504984435,-0.03184934871318016,-0.17259675982014622,-0.017070112417100273,-0.013710509393817353,0.1566612514303632,0.5461520615288856,-0.12265964763067637,-0.013151398547031018,0.6374780562796171,-0.10670223415972242,0.018166017666069522,-0.02105166303966101,-6.149320165679409e-06,0.0004629201710854798,-0.005534768253852621,0.03407096223808076,0.04020543060367045,-0.04549520254473249,0.010997761841035996,-0.008597135538309845,-0.01656941936448926,0.008369147562535442,0.2032257135724291,-0.008369147562535484,-0.2032257135724291
PC11,<=,0.51,0.4149259863121266,,-0.04216194712669064,-0.02046346996332135,-0.039975664506474176,0.028168556644434708,-0.00019073423422492222,0.0030161075500532365,0.6759294516318619,-0.23080452056928352,-0.5136530220331453,-0.300238778498931,-0.0278773223948047,0.27883654577870987,-0.009940140867786256,-7.619933719216383e-05,0.006336026498480044,0.010508732383883966,0.0005693299339521459,0.0038283706038281596,0.009477078009210271,-0.008511816200727844,-0.004454745048374034,0.010021877984529817,0.04416094205655276,-0.037451270090405796,0.014020949380246712,0.037451270090406046,-0.014020949380246698
PC14,<=,-0.47,1.3463286830819128,,0.359703156342381,0.18305364986455494,0.05297715071792045,0.06583250788084337,-0.02206151158386227,-0.023028023357127142,0.4934874774419537,0.17702048395301126,0.6094555361190429,0.08788887458688069,-0.10875373179962886,0.29541839226311206,-0.008022138817595986,0.013162088858703607,-0.006123425188356431,-0.007545742573391107,0.002240562748364202,-0.007888983492884378,0.004728559300346434,0.02181187980443345,0.031677690915688235,-0.02046684417161289,0.007471184186060317,0.0032374785911272533,0.015475268156085444,-0.0032374785911274302,-0.01547526815608578
PC17,<=,-0.02,-0.6627107435404869,,-0.020426691623828694,-0.08380765897974957,0.019067922542741096,-0.025704894384669916,-0.014304408733685617,-0.006073962494568625,0.07028751049440549,0.007344172416118286,0.0907501466636178,0.005573588472525527,-0.012704588259905341,0.024679301102590482,0.15314871367214433,-0.20113882519686754,-0.07377197978865284,-0.11829130184248696,-0.05307663328733184,-0.030614196741091705,-0.08655420820431567,-0.08099933698918904,-0.10794850411679509,0.0704807874462058,0.018170614171308434,-0.057191959779562075,-0.011840172906259522,0.05719195977956251,0.011840172906259676
PC1,<=,0.84,1.064056037153239,,-0.022004774710120467,0.019722734923716262,0.0026015926792960485,0.004917404767242937,-0.004218467750483591,0.0034279698835947415,-0.013533727613509699,-0.006460816620266067,-0.0049667231073443965,0.006222139492590208,-0.05519520840981278,0.0014659458403357248,0.019682653322788308,-0.006648285912589944,0.0007537666472359013,0.0009174956568490205,-0.014012316511875528,0.004109259285791897,0.005598181868928145,-0.0028340940354142823,-0.012460135592246534,0.005481741756557169,0.07113350258110286,0.661205852464106,0.1255395235219408,-0.661205852464106,-0.12553952352194084
PC1,>,0.84,-1.064056037153239,,0.022004774710120467,-0.019722734923716262,-0.0026015926792960485,-0.004917404767242937,0.004218467750483591,-0.0034279698835947415,0.013533727613509699,0.006460816620266067,0.0049667231073443965,-0.006222139492590208,0.05519520840981278,-0.0014659458403357248,-0.019682653322788308,0.006648285912589944,-0.0007537666472359013,-0.0009174956568490205,0.014012316511875528,-0.004109259285791897,-0.005598181868928145,0.0028340940354142823,0.012460135592246534,-0.005481741756557169,-0.07113350258110286,-0.661205852464106,-0.1255395235219408,0.661205852464106,0.12553952352194084
PC6,<=,1.04,2.6966115300652396,,-0.17160397713998604,0.45411079986477865,0.08592229753999932,0.32972954545698996,0.04707062800217439,0.035130788430263765,-0.0026098724139917836,0.5891440246070928,-0.2501119645195533,-0.02259815410257923,-0.1858173191655656,-0.034098144217661795,-0.00027052320784757763,-0.0047085811298387984,-0.0036925346229965393,-0.006599887988651052,-0.012307612625556907,-0.02081348257302698,-0.02423673951559562,0.03363364243287122,-0.010904444162150227,0.0048493050907221415,0.03517463625459312,-0.0618980274108161,0.07514977494026272,0.061898027410816195,-0.07514977494026283
PC6,>,1.04,-2.6966115300652396,,0.17160397713998604,-0.45411079986477865,-0.08592229753999932,-0.32972954545698996,-0.04707062800217439,-0.035130788430263765,0.0026098724139917836,-0.5891440246070928,0.2501119645195533,0.02259815410257923,0.1858173191655656,0.034098144217661795,0.00027052320784757763,0.0047085811298387984,0.0036925346229965393,0.006599887988651052,0.012307612625556907,0.02081348257302698,0.02423673951559562,-0.03363364243287122,0.010904444162150227,-0.0048493050907221415,-0.03517463625459312,0.0618980274108161,-0.07514977494026272,-0.061898027410816195,0.07514977494026283
PC17,>,-0.02,0.6627107435404869,,0.020426691623828694,0.08380765897974957,-0.019067922542741096,0.025704894384669916,0.014304408733685617,0.006073962494568625,-0.07028751049440549,-0.007344172416118286,-0.0907501466636178,-0.005573588472525527,0.012704588259905341,-0.024679301102590482,-0.15314871367214433,0.20113882519686754,0.07377197978865284,0.11829130184248696,0.05307663328733184,0.030614196741091705,0.08655420820431567,0.08099933698918904,0.10794850411679509,-0.0704807874462058,-0.018170614171308434,0.057191959779562075,0.011840172906259522,-0.05719195977956251,-0.011840172906259676
PC17,<=,0.26,-0.38271074354048684,,-0.020426691623828694,-0.08380765897974957,0.019067922542741096,-0.025704894384669916,-0.014304408733685617,-0.006073962494568625,0.07028751049440549,0.007344172416118286,0.0907501466636178,0.005573588472525527,-0.012704588259905341,0.024679301102590482,0.15314871367214433,-0.20113882519686754,-0.07377197978865284,-0.11829130184248696,-0.05307663328733184,-0.030614196741091705,-0.08655420820431567,-0.08099933698918904,-0.10794850411679509,0.0704807874462058,0.018170614171308434,-0.057191959779562075,-0.011840172906259522,0.05719195977956251,0.011840172906259676
PC5,<=,0.66,3.598613589890764,,0.1197741564652044,-0.2994853676214497,0.15142492498887825,0.3054714800510228,0.08994818409008835,0.0563017599570136,0.0002879237391063827,-0.30913864044154116,0.1217253251868806,0.02654953930918732,0.30026273607919196,-0.0008865899343437443,-0.004164261158427012,0.001468257836624137,-0.0006300235046170153,0.0007192181612614524,-0.02199074638483807,0.013471413287098211,0.017135876489135955,-0.018374654511224785,0.005734935771955802,-0.0020752034498410067,0.05267488458269428,-0.05951078457146622,0.16266080432549157,0.059510784571466344,-0.16266080432549163
PC5,>,0.66,-3.598613589890764,,-0.1197741564652044,0.2994853676214497,-0.15142492498887825,-0.3054714800510228,-0.08994818409008835,-0.0563017599570136,-0.0002879237391063827,0.30913864044154116,-0.1217253251868806,-0.02654953930918732,-0.30026273607919196,0.0008865899343437443,0.004164261158427012,-0.001468257836624137,0.0006300235046170153,-0.0007192181612614524,0.02199074638483807,-0.013471413287098211,-0.017135876489135955,0.018374654511224785,-0.005734935771955802,0.0020752034498410067,-0.05267488458269428,0.05951078457146622,-0.16266080432549157,-0.059510784571466344,0.16266080432549163
PC3,<=,0.24,-0.07743599226903963,,-0.06587047553251678,0.15765416854614964,-0.03124509963005727,-0.0713682068734049,-0.018332852847040056,-0.00649305932277601,-0.05890756208007817,-0.1849606396849257,0.03644699957696403,0.0056453879881755865,-0.2575471231156557,0.01849079697572988,0.020662766331637585,-0.0027342427107043847,-0.00382833828577419,-0.004767275607101944,0.0016426418981162197,0.027984682798155573,0.03491071241189576,-0.03119742190519823,-0.0005921587941730404,0.005604810672598563,-0.044689496253679614,-0.10015528776601273,0.6173729608108393,0.10015528776601265,-0.6173729608108391
PC3,>,0.24,0.07743599226903963,,0.06587047553251678,-0.15765416854614964,0.03124509963005727,0.0713682068734049,0.018332852847040056,0.00649305932277601,0.05890756208007817,0.1849606396849257,-0.03644699957696403,-0.0056453879881755865,0.2575471231156557,-0.01849079697572988,-0.020662766331637585,0.0027342427107043847,0.00382833828577419,0.004767275607101944,-0.0016426418981162197,-0.027984682798155573,-0.03491071241189576,0.03119742190519823,0.0005921587941730404,-0.005604810672598563,0.044689496253679614,0.10015528776601273,-0.6173729608108393,-0.10015528776601265,0.6173729608108391
PC17,>,0.26,0.38271074354048684,,0.020426691623828694,0.08380765897974957,-0.019067922542741096,0.025704894384669916,0.014304408733685617,0.006073962494568625,-0.07028751049440549,-0.007344172416118286,-0.0907501466636178,-0.005573588472525527,0.012704588259905341,-0.024679301102590482,-0.15314871367214433,0.20113882519686754,0.07377197978865284,0.11829130184248696,0.05307663328733184,0.030614196741091705,0.08655420820431567,0.08099933698918904,0.10794850411679509,-0.0704807874462058,-0.018170614171308434,0.057191959779562075,0.011840172906259522,-0.05719195977956251,-0.011840172906259676
PC14,>,-0.47,-1.3463286830819128,,-0.359703156342381,-0.18305364986455494,-0.05297715071792045,-0.06583250788084337,0.02206151158386227,0.023028023357127142,-0.4934874774419537,-0.17702048395301126,-0.6094555361190429,-0.08788887458688069,0.10875373179962886,-0.29541839226311206,0.008022138817595986,-0.013162088858703607,0.006123425188356431,0.007545742573391107,-0.002240562748364202,0.007888983492884378,-0.004728559300346434,-0.02181187980443345,-0.031677690915688235,0.02046684417161289,-0.007471184186060317,-0.0032374785911272533,-0.015475268156085444,0.0032374785911274302,0.01547526815608578
PC3,<=,-0.06,-0.3774359922690396,,-0.06587047553251678,0.15765416854614964,-0.03124509963005727,-0.0713682068734049,-0.018332852847040056,-0.00649305932277601,-0.05890756208007817,-0.1849606396849257,0.03644699957696403,0.0056453879881755865,-0.2575471231156557,0.01849079697572988,0.020662766331637585,-0.0027342427107043847,-0.00382833828577419,-0.004767275607101944,0.0016426418981162197,0.027984682798155573,0.03491071241189576,-0.03119742190519823,-0.0005921587941730404,0.005604810672598563,-0.044689496253679614,-0.10015528776601273,0.6173729608108393,0.10015528776601265,-0.6173729608108391
PC13,<=,0.33,0.5284067131176362,,0.8077397541574136,0.36729505145547475,-0.015220701399237662,-0.08889446092665945,0.013462139992040885,0.03302265695450802,-0.17039905843268782,-0.1251986173076776,-0.2782947224001668,-0.012101615908086703,0.0510444981619807,-0.018790063748346898,0.010033222087398944,-0.00609593857644667,0.0004891887683065714,0.002517785190295386,-0.02751435167601446,0.0015564041391926049,-0.00019129315188809215,-0.02398936715242111,-0.029881456455524785,0.021993873930206936,-0.028717424914109883,0.027435729879402352,-0.02913911026006381,-0.02743572987940288,0.02913911026006386
PC10,<=,0.6,-0.8242648623038559,,0.042182185912241106,0.09128650047463327,-0.12148451545602953,-0.3696419544020941,0.03638332395319099,0.02037670869367812,-0.026922416496533885,0.02582468348483695,0.1611631579679636,0.06416708225952138,-0.039008202548279816,-0.17112502059137513,-0.01418476633574524,0.017541602437559634,-0.006089827421569299,-0.009179046168934283,-0.021110423641996397,-0.005377761983003109,0.00333059728093464,0.025991168312910477,0.007409037276771147,-0.004098966543340269,0.18526852781862402,-0.16033248888110346,0.036724506289962475,0.16033248888110468,-0.036724506289962516
