PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,GENERO_BIN_2,ORIENTSEX.BN_1,ORIENTSEX.BN_2,ORIENTSEX.BN_3
1,0.0,16.0,0.0,4,4,1.0,1.0,0.0,0.0,1.0,1,3.6,0.24,2.375,2.5,1.484375,4.0,4.0,0.0,5.0,0.0,1.0,0,1,0,1,0,0
1,0.0,16.0,0.0,3,2,1.0,1.0,0.0,0.0,1.0,0,2.7906218655967905,0.15660054385825486,2.375,2.0,0.734375,3.4285714285714284,4.0,0.5306122448979593,2.8,0.5599999999999999,4.0,1,0,0,1,0,0
1,0.0,17.0,0.0,3,3,1.0,1.0,0.0,0.0,0.0,0,2.4,1.4400000000000002,2.625,2.5,1.484375,3.2857142857142856,4.0,0.7755102040816327,4.2,0.96,3.0,0,1,0,1,0,0
1,0.0,16.0,0.0,3,3,1.0,1.0,0.0,0.0,1.0,0,3.0,0.4,2.25,2.0,0.9375,3.2857142857142856,4.0,0.7755102040816327,4.0,0.4,4.0,1,0,0,1,0,0
1,0.0,17.0,0.0,3,3,1.0,1.0,0.0,0.0,1.0,0,3.4,0.24,2.0,2.0,0.75,3.5714285714285716,4.0,0.5306122448979592,4.4,1.44,2.0,0,1,0,1,0,0
1,0.0,15.0,0.0,3,2,0.0,1.0,0.0,0.0,0.0,0,3.3906218655967906,0.24785430514210632,2.875,3.0,1.359375,2.857142857142857,3.0,1.5510204081632655,3.0,1.2,4.0,1,0,0,1,0,0
1,0.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.2,0.5599999999999999,2.25,2.0,0.4375,3.7142857142857144,4.0,0.2040816326530612,3.8572001001753065,0.19596744591038318,2.0,1,0,0,0,1,0
1,0.0,17.0,0.0,3,2,1.0,1.0,0.0,0.0,1.0,0,1.8,0.56,2.5,2.5,1.25,3.5714285714285716,4.0,0.24489795918367344,4.4,0.64,1.0,0,1,0,1,0,0
1,1.0,17.0,0.0,5,4,1.0,0.0,0.0,0.0,0.0,0,2.2,2.16,1.375,1.0,0.984375,3.5714285714285716,4.0,1.1020408163265307,1.8,2.5600000000000005,2.0,1,0,0,0,1,0
1,0.0,17.0,0.0,4,4,1.0,1.0,1.0,0.0,1.0,0,4.0,0.0,2.25,2.5,1.1875,3.857142857142857,4.0,0.12244897959183675,4.2,0.5599999999999999,5.0,1,0,0,1,0,0
1,0.0,16.0,1.0,4,3,1.0,1.0,0.0,0.0,1.0,0,2.6,0.24,2.5,2.5,0.25,3.857142857142857,4.0,0.12244897959183676,4.2,0.96,1.0,0,0,1,1,0,0
1,0.0,16.0,0.0,4,4,1.0,1.0,0.0,0.0,0.0,0,3.8,0.15999999999999998,2.75,3.0,0.9375,3.857142857142857,4.0,0.12244897959183676,3.6,1.8399999999999999,1.0,1,0,0,1,0,0
1,0.0,16.0,0.0,2,2,1.0,1.0,0.0,0.0,1.0,0,2.8,0.96,2.75,3.0,1.4375,3.2857142857142856,4.0,0.7755102040816327,3.8,0.5599999999999999,1.0,0,1,0,1,0,0
1,0.0,16.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,3.0,0.4,2.375,2.0,1.234375,3.0,3.0,0.8571428571428571,4.4,0.24000000000000005,5.0,1,0,0,1,0,0
2,0.0,17.0,0.0,2,2,1.0,0.0,0.0,0.0,1.0,0,3.2,0.5599999999999999,2.25,2.0,0.4375,3.7142857142857144,4.0,0.2040816326530612,4.6,0.6399999999999999,4.0,1,0,0,1,0,0
1,0.0,16.0,1.0,3,3,1.0,1.0,0.0,0.0,1.0,1,2.0,0.4,2.375,2.5,0.984375,2.142857142857143,2.0,0.6938775510204082,4.6,0.24000000000000005,1.0,0,1,0,1,0,0
1,0.0,16.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,3.0,0.4,2.1001628664495113,1.9006514657980456,1.1199024658086558,3.7142857142857144,4.0,0.489795918367347,4.0,0.4,1.0,0,1,0,1,0,0
1,0.0,16.0,1.0,4,5,1.0,1.0,0.0,0.0,1.0,0,3.0,0.4,2.75,3.0,1.1875,3.857142857142857,4.0,0.12244897959183675,4.8,0.15999999999999998,3.0,0,1,0,0,1,0
1,0.0,17.0,0.0,4,4,1.0,1.0,0.0,0.0,0.0,0,4.0,0.0,2.625,2.5,1.484375,4.0,4.0,0.0,5.0,0.0,4.0,1,0,0,1,0,0
1,0.0,17.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,1,4.0,0.0,1.875,1.0,1.359375,4.0,4.0,0.0,5.0,0.0,5.0,1,0,0,1,0,0
2,1.0,17.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.2,0.15999999999999998,2.25,2.0,1.4375,3.857142857142857,4.0,0.12244897959183675,4.0,0.4,1.0,1,0,0,1,0,0
1,0.0,17.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.0,0.4,2.25,2.0,0.4375,3.5714285714285716,4.0,0.24489795918367346,4.6,0.24000000000000005,1.0,1,0,0,1,0,0
1,1.0,17.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.0,0.4,1.75,2.0,0.4375,4.0,4.0,0.0,4.2,1.3599999999999999,1.0,0,1,0,1,0,0
1,0.0,17.0,0.0,2,2,1.0,1.0,0.0,0.0,1.0,0,3.2,0.15999999999999998,2.375,2.5,0.484375,3.5714285714285716,4.0,0.24489795918367346,4.2,0.5599999999999999,5.0,0,1,0,1,0,0
2,1.0,15.0,1.0,2,2,1.0,0.0,1.0,0.0,0.0,0,2.8,0.15999999999999998,2.375,2.5,0.984375,1.5714285714285714,1.0,0.5306122448979591,4.2,0.5599999999999999,1.0,1,0,0,1,0,0
1,0.0,17.0,0.0,0,1,1.0,0.0,0.0,1.0,1.0,0,1.6,0.24,2.75,3.0,0.9375,1.1428571428571428,1.0,0.12244897959183675,4.0,0.4,2.0,1,0,0,1,0,0
1,0.0,17.0,0.0,0,1,1.0,0.0,1.0,0.0,1.0,0,2.8,0.5599999999999999,2.25,2.0,0.4375,3.2857142857142856,3.0,0.489795918367347,5.0,0.0,3.0,0,1,0,1,0,0
1,0.0,17.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.2,1.3599999999999999,2.5,2.0,1.5,3.7142857142857144,4.0,0.2040816326530612,3.8,0.15999999999999998,2.0,1,0,0,1,0,0
1,0.0,17.0,0.0,3,2,1.0,1.0,0.0,0.0,1.0,0,3.4,0.24,2.25,2.0,0.1875,3.0,3.0,0.5714285714285714,3.4,0.24,5.0,1,0,0,1,0,0
1,0.0,17.0,0.0,2,2,1.0,0.0,0.0,0.0,1.0,0,3.4,0.24,1.75,2.0,0.4375,4.0,4.0,0.0,4.4,0.24,2.0,0,1,0,1,0,0
1,0.0,17.0,1.0,2,2,1.0,1.0,0.0,0.0,0.0,0,3.2,0.15999999999999998,2.5,2.5,0.25,2.4285714285714284,2.0,1.3877551020408163,4.6,0.24000000000000005,4.0,1,0,0,0,1,0
1,0.0,16.0,0.0,4,3,1.0,0.0,0.0,0.0,0.0,0,2.8,0.96,2.375,2.0,1.234375,2.7142857142857144,3.0,1.6326530612244898,4.8,0.15999999999999998,4.0,1,0,0,1,0,0
1,0.0,14.0,1.0,3,3,0.0,1.0,0.0,0.0,0.0,0,1.4,0.24,2.5,2.5,0.75,1.5714285714285714,1.0,1.1020408163265307,3.8,2.56,1.0,0,1,0,1,0,0
1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.4,0.24,2.625,3.0,0.734375,3.199113620929983,3.0,0.29856577766201864,4.2,0.96,2.0,1,0,0,1,0,0
1,0.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.2,0.5599999999999999,3.25,3.0,0.4375,3.5714285714285716,4.0,1.1020408163265307,4.8,0.15999999999999998,1.0,0,1,0,1,0,0
