label,precision,recall,f1-score,support
0,0.9126984126984127,0.31900138696255204,0.4727646454265159,721.0
1,0.28840579710144926,0.9004524886877828,0.43688254665203075,221.0
accuracy,,,0.4554140127388535,942.0
macro avg,0.6005521048999309,0.6097269378251674,0.45482359603927336,942.0
weighted avg,0.766234858508467,0.4554140127388535,0.4643464460325019,942.0
