outcome,severity_threshold,alternative_definition,n,positives,negatives,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,fpr,fnr
overlap,>=1,V.SUM.TOTAL >= 1 AND P.SUM.TOTAL >= 1,942,178,764,144,355,409,34,80.9%,53.5%,28.9%,92.3%,67.2%,42.5%,58.7%,46.5%,19.1%
overlap,>=2,V.SUM.TOTAL >= 2 AND P.SUM.TOTAL >= 2,942,62,880,54,445,435,8,87.1%,49.4%,10.8%,98.2%,68.3%,19.3%,51.9%,50.6%,12.9%
overlap,>=3,V.SUM.TOTAL >= 3 AND P.SUM.TOTAL >= 3,942,35,907,31,468,439,4,88.6%,48.4%,6.2%,99.1%,68.5%,11.6%,49.9%,51.6%,11.4%
perpetration,>=1,P.SUM.TOTAL >= 1,942,221,721,202,504,217,19,91.4%,30.1%,28.6%,91.9%,60.7%,43.6%,44.5%,69.9%,8.6%
perpetration,>=2,P.SUM.TOTAL >= 2,942,101,841,98,608,233,3,97.0%,27.7%,13.9%,98.7%,62.4%,24.3%,35.1%,72.3%,3.0%
perpetration,>=3,P.SUM.TOTAL >= 3,942,52,890,51,655,235,1,98.1%,26.4%,7.2%,99.6%,62.2%,13.5%,30.4%,73.6%,1.9%
victimization,>=1,V.SUM.TOTAL >= 1,942,465,477,405,329,148,60,87.1%,31.0%,55.2%,71.2%,59.1%,67.6%,58.7%,69.0%,12.9%
victimization,>=2,V.SUM.TOTAL >= 2,942,318,624,283,451,173,35,89.0%,27.7%,38.6%,83.2%,58.4%,53.8%,48.4%,72.3%,11.0%
victimization,>=3,V.SUM.TOTAL >= 3,942,222,720,205,529,191,17,92.3%,26.5%,27.9%,91.8%,59.4%,42.9%,42.0%,73.5%,7.7%
