outcome,severity_threshold,alternative_definition,n,positives,negatives,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,fpr,fnr
overlap,>=1,V.SUM.TOTAL >= 1 AND P.SUM.TOTAL >= 1,942,178,764,144,355,409,34,0.8089887640449438,0.5353403141361257,0.28857715430861725,0.9232505643340858,0.6721645390905348,0.4254062038404726,0.5870488322717622,0.46465968586387435,0.19101123595505617
overlap,>=2,V.SUM.TOTAL >= 2 AND P.SUM.TOTAL >= 2,942,62,880,54,445,435,8,0.8709677419354839,0.4943181818181818,0.10821643286573146,0.981941309255079,0.6826429618768328,0.1925133689839572,0.5191082802547771,0.5056818181818182,0.12903225806451613
overlap,>=3,V.SUM.TOTAL >= 3 AND P.SUM.TOTAL >= 3,942,35,907,31,468,439,4,0.8857142857142857,0.48401323042998895,0.06212424849699399,0.9909706546275395,0.6848637580721373,0.11610486891385768,0.4989384288747346,0.515986769570011,0.11428571428571428
perpetration,>=1,P.SUM.TOTAL >= 1,942,221,721,202,504,217,19,0.9140271493212669,0.30097087378640774,0.28611898016997167,0.9194915254237288,0.6074990115538373,0.43581445523193096,0.4447983014861996,0.6990291262135923,0.08597285067873303
perpetration,>=2,P.SUM.TOTAL >= 2,942,101,841,98,608,233,3,0.9702970297029703,0.27705112960760997,0.1388101983002833,0.9872881355932204,0.6236740796552901,0.24287484510532842,0.351380042462845,0.72294887039239,0.0297029702970297
perpetration,>=3,P.SUM.TOTAL >= 3,942,52,890,51,655,235,1,0.9807692307692307,0.2640449438202247,0.07223796033994334,0.9957627118644068,0.6224070872947277,0.13456464379947228,0.3036093418259023,0.7359550561797753,0.019230769230769232
victimization,>=1,V.SUM.TOTAL >= 1,942,465,477,405,329,148,60,0.8709677419354839,0.31027253668763105,0.5517711171662125,0.7115384615384616,0.5906201393115574,0.6755629691409508,0.5870488322717622,0.689727463312369,0.12903225806451613
victimization,>=2,V.SUM.TOTAL >= 2,942,318,624,283,451,173,35,0.889937106918239,0.27724358974358976,0.385558583106267,0.8317307692307693,0.5835903483309144,0.5380228136882129,0.4840764331210191,0.7227564102564102,0.11006289308176101
victimization,>=3,V.SUM.TOTAL >= 3,942,222,720,205,529,191,17,0.9234234234234234,0.2652777777777778,0.279291553133515,0.9182692307692307,0.5943506006006006,0.42887029288702927,0.42038216560509556,0.7347222222222223,0.07657657657657657
