idx,y_victim,pred_victim,score_victim,EDAD,GENERO.BN0,GENERO.BN1,PAÍS,ETNIA.BN,ORIENTSEX.BN0,ORIENTSEX.BN1
2440,0,0,0.25101214574898784,15.0,False,True,True,False,True,False
2186,0,1,0.5456885456885456,14.0,True,False,True,False,True,False
2066,1,1,0.5456885456885456,15.0,True,False,True,False,True,False
636,0,1,0.5456885456885456,16.0,True,False,True,False,True,False
2904,0,1,0.5456885456885456,16.0,False,True,True,False,False,True
2328,1,1,0.5456885456885456,17.0,False,True,True,False,True,False
3658,0,1,0.5456885456885456,15.0,False,True,True,False,True,False
790,1,1,0.5456885456885456,17.0,False,True,False,True,False,True
1648,0,1,0.5456885456885456,14.0,False,True,True,True,True,False
2633,0,0,0.25101214574898784,16.0,True,False,True,False,True,False
801,0,1,0.5456885456885456,17.0,True,False,True,False,True,False
1655,0,1,0.5456885456885456,14.0,True,False,True,True,True,False
12,0,1,0.5456885456885456,16.0,True,False,True,False,True,False
1416,0,1,0.5456885456885456,14.0,True,False,True,False,True,False
2635,0,1,0.5456885456885456,16.0,False,True,True,True,True,False
3112,0,1,0.5456885456885456,16.0,False,True,True,False,True,False
3379,1,0,0.25101214574898784,16.0,False,True,True,False,True,False
1058,0,0,0.25101214574898784,15.0,True,False,True,False,True,False
2442,1,1,0.5456885456885456,15.0,False,True,True,False,True,False
1627,1,1,0.5456885456885456,16.0,True,False,True,False,True,False
3031,1,0,0.25101214574898784,14.0,False,True,True,False,True,False
58,1,1,0.5456885456885456,14.0,False,True,True,False,True,False
1606,0,1,0.5456885456885456,17.0,False,True,True,False,True,False
2531,1,1,0.5456885456885456,17.0,False,True,True,True,True,False
3650,0,0,0.25101214574898784,14.0,False,True,True,False,True,False
683,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
3359,0,0,0.25101214574898784,16.0,False,True,True,False,True,False
1254,0,1,0.5456885456885456,14.0,False,True,True,True,True,False
3046,0,0,0.25101214574898784,15.0,True,False,True,False,True,False
639,0,1,0.5456885456885456,17.0,False,True,True,False,False,True
2977,1,1,0.5456885456885456,15.0,True,False,False,True,True,False
3096,1,0,0.25101214574898784,15.0,False,True,True,False,True,False
2954,0,1,0.5456885456885456,16.0,True,False,False,False,False,True
1555,1,1,0.5456885456885456,16.0,False,True,True,False,False,True
3088,0,1,0.5456885456885456,15.0,True,False,True,False,True,False
130,0,1,0.5456885456885456,16.0,True,False,True,True,True,False
939,1,1,0.5456885456885456,17.0,True,False,True,False,True,False
755,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
3688,1,1,0.5456885456885456,14.0,False,True,True,False,True,False
1003,1,0,0.25101214574898784,17.0,True,False,True,False,True,False
3205,0,1,0.5456885456885456,15.0,True,False,True,False,True,False
1470,0,1,0.5456885456885456,17.0,False,True,True,False,True,False
2458,0,1,0.5456885456885456,16.0,True,False,True,False,True,False
2972,0,1,0.5456885456885456,17.0,True,False,False,True,True,False
1900,0,1,0.5456885456885456,14.0,False,True,True,False,True,False
1824,0,0,0.25101214574898784,14.0,False,True,True,False,True,False
1756,0,1,0.5456885456885456,15.0,True,False,True,True,True,False
1393,0,1,0.5456885456885456,16.0,False,True,True,False,True,False
3664,0,0,0.25101214574898784,15.0,False,True,True,False,True,False
1288,0,1,0.5456885456885456,15.0,True,False,True,False,True,False
1610,0,1,0.5456885456885456,17.0,True,False,True,False,True,False
3389,1,1,0.5456885456885456,16.0,False,True,False,False,True,False
3293,1,1,0.5456885456885456,16.0,True,False,True,False,True,False
599,0,1,0.5456885456885456,16.0,True,False,True,False,True,False
2590,1,1,0.5456885456885456,17.0,True,False,True,False,True,False
2592,0,0,0.25101214574898784,16.0,True,False,True,False,True,False
