label,precision,recall,f1-score,support
0,0.9459459459459459,0.412303664921466,0.5742935278030994,764.0
1,0.2627257799671593,0.898876404494382,0.40660736975857686,178.0
accuracy,,,0.5042462845010616,942.0
macro avg,0.6043358629565526,0.655590034707924,0.4904504487808381,942.0
weighted avg,0.8168448954743706,0.5042462845010616,0.5426076083424571,942.0
