outcome,metric,n_partitions,mean,sd,median,p2_5,p97_5,min,max
overlap,recall_sensitivity,25,0.7912695754949276,0.037033435860384226,0.7902097902097902,0.7405298926425687,0.856988082340195,0.7394366197183099,0.8732394366197183
overlap,specificity,25,0.5490521853451746,0.019449720572176272,0.5499181669394435,0.5175122749590835,0.5865793780687397,0.5106382978723404,0.5973813420621932
overlap,precision_ppv,25,0.290675623272752,0.010038702215683723,0.2916666666666667,0.27380400087234086,0.30645806235831874,0.27365728900255754,0.30704225352112674
overlap,npv,25,0.9187509640772714,0.012514391835307318,0.9170854271356784,0.901411414044008,0.9410404624277456,0.9010695187165776,0.9479768786127167
overlap,balanced_accuracy,25,0.6701608804200511,0.016949243828027698,0.6714030650200863,0.6439282174223738,0.6979507157511353,0.6432885364560522,0.7050321569350637
overlap,f1_positive,25,0.4250511272716585,0.014555914635180866,0.4260355029585799,0.40120302031870103,0.44787067045649215,0.4007561436672968,0.45173041894353366
overlap,accuracy,25,0.5949068799954911,0.014300639816542173,0.5949535192563081,0.573209549071618,0.6215139442231076,0.5716180371352785,0.6294820717131474
overlap,roc_auc,25,0.7481678917641781,0.01732228211234997,0.747084339555698,0.7163804430511054,0.7791643500917146,0.7144371960074687,0.7861160415850258
overlap,pr_auc_average_precision,25,0.4219488573298492,0.029550760226860068,0.4226509397517034,0.36326716316606195,0.4769971293944981,0.3628145776524462,0.48130402373678793
overlap,n_components,25,18.12,0.33166247903553997,18.0,18.0,19.0,18.0,19.0
overlap,retained_variance,25,0.9521117318668287,0.004313100788516141,0.9506051195189298,0.950081521641188,0.963535787681529,0.9500709308249051,0.9635405030634572
perpetration,recall_sensitivity,25,0.6338983050847458,0.06959709036584699,0.615819209039548,0.5322033898305084,0.7638418079096044,0.5084745762711864,0.7909604519774012
perpetration,specificity,25,0.5717038561525131,0.11809366742755369,0.6163194444444444,0.3083574041979588,0.715625,0.3055555555555556,0.71875
perpetration,precision_ppv,25,0.32043063732806054,0.048140128512623476,0.31493506493506496,0.2437975939235385,0.41040719196192493,0.23166023166023167,0.4131147540983607
perpetration,npv,25,0.8332560793360755,0.02758584153575817,0.8356164383561644,0.7736145496095982,0.874818866115982,0.7584745762711864,0.8864142538975501
perpetration,balanced_accuracy,25,0.6028010806186294,0.048328799717046116,0.609095456685499,0.5124423064212907,0.6876106596804041,0.4940957024939048,0.7008195517433833
perpetration,f1_positive,25,0.4221534986455823,0.04370114141175407,0.4199584199584199,0.34718872985235505,0.5091286307053942,0.34532374100719426,0.5228215767634854
perpetration,accuracy,25,0.5863102497173112,0.08204918492290232,0.6140583554376657,0.4104135183404314,0.6958605894723494,0.39655172413793105,0.6972111553784861
perpetration,roc_auc,25,0.6499620074720316,0.05755801455318027,0.6552937951022727,0.5319180378899888,0.7390095083995079,0.5154265683596235,0.7415621419968863
perpetration,pr_auc_average_precision,25,0.37987450852972193,0.058982078583467275,0.3847037803652831,0.2804471736185745,0.47836766666824926,0.2726315378190625,0.48258317105253135
perpetration,n_components,25,18.08,0.27688746209726917,18.0,18.0,19.0,18.0,19.0
perpetration,retained_variance,25,0.9515620396118598,0.0035574756340257304,0.950583254869115,0.950006844415556,0.9633202831056832,0.9500013500180994,0.9634504304141853
victimization,recall_sensitivity,25,0.6033212257487964,0.10182347157973891,0.6112600536193029,0.3274193548387097,0.7376344086021506,0.29838709677419356,0.7473118279569892
victimization,specificity,25,0.6487686028775198,0.0861174752051774,0.6377952755905512,0.5191601049868766,0.8673207733850022,0.5065616797900262,0.8769633507853403
victimization,precision_ppv,25,0.6312115361489048,0.03343138279619477,0.6247191011235955,0.5823365371598754,0.7050354708582557,0.5775280898876405,0.7087912087912088
victimization,npv,25,0.6301687932998447,0.0322768905485114,0.6301020408163265,0.5694907086355034,0.6971226378412007,0.5620805369127517,0.7005988023952096
victimization,balanced_accuracy,25,0.6260449143131581,0.022965783188787184,0.6243693398914948,0.5904872487755446,0.6634831936330539,0.5876752237797669,0.6726780120226907
victimization,f1_positive,25,0.6099207145863501,0.05831256979240839,0.6204081632653061,0.4469695524828009,0.6834179501026697,0.4188679245283019,0.6877370417193427
victimization,accuracy,25,0.6263354715532212,0.022581959046445985,0.623342175066313,0.5923076923076923,0.6632138114209827,0.5915119363395226,0.6719787516600265
victimization,roc_auc,25,0.6681595208031781,0.03159547935610724,0.6750910168487004,0.5983002319989514,0.7042732925779988,0.5958075805040499,0.7072425828970331
victimization,pr_auc_average_precision,25,0.6397854183407283,0.03331312399512674,0.6385653668786889,0.5676296256466915,0.6840212014526703,0.5559923854880124,0.6947240013475389
victimization,n_components,25,18.08,0.27688746209726917,18.0,18.0,19.0,18.0,19.0
victimization,retained_variance,25,0.9515520456989964,0.0035370272225415723,0.9505860344808201,0.9501220716972321,0.963252573178701,0.9500484757450265,0.9633709836305393
