outcome,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,roc_auc,pr_auc_average_precision
overlap,79.1% (3.7),54.9% (1.9),29.1% (1.0),91.9% (1.3),67.0% (1.7),42.5% (1.5),59.5% (1.4),74.8% (1.7),42.2% (3.0)
perpetration,63.4% (7.0),57.2% (11.8),32.0% (4.8),83.3% (2.8),60.3% (4.8),42.2% (4.4),58.6% (8.2),65.0% (5.8),38.0% (5.9)
victimization,60.3% (10.2),64.9% (8.6),63.1% (3.3),63.0% (3.2),62.6% (2.3),61.0% (5.8),62.6% (2.3),66.8% (3.2),64.0% (3.3)
