outcome,metric,n_partitions,mean,sd,median,p2_5,p97_5,min,max
overlap,n_components,25,18.12,0.33166247903553997,18.0,18.0,19.0,18.0,19.0
overlap,retained_variance,25,0.9521117318668287,0.004313100788516141,0.9506051195189298,0.950081521641188,0.963535787681529,0.9500709308249051,0.9635405030634572
perpetration,n_components,25,18.08,0.27688746209726917,18.0,18.0,19.0,18.0,19.0
perpetration,retained_variance,25,0.9515620396118598,0.0035574756340257304,0.950583254869115,0.950006844415556,0.9633202831056832,0.9500013500180994,0.9634504304141853
victimization,n_components,25,18.08,0.27688746209726917,18.0,18.0,19.0,18.0,19.0
victimization,retained_variance,25,0.9515520456989964,0.0035370272225415723,0.9505860344808201,0.9501220716972321,0.963252573178701,0.9500484757450265,0.9633709836305393
