outcome,predictor,predictor_domain,features,n_repeats,balanced_accuracy_drop_mean_pp,balanced_accuracy_drop_sd_pp,balanced_accuracy_drop_p2_5_pp,balanced_accuracy_drop_p97_5_pp,roc_auc_drop_mean_pp,roc_auc_drop_sd_pp,roc_auc_drop_p2_5_pp,roc_auc_drop_p97_5_pp,pr_auc_average_precision_drop_mean_pp,pr_auc_average_precision_drop_sd_pp,pr_auc_average_precision_drop_p2_5_pp,pr_auc_average_precision_drop_p97_5_pp,recall_sensitivity_drop_mean_pp,recall_sensitivity_drop_sd_pp,recall_sensitivity_drop_p2_5_pp,recall_sensitivity_drop_p97_5_pp,specificity_drop_mean_pp,specificity_drop_sd_pp,specificity_drop_p2_5_pp,specificity_drop_p97_5_pp,precision_ppv_drop_mean_pp,precision_ppv_drop_sd_pp,precision_ppv_drop_p2_5_pp,precision_ppv_drop_p97_5_pp,npv_drop_mean_pp,npv_drop_sd_pp,npv_drop_p2_5_pp,npv_drop_p97_5_pp,f1_positive_drop_mean_pp,f1_positive_drop_sd_pp,f1_positive_drop_p2_5_pp,f1_positive_drop_p97_5_pp,accuracy_drop_mean_pp,accuracy_drop_sd_pp,accuracy_drop_p2_5_pp,accuracy_drop_p97_5_pp
overlap,ABUSOSUBS1,ABUSOSUBS1,ABUSOSUBS1,30,0.7819822734670683,0.7731145469614953,-0.44890508265191836,2.057823254309077,2.1690491597544983,0.6408772240481851,1.082931348902877,3.3054334078475294,2.9196701222185846,1.1482591481371967,0.5399866448424521,4.648371626924936,0.09363295880149651,1.4234163830586373,-2.2471910112359605,2.710674157303364,1.4703315881326402,0.9066265642785493,-0.08507853403141022,2.784685863874348,0.6559724643416569,0.47596129282404875,-0.18403011181844897,1.431669868127959,0.23282724751839384,0.5295122318007272,-0.5659388272549304,1.213507105684417,0.7313810958627927,0.6568396289304097,-0.3548404434555392,1.8078703923886634,1.2101910828025475,0.7368505071060143,-0.16454352441613582,2.39384288747346
overlap,ABUSOSUBS2,ABUSOSUBS2,ABUSOSUBS2,30,0.04215934270643632,0.6156875230468313,-1.0868286369786464,1.1254889993529027,0.11981096927270603,0.3857849611436935,-0.6789921465968559,0.7354844402611886,0.40253723243842465,0.563965630120989,-0.7096113138111692,1.1838354768323665,-0.29962546816479513,0.9182024204009862,-2.2471910112359605,1.4325842696629203,0.38394415357766626,0.9002509625462478,-1.0242146596858612,2.238219895287961,0.08866371649389414,0.4370241873651556,-0.6135971943887758,0.9236981685964302,-0.06059067024950996,0.3535664600302308,-0.8011203461942503,0.6559544889329123,0.05690604433950717,0.5460322059276894,-0.9210663912890031,1.0340042296035006,0.25477707006369427,0.7363229417007229,-0.8784501061571123,1.7091295116772813
overlap,APOYO.MEAN,APOYO.MEAN,APOYO.MEAN,30,0.34560856520972005,0.6284673885939022,-0.6369859991764153,1.267225277957524,0.5070641410279098,0.28657908673927573,-0.027520001176528336,1.009949114653805,0.7308981373382754,0.4332627258120769,0.17965015698052034,1.6212578764969783,0.41198501872659016,1.1132156479797972,-1.8398876404494426,1.8398876404494309,0.2792321116928498,0.6759715898240911,-1.060209424083765,1.3219895287958148,0.2255331693494507,0.39367172236118386,-0.5061824212291479,0.8031181135796462,0.189287117971099,0.41795907278751754,-0.5279158806012365,0.7838494000590406,0.30309859937639355,0.5413590482599502,-0.5753146147400249,1.0867787152211448,0.3043170559094125,0.5718321337947878,-0.5997876857749467,1.0907643312101907
overlap,APOYO.MEDIAN,APOYO.MEDIAN,APOYO.MEDIAN,30,-0.3213669431535179,0.666578848961047,-1.1616675980940099,0.9696158597564553,0.7102378571288563,0.366569246413539,-0.1239043473145423,1.1771832166598113,1.4086849652214801,0.7180178871557183,0.27867828624251967,2.894751497079884,-0.9176029962546847,1.137872614758722,-2.8089887640449507,1.6853932584269593,0.27486910994764896,0.7375079633787488,-0.9162303664921434,1.6066753926701622,-0.11290963387202145,0.4237440541203504,-0.7317606728207131,0.6512152136367457,-0.3074985520339608,0.4338582966911449,-0.995545418443269,0.6126918555738309,-0.24794673134256595,0.5756337601010029,-1.0138263946642179,0.8366371555357343,0.04953998584571835,0.6281783062794625,-0.8014861995753714,1.178343949044585
overlap,APOYO.VAR,APOYO.VAR,APOYO.VAR,30,0.3185236386454137,0.8079604868546628,-0.9424267603976726,1.8481418024589724,0.9123330784163849,0.40982928959095044,0.03801694217307028,1.428374463203719,1.8822904363672646,0.4042193719029388,1.083062571289542,2.6504890099316474,0.44943820224718983,1.4635027599617014,-1.587078651685397,3.5252808988764013,0.18760907504363544,0.7668301656489918,-1.0242146596858612,1.6328534031413677,0.1949426668000359,0.4865418066930175,-0.6012916561787682,1.1185150057554496,0.18980540124974782,0.5440963886386644,-0.6295332278885903,1.321767612423623,0.2753078270249085,0.6912551408646408,-0.8158014372585758,1.5985907788684997,0.23708421797593768,0.6671482761018979,-0.8784501061571123,1.3826963906581722
overlap,AUTOEFIC.MEAN,AUTOEFIC.MEAN,AUTOEFIC.MEAN,30,0.6300370610035896,0.4997137900127317,-0.3118198129301727,1.3833166656862148,0.9934162793889882,0.1885126678867671,0.6328681098888156,1.3059591740690681,0.9440779690084941,0.29477850940779493,0.48096264904257324,1.507475724321102,0.6928838951310856,0.9056713980941388,-1.2780898876404525,1.9943820224719022,0.5671902268760965,0.6470362986411153,-0.405759162303661,1.6786649214659757,0.42212903261862955,0.32273977219305755,-0.0795127718901098,0.9153634633059026,0.33356287798324263,0.33091176504628583,-0.39407253421769844,0.8456471528680285,0.5557136471535885,0.4310789182494999,-0.21259172164274626,1.2074585681068675,0.5909412597310684,0.51757732084831,-0.16454352441613582,1.4676220806794047
overlap,AUTOEFIC.VAR,AUTOEFIC.VAR,AUTOEFIC.VAR,30,0.2795997803792408,0.5155907858868906,-0.5323474910288813,1.2616367139243487,0.6908984842245671,0.2021869955031722,0.347116006823934,1.0462012471321787,0.7517484604015616,0.33141713760887437,0.17643008909583507,1.3612657188055093,0.07490636704119798,0.8568910869002632,-1.2780898876404525,1.8398876404494309,0.4842931937172827,0.5169171442292686,-0.3926701570680535,1.3579842931937216,0.23019280046727655,0.3224840920032721,-0.25794193965620466,0.9304741715795456,0.0923536040384147,0.33237515779878074,-0.4617890740251651,0.8013079755993315,0.26141878066382757,0.44374444622920134,-0.43539037423834637,1.1355765662782615,0.4069355980184005,0.45984986769802855,-0.31847133757961776,1.3614649681528654
overlap,CONVIVEN.1,CONVIVEN.1,CONVIVEN.1,30,-0.06456262133066382,0.27710607029408874,-0.5735999176422121,0.3452225130890134,-0.004215934270640487,0.08892791134182988,-0.1914818518736297,0.13826180951820694,0.08053784830819755,0.1887731379109623,-0.2632230009464571,0.42717261761541375,-0.48689138576779156,0.5053667922570839,-1.2780898876404525,0.0,0.35776614310646315,0.2031620817438127,0.09489528795811832,0.6904450261780188,0.03420747245385769,0.1588695861129138,-0.2647212637118715,0.3018455581601704,-0.1346104097671049,0.19261905497920748,-0.46030285422860806,0.0924984153736216,-0.029625678042260645,0.2338539645742356,-0.46397925316444416,0.32888416768251333,0.19815994338287327,0.19461582653767254,-0.13535031847133755,0.5599787685774944
overlap,CONVIVEN.2,CONVIVEN.2,CONVIVEN.2,30,0.7683049983332382,0.6922176650471356,-0.3695989469968794,2.0748830813577253,0.7054091417142241,0.2917162772279426,0.2677179539972885,1.2831085652097214,0.27747507535914706,0.45025718473568854,-0.7042183500460814,1.018857805471776,0.9737827715355785,1.1704055275554766,-1.1235955056179803,2.963483146067411,0.562827225130896,0.6102127757614325,-0.5006544502617712,1.7015706806282727,0.4918787870011484,0.4215605178508552,-0.20230501653713914,1.33266885989383,0.4376437489855222,0.45397034232578587,-0.3000173875650114,1.242315820078966,0.6700366922003823,0.5932149569535652,-0.30699271425069896,1.8034092000141821,0.6404812455767868,0.5661979579817732,-0.37685774946921435,1.7277070063694262
overlap,CONVIVEN.3,CONVIVEN.3,CONVIVEN.3,30,0.3315145988979766,0.1850161198277525,0.0061952173657314966,0.6621161538914098,0.1573376865305883,0.07324575364374222,0.0024633801988430196,0.2764684687334656,0.09751043156149627,0.1251491450753871,-0.16655756532875404,0.29592413247071936,0.31835205992509447,0.3192813354808634,-0.15449438202247223,0.5617977528089901,0.3446771378708609,0.22139074587015664,0.0,0.7624345549738293,0.23190689526771854,0.11928221424982582,0.0344883392282594,0.47464429247465445,0.16441242573805012,0.11984109630975459,-0.03552048966834696,0.31280747309427476,0.2962408486221046,0.1600520742930523,0.016219030585529634,0.5942115940841074,0.3397027600849256,0.18365804661151802,0.10615711252653925,0.7245222929936299
