model,threshold,recall_1,precision_1,specificity_0,npv,f1_1,balanced_accuracy,tp,fp,tn,fn,roc_auc,auc_pr
DecisionTree_actual,0.2,1.0,0.493368700265252,0.0,,0.6607460035523979,0.5,372,382,0,0,0.5799907110285425,0.5372608583688875
DecisionTree_actual,0.25,1.0,0.493368700265252,0.0,,0.6607460035523979,0.5,372,382,0,0,0.5799907110285425,0.5372608583688875
DecisionTree_actual,0.3,0.9112903225806451,0.5415335463258786,0.2486910994764398,0.7421875,0.6793587174348698,0.5799907110285425,339,287,95,33,0.5799907110285425,0.5372608583688875
DecisionTree_actual,0.35,0.9112903225806451,0.5415335463258786,0.2486910994764398,0.7421875,0.6793587174348698,0.5799907110285425,339,287,95,33,0.5799907110285425,0.5372608583688875
DecisionTree_actual,0.4,0.9112903225806451,0.5415335463258786,0.2486910994764398,0.7421875,0.6793587174348698,0.5799907110285425,339,287,95,33,0.5799907110285425,0.5372608583688875
DecisionTree_actual,0.45,0.9112903225806451,0.5415335463258786,0.2486910994764398,0.7421875,0.6793587174348698,0.5799907110285425,339,287,95,33,0.5799907110285425,0.5372608583688875
DecisionTree_actual,0.5,0.9112903225806451,0.5415335463258786,0.2486910994764398,0.7421875,0.6793587174348698,0.5799907110285425,339,287,95,33,0.5799907110285425,0.5372608583688875
DecisionTree_actual,0.55,0.0,0.0,1.0,0.506631299734748,0.0,0.5,0,0,382,372,0.5799907110285425,0.5372608583688875
DecisionTree_actual,0.6,0.0,0.0,1.0,0.506631299734748,0.0,0.5,0,0,382,372,0.5799907110285425,0.5372608583688875
DecisionTree_actual,0.65,0.0,0.0,1.0,0.506631299734748,0.0,0.5,0,0,382,372,0.5799907110285425,0.5372608583688875
DecisionTree_actual,0.7,0.0,0.0,1.0,0.506631299734748,0.0,0.5,0,0,382,372,0.5799907110285425,0.5372608583688875
DecisionTree_actual,0.75,0.0,0.0,1.0,0.506631299734748,0.0,0.5,0,0,382,372,0.5799907110285425,0.5372608583688875
DecisionTree_actual,0.8,0.0,0.0,1.0,0.506631299734748,0.0,0.5,0,0,382,372,0.5799907110285425,0.5372608583688875
LogisticRegression_balanced,0.2,0.9704301075268817,0.5006934812760055,0.05759162303664921,0.6666666666666666,0.6605672461116194,0.5140108652817654,361,360,22,11,0.7229916117772899,0.7217474848593899
LogisticRegression_balanced,0.25,0.9381720430107527,0.5117302052785924,0.12827225130890052,0.6805555555555556,0.6622390891840607,0.5332221471598266,349,333,49,23,0.7229916117772899,0.7217474848593899
LogisticRegression_balanced,0.3,0.9005376344086021,0.5394524959742351,0.2513089005235602,0.7218045112781954,0.67472306143001,0.5759232674660811,335,286,96,37,0.7229916117772899,0.7217474848593899
LogisticRegression_balanced,0.35,0.8440860215053764,0.5688405797101449,0.3769633507853403,0.7128712871287128,0.6796536796536796,0.6105246861453584,314,238,144,58,0.7229916117772899,0.7217474848593899
LogisticRegression_balanced,0.4,0.7983870967741935,0.6086065573770492,0.5,0.7180451127819549,0.6906976744186046,0.6491935483870968,297,191,191,75,0.7229916117772899,0.7217474848593899
LogisticRegression_balanced,0.45,0.728494623655914,0.6467780429594272,0.612565445026178,0.6985074626865672,0.6852085967130215,0.6705300343410461,271,148,234,101,0.7229916117772899,0.7217474848593899
LogisticRegression_balanced,0.5,0.6478494623655914,0.6846590909090909,0.7094240837696335,0.6741293532338308,0.6657458563535912,0.6786367730676124,241,111,271,131,0.7229916117772899,0.7217474848593899
LogisticRegression_balanced,0.55,0.5779569892473119,0.6935483870967742,0.7513089005235603,0.6463963963963963,0.6304985337243402,0.664632944885436,215,95,287,157,0.7229916117772899,0.7217474848593899
LogisticRegression_balanced,0.6,0.49193548387096775,0.7233201581027668,0.8167539267015707,0.6227544910179641,0.5856,0.6543447052862692,183,70,312,189,0.7229916117772899,0.7217474848593899
LogisticRegression_balanced,0.65,0.43010752688172044,0.7619047619047619,0.8691099476439791,0.6102941176470589,0.5498281786941581,0.6496087372628497,160,50,332,212,0.7229916117772899,0.7217474848593899
LogisticRegression_balanced,0.7,0.31989247311827956,0.7986577181208053,0.9214659685863874,0.5818181818181818,0.45681381957773515,0.6206792208523335,119,30,352,253,0.7229916117772899,0.7217474848593899
LogisticRegression_balanced,0.75,0.24193548387096775,0.8411214953271028,0.9554973821989529,0.5641421947449768,0.3757828810020877,0.5987164330349604,90,17,365,282,0.7229916117772899,0.7217474848593899
LogisticRegression_balanced,0.8,0.17473118279569894,0.8666666666666667,0.9738219895287958,0.5478645066273933,0.29082774049217003,0.5742765861622474,65,10,372,307,0.7229916117772899,0.7217474848593899
RandomForest_balanced,0.2,0.9596774193548387,0.5129310344827587,0.112565445026178,0.7413793103448276,0.6685393258426966,0.5361214321905083,357,339,43,15,0.7175026740978439,0.7216668781255241
RandomForest_balanced,0.25,0.9408602150537635,0.5263157894736842,0.17539267015706805,0.7528089887640449,0.6750241080038573,0.5581264426054158,350,315,67,22,0.7175026740978439,0.7216668781255241
RandomForest_balanced,0.3,0.9086021505376344,0.5382165605095541,0.24083769633507854,0.7301587301587301,0.676,0.5747199234363565,338,290,92,34,0.7175026740978439,0.7216668781255241
RandomForest_balanced,0.35,0.8709677419354839,0.5605536332179931,0.33507853403141363,0.7272727272727273,0.6821052631578948,0.6030231379834488,324,254,128,48,0.7175026740978439,0.7216668781255241
RandomForest_balanced,0.4,0.8306451612903226,0.5942307692307692,0.4476439790575916,0.7307692307692307,0.6928251121076233,0.6391445701739571,309,211,171,63,0.7175026740978439,0.7216668781255241
RandomForest_balanced,0.45,0.7553763440860215,0.6095444685466378,0.5287958115183246,0.689419795221843,0.6746698679471789,0.6420860778021731,281,180,202,91,0.7175026740978439,0.7216668781255241
RandomForest_balanced,0.5,0.6854838709677419,0.6390977443609023,0.6230366492146597,0.6704225352112676,0.6614785992217899,0.6542602600912009,255,144,238,117,0.7175026740978439,0.7216668781255241
RandomForest_balanced,0.55,0.5860215053763441,0.68125,0.7329842931937173,0.6451612903225806,0.630057803468208,0.6595028992850307,218,102,280,154,0.7175026740978439,0.7216668781255241
RandomForest_balanced,0.6,0.48118279569892475,0.7217741935483871,0.819371727748691,0.6185770750988142,0.5774193548387097,0.650277261723808,179,69,313,193,0.7175026740978439,0.7216668781255241
RandomForest_balanced,0.65,0.3844086021505376,0.7606382978723404,0.8821989528795812,0.5954063604240283,0.5107142857142857,0.6333037775150594,143,45,337,229,0.7175026740978439,0.7216668781255241
RandomForest_balanced,0.7,0.2661290322580645,0.8114754098360656,0.9397905759162304,0.5680379746835443,0.4008097165991903,0.6029598040871474,99,23,359,273,0.7175026740978439,0.7216668781255241
RandomForest_balanced,0.75,0.1532258064516129,0.8382352941176471,0.9712041884816754,0.5408163265306123,0.2590909090909091,0.5622149974666442,57,11,371,315,0.7175026740978439,0.7216668781255241
RandomForest_balanced,0.8,0.07526881720430108,0.9032258064516129,0.9921465968586387,0.5242047026279392,0.13895781637717122,0.5337077070314699,28,3,379,344,0.7175026740978439,0.7216668781255241
GradientBoosting,0.2,0.9919354838709677,0.4973045822102426,0.02356020942408377,0.75,0.6624775583482945,0.5077478466475258,369,373,9,3,0.7268338681529021,0.7199167254879597
GradientBoosting,0.25,0.967741935483871,0.5056179775280899,0.07853403141361257,0.7142857142857143,0.6642066420664207,0.5231379834487417,360,352,30,12,0.7268338681529021,0.7199167254879597
GradientBoosting,0.3,0.9327956989247311,0.5346687211093991,0.2094240837696335,0.7619047619047619,0.6797257590597453,0.5711098913471824,347,302,80,25,0.7268338681529021,0.7199167254879597
GradientBoosting,0.35,0.8790322580645161,0.5637931034482758,0.337696335078534,0.7413793103448276,0.6869747899159664,0.608364296571525,327,253,129,45,0.7268338681529021,0.7199167254879597
GradientBoosting,0.4,0.8198924731182796,0.595703125,0.4581151832460733,0.7231404958677686,0.6900452488687783,0.6390038281821765,305,207,175,67,0.7268338681529021,0.7199167254879597
GradientBoosting,0.45,0.7553763440860215,0.623059866962306,0.5549738219895288,0.6996699669966997,0.6828675577156743,0.6551750830377752,281,170,212,91,0.7268338681529021,0.7199167254879597
GradientBoosting,0.5,0.6693548387096774,0.6821917808219178,0.6963350785340314,0.6838046272493573,0.6757123473541384,0.6828449586218543,249,116,266,123,0.7268338681529021,0.7199167254879597
GradientBoosting,0.55,0.5806451612903226,0.72,0.7801047120418848,0.6563876651982379,0.6428571428571429,0.6803749366661037,216,84,298,156,0.7268338681529021,0.7199167254879597
GradientBoosting,0.6,0.45161290322580644,0.7368421052631579,0.8429319371727748,0.6121673003802282,0.56,0.6472724201992907,168,60,322,204,0.7268338681529021,0.7199167254879597
GradientBoosting,0.65,0.3575268817204301,0.7687861271676301,0.8952879581151832,0.5886402753872634,0.48807339449541287,0.6264074199178067,133,40,342,239,0.7268338681529021,0.7199167254879597
GradientBoosting,0.7,0.22849462365591397,0.8095238095238095,0.9476439790575916,0.5577812018489985,0.35639412997903563,0.5880693013567527,85,20,362,287,0.7268338681529021,0.7199167254879597
GradientBoosting,0.75,0.15053763440860216,0.8484848484848485,0.9738219895287958,0.5406976744186046,0.2557077625570776,0.562179811968699,56,10,372,316,0.7268338681529021,0.7199167254879597
GradientBoosting,0.8,0.08602150537634409,0.8421052631578947,0.9842931937172775,0.5251396648044693,0.15609756097560976,0.5351573495468108,32,6,376,340,0.7268338681529021,0.7199167254879597
