outcome,threshold,prevalence,net_benefit_model,net_benefit_screen_all,net_benefit_screen_none,net_benefit_model_minus_all,net_benefit_model_minus_none,standardized_net_benefit_model
overlap,0.05,0.18895966029723993,0.1462733266286736,0.1462733266286736,0.0,0.0,0.1462733266286736,0.7740981667652276
overlap,0.1,0.18895966029723993,0.09884406699693324,0.09884406699693324,0.0,0.0,0.09884406699693324,0.5230961298377028
overlap,0.15,0.18895966029723993,0.04695891095291618,0.04583489446734107,0.0,0.0011240164855751134,0.04695891095291618,0.24851288830138787
overlap,0.2,0.18895966029723993,-0.00424628450106157,-0.013800424628450103,0.0,0.009554140127388533,-0.00424628450106157,-0.022471910112359543
overlap,0.25,0.18895966029723993,-0.05944798301486198,-0.08138711960368011,0.0,0.02193913658881813,-0.05944798301486198,-0.3146067415730336
overlap,0.3,0.18895966029723993,-0.10646041856232943,-0.15862905671822874,0.0,0.05216863815589931,-0.10646041856232943,-0.563402889245586
overlap,0.4,0.18895966029723993,-0.17586694975230013,-0.35173389950460027,0.0,0.17586694975230013,-0.17586694975230013,-0.9307116104868917
overlap,0.5,0.18895966029723993,-0.2239915074309979,-0.6220806794055203,0.0,0.3980891719745223,-0.2239915074309979,-1.1853932584269664
perpetration,0.05,0.2346072186836518,0.19432338808805452,0.19432338808805455,0.0,-2.7755575615628914e-17,0.19432338808805452,0.8282924505834722
perpetration,0.1,0.2346072186836518,0.14956357631516864,0.14956357631516867,0.0,-2.7755575615628914e-17,0.14956357631516864,0.6375062845651079
perpetration,0.15,0.2346072186836518,0.09953790433370799,0.09953790433370802,0.0,-2.7755575615628914e-17,0.09953790433370799,0.42427468725046574
perpetration,0.2,0.2346072186836518,0.043259023354564746,0.043259023354564774,0.0,-2.7755575615628914e-17,0.043259023354564746,0.18438914027149317
perpetration,0.25,0.2346072186836518,-0.02052370842179757,-0.02052370842179757,0.0,0.0,-0.02052370842179757,-0.08748114630467561
perpetration,0.3,0.2346072186836518,-0.0934182590233546,-0.09341825902335454,0.0,-5.551115123125783e-17,-0.0934182590233546,-0.3981900452488689
perpetration,0.4,0.2346072186836518,-0.2664543524416137,-0.27565463552724706,0.0,0.009200283085633365,-0.2664543524416137,-1.135746606334842
perpetration,0.5,0.2346072186836518,-0.3205944798301486,-0.5307855626326963,0.0,0.21019108280254767,-0.3205944798301486,-1.3665158371040722
victimization,0.05,0.49363057324840764,0.4669795507877975,0.4669795507877975,0.0,0.0,0.4669795507877975,0.9460101867572156
victimization,0.1,0.49363057324840764,0.43736730360934184,0.43736730360934184,0.0,0.0,0.43736730360934184,0.8860215053763442
victimization,0.15,0.49363057324840764,0.4042712626451854,0.4042712626451854,0.0,0.0,0.4042712626451854,0.8189753320683111
victimization,0.2,0.49363057324840764,0.36703821656050956,0.36703821656050956,0.0,0.0,0.36703821656050956,0.7435483870967742
victimization,0.25,0.49363057324840764,0.32484076433121023,0.32484076433121023,0.0,0.0,0.32484076433121023,0.6580645161290324
victimization,0.3,0.49363057324840764,0.28025477707006374,0.27661510464058237,0.0,0.0036396724294813776,0.28025477707006374,0.5677419354838711
victimization,0.4,0.49363057324840764,0.19709837225760793,0.1560509554140127,0.0,0.041047416843595225,0.19709837225760793,0.3992831541218638
victimization,0.5,0.49363057324840764,0.08067940552016989,-0.01273885350318471,0.0,0.0934182590233546,0.08067940552016989,0.16344086021505383
