,importance
PC1,3.8038042
PC2,4.223721
PC3,4.6426935
PC4,4.385544
PC5,4.8087864
PC6,4.4762297
PC7,4.6972365
PC8,4.9496565
PC9,4.0626044
PC10,4.671341
PC11,4.0277004
PC12,4.570906
PC13,4.5680175
PC14,3.8707566
PC15,5.169108
PC16,5.1079392
PC17,4.1577044
PC18,4.470003
PC19,4.467398
PC20,4.970245
PC21,5.0662336
PC22,4.8323693
