outcome,component,component_number,feature,loading,abs_loading,explained_variance_ratio_component,explained_variance_percent_component,cumulative_variance_percent_at_component
victimization,PC1,1,GENERO.BN0,0.49332730590783436,0.49332730590783436,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,GENERO.BN1,-0.4933273059078339,0.4933273059078339,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,PORNO.T,0.21289213076898772,0.21289213076898772,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,ORIENTSEX.BN0,0.09214507080982458,0.09214507080982458,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,ORIENTSEX.BN1,-0.09214507080982458,0.09214507080982458,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,AUTOEFIC.MEAN,0.04367985799151077,0.04367985799151077,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,MORAL.MEAN,-0.03676691178751081,0.03676691178751081,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,CONVIVEN_H,-0.03167350935342915,0.03167350935342915,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC2,2,CONVIVEN_H,0.3428200084431438,0.3428200084431438,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,CONVIVEN.2,0.27407027933406974,0.27407027933406974,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,ORIENTSEX.BN0,0.12435729509229537,0.12435729509229537,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,ORIENTSEX.BN1,-0.12435729509229537,0.12435729509229537,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,ETNIA.BN,-0.10235592543097081,0.10235592543097081,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,FUGAS.BN,-0.0858807668947189,0.0858807668947189,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,CONVIVEN.1,0.08476648914169378,0.08476648914169378,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,PAÍS,0.06571777783436122,0.06571777783436122,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC3,3,ORIENTSEX.BN0,0.28952659660004715,0.28952659660004715,0.08995069217065887,8.995069217065888,42.09854331202401
victimization,PC3,3,ORIENTSEX.BN1,-0.28952659660004715,0.28952659660004715,0.08995069217065887,8.995069217065888,42.09854331202401
victimization,PC3,3,CONVIVEN_H,-0.13416101643670408,0.13416101643670408,0.08995069217065887,8.995069217065888,42.09854331202401
victimization,PC3,3,CONVIVEN.2,-0.106571020049882,0.106571020049882,0.08995069217065887,8.995069217065888,42.09854331202401
victimization,PC3,3,PORNO.T,-0.083886811588877,0.083886811588877,0.08995069217065887,8.995069217065888,42.09854331202401
victimization,PC3,3,ETNIA.BN,0.0817852385380059,0.0817852385380059,0.08995069217065887,8.995069217065888,42.09854331202401
victimization,PC3,3,GENERO.BN1,0.043865495773391286,0.043865495773391286,0.08995069217065887,8.995069217065888,42.09854331202401
victimization,PC3,3,GENERO.BN0,-0.04386549577338788,0.04386549577338788,0.08995069217065887,8.995069217065888,42.09854331202401
victimization,PC4,4,ETNIA.BN,0.2852994473544626,0.2852994473544626,0.08497248802561183,8.497248802561183,50.595792114585194
victimization,PC4,4,CONVIVEN_H,0.27096164610777423,0.27096164610777423,0.08497248802561183,8.497248802561183,50.595792114585194
victimization,PC4,4,PAÍS,-0.140860269452952,0.140860269452952,0.08497248802561183,8.497248802561183,50.595792114585194
victimization,PC4,4,CONVIVEN.2,-0.13280119351463235,0.13280119351463235,0.08497248802561183,8.497248802561183,50.595792114585194
victimization,PC4,4,CONVIVEN.3,0.06022523609630595,0.06022523609630595,0.08497248802561183,8.497248802561183,50.595792114585194
victimization,PC4,4,APOYO.MEDIAN,-0.05896353762519468,0.05896353762519468,0.08497248802561183,8.497248802561183,50.595792114585194
victimization,PC4,4,APOYO.VAR,0.05697396099888442,0.05697396099888442,0.08497248802561183,8.497248802561183,50.595792114585194
victimization,PC4,4,APOYO.MEAN,-0.05209808633989456,0.05209808633989456,0.08497248802561183,8.497248802561183,50.595792114585194
victimization,PC5,5,EDAD,0.19002610036991854,0.19002610036991854,0.06835982173094263,6.835982173094263,57.431774287679445
victimization,PC5,5,ABUSOSUBS1,0.18900987065164082,0.18900987065164082,0.06835982173094263,6.835982173094263,57.431774287679445
victimization,PC5,5,FUGAS.BN,0.13129598236762127,0.13129598236762127,0.06835982173094263,6.835982173094263,57.431774287679445
victimization,PC5,5,CONVIVEN.2,-0.12831923418076907,0.12831923418076907,0.06835982173094263,6.835982173094263,57.431774287679445
victimization,PC5,5,CONVIVEN_H,0.12395433937425192,0.12395433937425192,0.06835982173094263,6.835982173094263,57.431774287679445
victimization,PC5,5,ABUSOSUBS2,0.12216994544804559,0.12216994544804559,0.06835982173094263,6.835982173094263,57.431774287679445
victimization,PC5,5,ETNIA.BN,-0.11000809841554972,0.11000809841554972,0.06835982173094263,6.835982173094263,57.431774287679445
victimization,PC5,5,PORNO.T,0.08751369177550145,0.08751369177550145,0.06835982173094263,6.835982173094263,57.431774287679445
victimization,PC6,6,CONVIVEN.2,0.22803039550298587,0.22803039550298587,0.05792716537054275,5.792716537054275,63.22449082473373
victimization,PC6,6,ETNIA.BN,0.17877802912432636,0.17877802912432636,0.05792716537054275,5.792716537054275,63.22449082473373
victimization,PC6,6,FUGAS.BN,0.11098868611791085,0.11098868611791085,0.05792716537054275,5.792716537054275,63.22449082473373
victimization,PC6,6,EDAD,0.10823151038803745,0.10823151038803745,0.05792716537054275,5.792716537054275,63.22449082473373
