outcome,component,component_number,feature,loading,abs_loading,explained_variance_ratio_component,explained_variance_percent_component,cumulative_variance_percent_at_component
victimization,PC1,1,PAÍS,-0.01537733390806755,0.01537733390806755,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,ETNIA.BN,0.008723336230154276,0.008723336230154276,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,EDAD,0.008023518471027736,0.008023518471027736,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,FUGAS.BN,0.00331029393157958,0.00331029393157958,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,ABUSOSUBS1,-0.015322702586267235,0.015322702586267235,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,ABUSOSUBS2,0.01200097173427306,0.01200097173427306,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,CONVIVEN.1,-0.007524796651652991,0.007524796651652991,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,CONVIVEN.2,0.004048589397903329,0.004048589397903329,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,CONVIVEN.3,-0.0070428032387007755,0.0070428032387007755,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,CONVIVEN.4,0.004445162664590204,0.004445162664590204,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,CONVIVEN_H,-0.03167350935342915,0.03167350935342915,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,CONVIVEN_0,0.0008748722644515969,0.0008748722644515969,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,AUTOEFIC.MEAN,0.04367985799151077,0.04367985799151077,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,AUTOEFIC.VAR,-0.014866959689187303,0.014866959689187303,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,IMPULS.MEAN,0.0037829482351656144,0.0037829482351656144,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,IMPULS.MEDIAN,0.005498765004573425,0.005498765004573425,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,IMPULS.VAR,-0.02395718382752343,0.02395718382752343,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,APOYO.MEAN,0.013011865036341901,0.013011865036341901,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,APOYO.MEDIAN,0.01529100606992896,0.01529100606992896,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,APOYO.VAR,-0.009916492978192904,0.009916492978192904,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,MORAL.MEAN,-0.03676691178751081,0.03676691178751081,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,MORAL.VAR,0.01192364774345954,0.01192364774345954,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,PORNO.T,0.21289213076898772,0.21289213076898772,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,GENERO.BN0,0.49332730590783436,0.49332730590783436,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,ORIENTSEX.BN0,0.09214507080982458,0.09214507080982458,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,GENERO.BN1,-0.4933273059078339,0.4933273059078339,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC1,1,ORIENTSEX.BN1,-0.09214507080982458,0.09214507080982458,0.22036727840950515,22.036727840950515,22.036727840950515
victimization,PC2,2,PAÍS,0.06571777783436122,0.06571777783436122,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,ETNIA.BN,-0.10235592543097081,0.10235592543097081,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,EDAD,-0.05469789309638762,0.05469789309638762,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,FUGAS.BN,-0.0858807668947189,0.0858807668947189,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,ABUSOSUBS1,-0.04808955815084043,0.04808955815084043,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,ABUSOSUBS2,-0.03698133508858255,0.03698133508858255,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,CONVIVEN.1,0.08476648914169378,0.08476648914169378,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,CONVIVEN.2,0.27407027933406974,0.27407027933406974,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,CONVIVEN.3,-0.056650416966511165,0.056650416966511165,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,CONVIVEN.4,-0.008059562475934739,0.008059562475934739,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,CONVIVEN_H,0.3428200084431438,0.3428200084431438,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,CONVIVEN_0,-0.05641220290153247,0.05641220290153247,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,AUTOEFIC.MEAN,0.02942484496897826,0.02942484496897826,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,AUTOEFIC.VAR,-0.021737669016472387,0.021737669016472387,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,IMPULS.MEAN,0.0025571893221312068,0.0025571893221312068,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,IMPULS.MEDIAN,0.0036971305474379373,0.0036971305474379373,0.11066746254007609,11.066746254007608,33.10347409495812
victimization,PC2,2,IMPULS.VAR,-0.0016632090209667614,0.0016632090209667614,0.11066746254007609,11.066746254007608,33.10347409495812
