model,threshold,recall_1,precision_1,specificity_0,npv,f1_1,balanced_accuracy,accuracy,tp,fp,tn,fn,auc_pr,auc_roc
LogisticRegression_balanced,0.5,0.6018099547511312,0.37677053824362605,0.694868238557559,0.8505942275042445,0.4634146341463415,0.6483390966543451,0.673036093418259,133,220,501,88,0.4124006624437929,0.7080851758179
DecisionTree_balanced,0.5,0.5656108597285068,0.352112676056338,0.680998613037448,0.8364565587734242,0.4340277777777778,0.6233047363829773,0.6539278131634819,125,230,491,96,0.3547042077629903,0.6448371731067333
NeuralNetwork_current,0.5,0.9004524886877828,0.2948148148148148,0.33980582524271846,0.9176029962546817,0.44419642857142855,0.6201291569652506,0.4713375796178344,199,476,245,22,0.38956937074700776,0.6999705035113373
HistGradientBoosting,0.5,0.18552036199095023,0.5,0.9431345353675451,0.7906976744186046,0.2706270627062706,0.5643274486792477,0.7653927813163482,41,41,680,180,0.3770498496218382,0.6772456555437709
RandomForest_balanced,0.5,0.1583710407239819,0.47297297297297297,0.9459084604715673,0.7857142857142857,0.23728813559322035,0.5521397505977745,0.7611464968152867,35,39,682,186,0.401869377532684,0.6896718358740062
GradientBoosting,0.5,0.13574660633484162,0.46875,0.9528432732316228,0.7824601366742597,0.21052631578947367,0.5442949397832322,0.7611464968152867,30,34,687,191,0.40930510594367936,0.6919248655399427
