,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
0,-0.7167785010188376,0.44780311253720667,-0.1460328299282968,-0.12415517048393507,0.5584551505968216,0.13382239220312878,-0.3726858015346935,0.32527290524159436,0.8194107381639723,-0.16591588894482032,0.253630510954236,0.49622455641035845,0.060429906517140225,0.1774766440575002,-0.046097331035776755,0.24858934191744766,-0.05609029884796704,-0.11578725572258498,0.37638082158432656,0.17219939781269733,-0.004182287270808527,0.054812064572552506
1,0.8362346580789283,0.48437974601341055,0.21896589843955866,-0.07298041019085427,0.3839478421033223,0.10190371677451514,-0.13536293848903588,-0.06134440631199355,0.02602925448439094,0.19192215216658248,0.03761167084091627,0.08361411184919872,0.04463364778037041,-0.07851870991879932,0.09843365302898924,-0.11396412753424132,0.12905396778694786,-0.007772660265943295,-0.06965955635928071,-0.06717545649994044,0.009553909367822721,-0.22816744126752084
2,-0.538701301649454,-0.2409128843892829,-0.2219288477893646,-0.7222764904217549,0.34575295741549117,0.4758881004313232,-0.2492919283147312,-0.28969795553559047,0.04379270318804167,0.2871944645007125,0.0654621184760674,-0.06009459957341764,-0.08489400379607624,0.10527125496996081,0.3525377605058366,-0.23053803720402136,-0.3227937008976983,-0.2605113643797335,0.06672503342680833,0.19178290663524178,-0.002172893210582673,0.09064548925822141
3,0.822114741119595,0.46678925235656843,0.2342312926089814,-0.0799197175743869,0.4361365050407579,0.13114232372323145,-0.12959468817183548,-0.09673572877632565,0.02254529913584044,0.22675178623405556,0.028270994155320257,0.14823558517609492,0.02714923456152221,-0.05104559935058817,0.1814458992297618,0.11792555707303791,-0.051749023655643336,-0.014278282130961412,0.021772222208775092,0.09922051311326245,-0.005317491198041633,-0.10240008765889698
4,-0.6260016264152489,0.47934875344958944,-0.05479279857708269,-0.1512212006701537,0.6120980284495924,0.26088535822754494,-0.37076700068119633,-0.1213467331728496,0.01711373392188437,0.04319429347222955,-0.018959433050251676,0.06833653654009758,0.04175788624592099,-0.039899934855649924,0.20245588568500564,0.023593544329003346,0.20840842755912048,0.04627784406315015,-0.011126992896387435,0.1300931244122834,-0.017809696658746477,0.021848953380161223
5,0.8962796183658674,-0.3813318727899845,-0.05595982605155757,-0.5353835629038006,-0.1274969428832021,0.25905107581304343,0.3378495327494505,-0.2350381479163537,0.44318268174804765,0.37213166816476045,-0.5772304472339271,0.000542104681154479,0.15316123646440824,-0.5137756935157892,0.23211105203967775,-0.11681497553490286,-0.017498857294949224,0.16262067563585755,0.40065517978953863,-0.09742329518141862,-0.18517989439518803,-0.0542065351804391
6,0.42880590802082447,0.19775703967605035,1.3006410272884739,-0.058675200511829784,-0.34654351536531364,-0.3229346584117166,-0.3982852188764221,0.15151402993031068,-0.15493784182230189,-0.3598065284327689,-0.08080157226705686,-0.06214407409230131,0.0553406618835002,0.006512848486968822,-0.0383902975171245,-0.042257804896409214,-0.10331199543338998,-0.05951381434444039,-0.35932645813321296,0.13406024291578328,0.01915480166466797,-0.1452251063673066
7,-0.7439289750446006,0.49116386079717056,-0.07299318493580431,-0.15350888489315087,0.5062133324557861,0.16471695089883442,-0.3276772227192293,-0.2062556010062488,0.010322230797690894,-0.15647852759384287,-0.047135151549833366,0.05835894252848596,-0.003545884580955735,-0.002868597969453134,0.040188430843347576,-0.14639132407903524,-0.2689025097610529,-0.2450444508170049,-0.01695263459605522,-0.028097877360765754,0.0062948101882073955,-0.2395342851835908
8,0.5175606173733822,-1.4842251392340766,0.8557707140320544,0.2018522126355653,0.08794528586662245,0.21715517065282802,-0.7046071042383326,-0.032866588187814044,-0.3697683542283162,-0.10356953495177033,0.13433863965918208,0.6726831376979906,0.7119041169331998,-0.06276480093537604,0.8980836820829409,-0.356523351529575,-0.10011195956525681,-0.44624820767218426,-0.5196582432574963,0.030565057157391086,0.024446665501415072,0.11196465594703311
9,0.9119742884410357,0.34036895038456755,0.2416179031863232,-0.0690961344167496,0.9188346214645271,0.04430152518175131,-0.4524618924125349,0.12026212918420126,-0.05326769638191703,0.4581695946623657,-0.47442541054578713,0.28494502014099776,-0.22764828719248528,0.5415773913855971,-0.00034077800996077496,-0.05360792148147867,0.24214164765744542,-0.01778572624518039,0.39874031512985947,0.21567888219152792,-0.280954080367639,-0.03197701119785599
10,0.698831781627668,-0.09931481481751736,-0.18773625841358413,-0.7698557939066895,0.1352349324098979,0.26359116683325035,-0.26565511285080007,0.058308725244499995,-0.09333164438035674,-0.28998027734490694,-0.04380643575106643,0.6944396436847291,0.18117345091396106,-0.09087483807213756,0.023869599310312795,-0.2870615185310377,0.08175578316731935,0.04813920203783469,0.29939161217172244,0.0976100777966283,-0.022015286717121066,0.08814566459723286
11,-0.7229092179366186,0.5092350696302043,-0.1144650323350912,-0.06441229812517398,0.24046836651886705,0.05298716859151732,-0.07231538031196041,-0.19073971752923172,0.027204693149734768,-0.07740541527730524,-0.013733448517312168,0.04137674773115578,0.005025397434587723,-0.044966783669625934,0.2168207550489301,-0.22932160661333123,-0.26361504179259193,-0.05372296222036122,0.20658622084323675,0.09850123213507811,-0.006902328807052998,0.05419804999969752
12,0.8702523726831715,0.4588983316943855,0.28768633863210136,0.008628363755941124,0.20349185324115024,0.03752996316547372,0.003702416039431606,-0.3177694613445993,0.06850272758941137,0.31142556229802154,0.04988423211494972,-0.32672949386489786,-0.13988878760790008,0.062722674441858,0.09631954033342227,0.20862105633618908,0.008201866898468501,-0.1583163692410129,0.11174670260167334,-0.26649895391052514,-0.040200210601267994,-0.029629703866977972
13,0.8610715162653059,-0.16268676039633126,-0.0438647816331549,0.447483401192738,0.6602895902238484,-0.3108486354285992,-0.6659280003034819,-0.07343983599980156,-0.14290008638318047,-0.02266989724075768,0.26238856791242915,-0.05862491748922627,-0.7005840345340382,-0.49207168120150035,-0.03602390079670939,0.1040232093042836,0.01107688857717228,-0.014085720443947711,-0.1957485531429217,0.09191705326890774,0.061820077129819295,0.09715638578458273
14,-0.7511150984300389,0.09460444194853838,0.07668684191112039,0.19676359118111603,0.6607379235506247,0.5031741215460434,0.7600358626258863,0.020391042156398146,0.7576674998770447,-0.5388469826172885,0.266798066226116,0.09793832707815447,-0.08014313056106849,0.3049652673483353,-0.2710886876301335,0.222744061140721,-0.07824413700465879,-0.24304599118618145,0.029829436364471315,0.09594250504265782,-0.0008351733815423598,-0.057661703763929616
15,-0.7199520363426597,0.5845067017600719,-0.1602136581115014,-0.09277428586332623,0.14531510188106983,-0.022614170485539705,-0.20158859935938406,-0.0438599023646238,-0.02905367681922519,-0.11765925897845456,-0.03598375452821875,-0.0966895548865759,-0.05192104856618914,0.003674373092260457,0.19351682015778224,0.052874691680949375,0.06379618793258293,-0.0657069186279995,-0.028384707844910716,-0.24342802128697566,-0.014981882373163079,-0.06627089238313107
16,-0.8242480782081296,-0.09780099216302296,1.2983889128196062,-0.13653651582056997,0.7048750070878591,0.4612572493969827,0.044316532399691674,0.7594985559023497,-0.21901173989055925,-0.03444340451401868,0.0805771398467587,0.08104090191070015,0.03314240924025888,-0.09677293009595164,-0.13334484644385586,0.009107577645249502,-0.2203295434141464,0.02390297336480013,0.3410676888288876,0.33751613877859754,-0.010774244594576711,0.041236442040230525
17,0.8850216585114018,-0.1354747523983624,-0.027429232356910176,-0.8507757385204459,0.44733142182569074,0.4214867236007519,-0.5610331202374769,0.04191621288694198,-0.05988843162027577,0.1464670764577904,0.0179021471711309,0.21941516532703859,-0.012727432993882227,0.06477903090216919,-0.0706166120645596,0.22237409557191204,-0.01777935762416688,-0.06957046402753625,0.5001563490343635,0.1399747753392378,-0.014547753686907134,0.021406588967963523
18,0.9766351243930096,-0.9923382629275095,-0.2300896595618676,-0.46959822344925395,0.9563629109082573,-0.06756183559452815,-0.6596601852440778,0.3951570368228365,1.0299635529452091,0.23944309211839676,-0.1219862074318306,0.1463996834717872,0.2811432756284058,-0.33229777657680354,0.08690219923296001,0.7193446897441983,0.16646102027708543,-0.2035864747879313,0.21281183396466413,0.17459835940933227,-0.11136065130161558,-0.07900768944409312
19,0.6615677452857196,0.2737710451957915,-0.20207658411682983,0.7843565614705575,-0.3646537024698582,0.4868459308295542,-0.862202951613044,-0.005652108701444665,-0.2311416550190473,-0.5889863680873126,-0.12188772966475503,0.030642139222231576,-0.44252723556352597,-0.10728645741911978,0.028486733745981974,0.05285855158936226,-0.007744316166713316,-0.17900000140695316,0.11817512460555551,0.08886861144953376,0.025929780829436963,-0.1759150072590446
20,0.6184461668394248,0.6078959728872726,0.040947254495747,-0.08713328276512819,0.07545586320914113,-0.12489062918861543,-0.3857026934647047,-0.18681656334908725,-0.10698328899537232,-0.6001129686805243,-0.14859822731677794,-0.12352050258517377,-0.0028679049893278402,0.09909196272554034,-0.03970992874221645,0.1313377260929902,-0.04740717757395292,0.007107511687339034,-0.243355899547352,0.1125348023867142,-0.00715077493407607,-0.01733843475814175
21,-0.6710409065165621,0.38869140404815034,-0.34507953063757507,0.47362659927652845,-0.09903774746185756,0.44749861782417644,-0.6919230419891546,0.029544259929271174,-0.1938884868671323,-0.20134097338434892,-0.08059551231124601,-0.30109760017034365,0.3524387911103432,0.23441574838795037,-0.001152619662863689,-0.0689752113775748,0.14888915877819542,-0.0620239664535203,-0.2682229677641773,0.08996718275383715,-0.029785899060553567,-0.003853766588652389
22,-0.41227402117634543,0.4785359297889076,0.058519435795792926,-0.14743241044730732,0.636481865200593,0.2715270950454782,-0.4000957795361435,-0.0746768346059987,0.08330118758875767,0.537106952279125,0.11467493565846795,-0.4722774896336949,-0.0901715295938806,0.026933627115462648,-0.10182238148291373,-0.06943628840455407,0.17875761753947328,0.11430900507599256,-0.012803256780236935,0.11391130192648098,-0.006332419931020367,-0.004125969875332992
23,0.6830326794762861,-1.4100335273170475,-0.43647053499843985,0.9160815949591313,-0.07220593279686403,0.25509475141300464,0.6199810734407077,-0.06665849837869886,-0.5355831587244864,-0.4245455937279326,-0.29628339040388074,0.47851151084046967,-0.6506322326596318,0.3400947231306849,-0.5241672292180968,0.1364616589960809,0.17053064524786357,-0.2693966034180372,0.21586436660529,-0.021928669508334178,-0.22059517113762944,0.02781469737455276
24,0.651984874010273,-0.1981120187243888,0.09700402176245486,0.4593967412062011,0.3731758499282105,-0.5884686300161969,0.23074288811662427,-0.9989854041063998,-0.020989934300042642,-0.3874445591004319,-0.17839183826021113,-0.2544351892670981,0.07862512254541826,-0.0029094461523144354,-0.6440477977202573,-0.015468429761147429,0.025026959914215333,-0.5127575986265582,0.03728402314867765,-0.004763102141905353,0.979844183779786,-0.020811463922580948
