outcome,component,component_number,feature,loading,abs_loading,explained_variance_ratio_component,explained_variance_percent_component,cumulative_variance_percent_at_component,domain
victimization,PC1,1,PAÍS,-0.0153773339080675,0.0153773339080675,0.2203672784095051,22.036727840950515,22.036727840950515,Sociodemographic indicators
victimization,PC1,1,ETNIA.BN,0.0087233362301542,0.0087233362301542,0.2203672784095051,22.036727840950515,22.036727840950515,Sociodemographic indicators
victimization,PC1,1,EDAD,0.0080235184710277,0.0080235184710277,0.2203672784095051,22.036727840950515,22.036727840950515,Sociodemographic indicators
victimization,PC1,1,FUGAS.BN,0.0033102939315795,0.0033102939315795,0.2203672784095051,22.036727840950515,22.036727840950515,Running away
victimization,PC1,1,ABUSOSUBS1,-0.0153227025862672,0.0153227025862672,0.2203672784095051,22.036727840950515,22.036727840950515,Substance use
victimization,PC1,1,ABUSOSUBS2,0.012000971734273,0.012000971734273,0.2203672784095051,22.036727840950515,22.036727840950515,Substance use
victimization,PC1,1,CONVIVEN.1,-0.0075247966516529,0.0075247966516529,0.2203672784095051,22.036727840950515,22.036727840950515,Household composition
victimization,PC1,1,CONVIVEN.2,0.0040485893979033,0.0040485893979033,0.2203672784095051,22.036727840950515,22.036727840950515,Household composition
victimization,PC1,1,CONVIVEN.3,-0.0070428032387007,0.0070428032387007,0.2203672784095051,22.036727840950515,22.036727840950515,Household composition
victimization,PC1,1,CONVIVEN.4,0.0044451626645902,0.0044451626645902,0.2203672784095051,22.036727840950515,22.036727840950515,Household composition
victimization,PC1,1,CONVIVEN_H,-0.0316735093534291,0.0316735093534291,0.2203672784095051,22.036727840950515,22.036727840950515,Household composition
victimization,PC1,1,CONVIVEN_0,0.0008748722644515,0.0008748722644515,0.2203672784095051,22.036727840950515,22.036727840950515,Household composition
victimization,PC1,1,AUTOEFIC.MEAN,0.0436798579915107,0.0436798579915107,0.2203672784095051,22.036727840950515,22.036727840950515,Self-efficacy
victimization,PC1,1,AUTOEFIC.VAR,-0.0148669596891873,0.0148669596891873,0.2203672784095051,22.036727840950515,22.036727840950515,Self-efficacy
victimization,PC1,1,IMPULS.MEAN,0.0037829482351656,0.0037829482351656,0.2203672784095051,22.036727840950515,22.036727840950515,Impulsivity
victimization,PC1,1,IMPULS.MEDIAN,0.0054987650045734,0.0054987650045734,0.2203672784095051,22.036727840950515,22.036727840950515,Impulsivity
victimization,PC1,1,IMPULS.VAR,-0.0239571838275234,0.0239571838275234,0.2203672784095051,22.036727840950515,22.036727840950515,Impulsivity
victimization,PC1,1,APOYO.MEAN,0.0130118650363419,0.0130118650363419,0.2203672784095051,22.036727840950515,22.036727840950515,Social support
victimization,PC1,1,APOYO.MEDIAN,0.0152910060699289,0.0152910060699289,0.2203672784095051,22.036727840950515,22.036727840950515,Social support
victimization,PC1,1,APOYO.VAR,-0.0099164929781929,0.0099164929781929,0.2203672784095051,22.036727840950515,22.036727840950515,Social support
victimization,PC1,1,MORAL.MEAN,-0.0367669117875108,0.0367669117875108,0.2203672784095051,22.036727840950515,22.036727840950515,Moral domain
victimization,PC1,1,MORAL.VAR,0.0119236477434595,0.0119236477434595,0.2203672784095051,22.036727840950515,22.036727840950515,Moral domain
victimization,PC1,1,PORNO.T,0.2128921307689877,0.2128921307689877,0.2203672784095051,22.036727840950515,22.036727840950515,Pornography exposure
victimization,PC1,1,GENERO.BN0,0.4933273059078343,0.4933273059078343,0.2203672784095051,22.036727840950515,22.036727840950515,Sociodemographic indicators
victimization,PC1,1,ORIENTSEX.BN0,0.0921450708098245,0.0921450708098245,0.2203672784095051,22.036727840950515,22.036727840950515,Sociodemographic indicators
victimization,PC1,1,GENERO.BN1,-0.4933273059078339,0.4933273059078339,0.2203672784095051,22.036727840950515,22.036727840950515,Sociodemographic indicators
victimization,PC1,1,ORIENTSEX.BN1,-0.0921450708098245,0.0921450708098245,0.2203672784095051,22.036727840950515,22.036727840950515,Sociodemographic indicators
victimization,PC2,2,PAÍS,0.0657177778343612,0.0657177778343612,0.110667462540076,11.066746254007608,33.10347409495812,Sociodemographic indicators
victimization,PC2,2,ETNIA.BN,-0.1023559254309708,0.1023559254309708,0.110667462540076,11.066746254007608,33.10347409495812,Sociodemographic indicators
victimization,PC2,2,EDAD,-0.0546978930963876,0.0546978930963876,0.110667462540076,11.066746254007608,33.10347409495812,Sociodemographic indicators
victimization,PC2,2,FUGAS.BN,-0.0858807668947189,0.0858807668947189,0.110667462540076,11.066746254007608,33.10347409495812,Running away
victimization,PC2,2,ABUSOSUBS1,-0.0480895581508404,0.0480895581508404,0.110667462540076,11.066746254007608,33.10347409495812,Substance use
victimization,PC2,2,ABUSOSUBS2,-0.0369813350885825,0.0369813350885825,0.110667462540076,11.066746254007608,33.10347409495812,Substance use
victimization,PC2,2,CONVIVEN.1,0.0847664891416937,0.0847664891416937,0.110667462540076,11.066746254007608,33.10347409495812,Household composition
victimization,PC2,2,CONVIVEN.2,0.2740702793340697,0.2740702793340697,0.110667462540076,11.066746254007608,33.10347409495812,Household composition
victimization,PC2,2,CONVIVEN.3,-0.0566504169665111,0.0566504169665111,0.110667462540076,11.066746254007608,33.10347409495812,Household composition
victimization,PC2,2,CONVIVEN.4,-0.0080595624759347,0.0080595624759347,0.110667462540076,11.066746254007608,33.10347409495812,Household composition
victimization,PC2,2,CONVIVEN_H,0.3428200084431438,0.3428200084431438,0.110667462540076,11.066746254007608,33.10347409495812,Household composition
victimization,PC2,2,CONVIVEN_0,-0.0564122029015324,0.0564122029015324,0.110667462540076,11.066746254007608,33.10347409495812,Household composition
victimization,PC2,2,AUTOEFIC.MEAN,0.0294248449689782,0.0294248449689782,0.110667462540076,11.066746254007608,33.10347409495812,Self-efficacy
victimization,PC2,2,AUTOEFIC.VAR,-0.0217376690164723,0.0217376690164723,0.110667462540076,11.066746254007608,33.10347409495812,Self-efficacy
victimization,PC2,2,IMPULS.MEAN,0.0025571893221312,0.0025571893221312,0.110667462540076,11.066746254007608,33.10347409495812,Impulsivity
victimization,PC2,2,IMPULS.MEDIAN,0.0036971305474379,0.0036971305474379,0.110667462540076,11.066746254007608,33.10347409495812,Impulsivity
victimization,PC2,2,IMPULS.VAR,-0.0016632090209667,0.0016632090209667,0.110667462540076,11.066746254007608,33.10347409495812,Impulsivity
victimization,PC2,2,APOYO.MEAN,0.0537669847330534,0.0537669847330534,0.110667462540076,11.066746254007608,33.10347409495812,Social support
victimization,PC2,2,APOYO.MEDIAN,0.0638453367509435,0.0638453367509435,0.110667462540076,11.066746254007608,33.10347409495812,Social support
victimization,PC2,2,APOYO.VAR,-0.0480035661914878,0.0480035661914878,0.110667462540076,11.066746254007608,33.10347409495812,Social support
victimization,PC2,2,MORAL.MEAN,0.0249111816500246,0.0249111816500246,0.110667462540076,11.066746254007608,33.10347409495812,Moral domain
victimization,PC2,2,MORAL.VAR,-0.0199231994325042,0.0199231994325042,0.110667462540076,11.066746254007608,33.10347409495812,Moral domain
victimization,PC2,2,PORNO.T,-0.0361265067769711,0.0361265067769711,0.110667462540076,11.066746254007608,33.10347409495812,Pornography exposure
victimization,PC2,2,GENERO.BN0,-0.0055715282013638,0.0055715282013638,0.110667462540076,11.066746254007608,33.10347409495812,Sociodemographic indicators
victimization,PC2,2,ORIENTSEX.BN0,0.1243572950922953,0.1243572950922953,0.110667462540076,11.066746254007608,33.10347409495812,Sociodemographic indicators
victimization,PC2,2,GENERO.BN1,0.0055715282013645,0.0055715282013645,0.110667462540076,11.066746254007608,33.10347409495812,Sociodemographic indicators
victimization,PC2,2,ORIENTSEX.BN1,-0.1243572950922953,0.1243572950922953,0.110667462540076,11.066746254007608,33.10347409495812,Sociodemographic indicators
victimization,PC3,3,PAÍS,-0.0400572046016544,0.0400572046016544,0.0899506921706588,8.995069217065888,42.09854331202401,Sociodemographic indicators
victimization,PC3,3,ETNIA.BN,0.0817852385380059,0.0817852385380059,0.0899506921706588,8.995069217065888,42.09854331202401,Sociodemographic indicators
victimization,PC3,3,EDAD,-0.0433937075637068,0.0433937075637068,0.0899506921706588,8.995069217065888,42.09854331202401,Sociodemographic indicators
victimization,PC3,3,FUGAS.BN,-0.031921806530969,0.031921806530969,0.0899506921706588,8.995069217065888,42.09854331202401,Running away
victimization,PC3,3,ABUSOSUBS1,-0.0412699832189535,0.0412699832189535,0.0899506921706588,8.995069217065888,42.09854331202401,Substance use
victimization,PC3,3,ABUSOSUBS2,-0.0139020441524241,0.0139020441524241,0.0899506921706588,8.995069217065888,42.09854331202401,Substance use
victimization,PC3,3,CONVIVEN.1,-0.0264243620054938,0.0264243620054938,0.0899506921706588,8.995069217065888,42.09854331202401,Household composition
victimization,PC3,3,CONVIVEN.2,-0.106571020049882,0.106571020049882,0.0899506921706588,8.995069217065888,42.09854331202401,Household composition
victimization,PC3,3,CONVIVEN.3,0.0185102803387249,0.0185102803387249,0.0899506921706588,8.995069217065888,42.09854331202401,Household composition
victimization,PC3,3,CONVIVEN.4,0.0007890584403747,0.0007890584403747,0.0899506921706588,8.995069217065888,42.09854331202401,Household composition
victimization,PC3,3,CONVIVEN_H,-0.134161016436704,0.134161016436704,0.0899506921706588,8.995069217065888,42.09854331202401,Household composition
victimization,PC3,3,CONVIVEN_0,0.004032943675717,0.004032943675717,0.0899506921706588,8.995069217065888,42.09854331202401,Household composition
victimization,PC3,3,AUTOEFIC.MEAN,0.0254596956592612,0.0254596956592612,0.0899506921706588,8.995069217065888,42.09854331202401,Self-efficacy
victimization,PC3,3,AUTOEFIC.VAR,-0.002610452087239,0.002610452087239,0.0899506921706588,8.995069217065888,42.09854331202401,Self-efficacy
victimization,PC3,3,IMPULS.MEAN,-0.005725798148486,0.005725798148486,0.0899506921706588,8.995069217065888,42.09854331202401,Impulsivity
victimization,PC3,3,IMPULS.MEDIAN,-0.0077899164754213,0.0077899164754213,0.0899506921706588,8.995069217065888,42.09854331202401,Impulsivity
victimization,PC3,3,IMPULS.VAR,0.0021441767097121,0.0021441767097121,0.0899506921706588,8.995069217065888,42.09854331202401,Impulsivity
victimization,PC3,3,APOYO.MEAN,0.0350258049029299,0.0350258049029299,0.0899506921706588,8.995069217065888,42.09854331202401,Social support
victimization,PC3,3,APOYO.MEDIAN,0.043238865264476,0.043238865264476,0.0899506921706588,8.995069217065888,42.09854331202401,Social support
victimization,PC3,3,APOYO.VAR,-0.0287662414656285,0.0287662414656285,0.0899506921706588,8.995069217065888,42.09854331202401,Social support
victimization,PC3,3,MORAL.MEAN,0.0004039014509643,0.0004039014509643,0.0899506921706588,8.995069217065888,42.09854331202401,Moral domain
victimization,PC3,3,MORAL.VAR,0.0104993395702917,0.0104993395702917,0.0899506921706588,8.995069217065888,42.09854331202401,Moral domain
victimization,PC3,3,PORNO.T,-0.083886811588877,0.083886811588877,0.0899506921706588,8.995069217065888,42.09854331202401,Pornography exposure
victimization,PC3,3,GENERO.BN0,-0.0438654957733878,0.0438654957733878,0.0899506921706588,8.995069217065888,42.09854331202401,Sociodemographic indicators
victimization,PC3,3,ORIENTSEX.BN0,0.2895265966000471,0.2895265966000471,0.0899506921706588,8.995069217065888,42.09854331202401,Sociodemographic indicators
victimization,PC3,3,GENERO.BN1,0.0438654957733912,0.0438654957733912,0.0899506921706588,8.995069217065888,42.09854331202401,Sociodemographic indicators
