outcome,feature,domain,total_abs_loading,variance_weighted_abs_loading,max_abs_loading,normalized_variance_weighted_contribution
victimization,GENERO.BN1,Sociodemographic indicators,0.732694480013751,0.12072553493719854,0.4933273059078339,0.09561354319312088
victimization,GENERO.BN0,Sociodemographic indicators,0.7326944800137477,0.12072553493719816,0.4933273059078343,0.09561354319312057
victimization,CONVIVEN_H,Household composition,1.0801443356374403,0.0956191150826284,0.3428200084431438,0.07572948336734898
victimization,PORNO.T,Pornography exposure,0.9712809244576643,0.08212106338885995,0.2177609679025054,0.06503914723161369
victimization,CONVIVEN.2,Household composition,1.1458143347406953,0.08201705175388659,0.2740702793340697,0.06495677094760478
victimization,ETNIA.BN,Sociodemographic indicators,1.080498048954098,0.07233796625562146,0.2852994473544626,0.057291021859479374
victimization,ORIENTSEX.BN1,Sociodemographic indicators,0.7288103031571117,0.07129677411735992,0.2895265966000471,0.056466407004504456
victimization,ORIENTSEX.BN0,Sociodemographic indicators,0.7288103031571112,0.0712967741173599,0.2895265966000471,0.05646640700450444
victimization,FUGAS.BN,Running away,1.0525346080493847,0.05574428341809334,0.1964090291504359,0.044148973563364696
victimization,EDAD,Sociodemographic indicators,1.0203646813440967,0.05468566959395238,0.1900261003699185,0.043310560889095
victimization,PAÍS,Sociodemographic indicators,0.8402757344854493,0.0456921712888188,0.187635035589796,0.036187790722017506
victimization,ABUSOSUBS1,Substance use,0.7282790857268603,0.04224397763248704,0.1890098706516408,0.03345685220706763
victimization,APOYO.MEDIAN,Social support,0.7509465519492606,0.03825990283713931,0.1454473888237077,0.03030150062608052
victimization,CONVIVEN.3,Household composition,0.8013474239290305,0.03674075709509415,0.1519503192581302,0.029098350794528806
victimization,APOYO.VAR,Social support,0.7861611453059288,0.034048273403248265,0.1189160606439085,0.026965927807950207
victimization,CONVIVEN.1,Household composition,0.7386729663058906,0.03108091921752099,0.1925225801598677,0.024615809850271134
victimization,APOYO.MEAN,Social support,0.5116997150583232,0.030233108250243692,0.1214096333304365,0.023944351151980518
victimization,CONVIVEN_0,Household composition,0.6848651322065277,0.029430275221195883,0.241635546286708,0.02330851457822122
victimization,ABUSOSUBS2,Substance use,0.5057199979610078,0.027396178051904363,0.1221699454480455,0.021697527825035725
victimization,AUTOEFIC.MEAN,Self-efficacy,0.49346375197432846,0.026101132913450602,0.1070937002735809,0.02067186366585844
victimization,MORAL.MEAN,Moral domain,0.4916570399928728,0.02329436721586069,0.1235718000862396,0.018448930353539
victimization,MORAL.VAR,Moral domain,0.4085760376500195,0.015516637891863154,0.0957281410080718,0.012289038338554005
victimization,AUTOEFIC.VAR,Self-efficacy,0.3942906756846814,0.01412504515353718,0.1025454031475507,0.011186909344365831
victimization,IMPULS.VAR,Impulsivity,0.3166069633453758,0.013126650621240186,0.072441610641605,0.010396189810282069
victimization,IMPULS.MEDIAN,Impulsivity,0.45116134468935976,0.01234671870828055,0.0978944180747259,0.009778490715502726
victimization,CONVIVEN.4,Household composition,0.199703151154663,0.008912415114253525,0.080022886554919,0.007058553005584031
victimization,IMPULS.MEAN,Impulsivity,0.2675324300330459,0.007522232667126735,0.0580919280856082,0.005957540949403696
perpetration,GENERO_BIN_0,Sociodemographic indicators,0.7375903385803037,0.12024192661656362,0.4928665464477589,0.09372837470508238
perpetration,GENERO_BIN_1,Sociodemographic indicators,0.7375903385802896,0.12024192661656341,0.4928665464477594,0.09372837470508223
perpetration,CONVIVEN.5,Household composition,1.077596322317111,0.09529228763131588,0.3362952494414372,0.07428017408681568
perpetration,CONVIVEN.2,Household composition,1.1695933174430007,0.08354330561913914,0.2781487218655735,0.06512186284358185
perpetration,PORNO.T,Pornography exposure,1.0046632452555893,0.08158828268139831,0.204500891184407,0.06359792583074657
perpetration,ETNIA.BN,Sociodemographic indicators,1.146687784515485,0.07586394647191098,0.282356306868238,0.05913581561446873
perpetration,ORIENTSEX.BN_1,Sociodemographic indicators,0.7357302037849935,0.07229948213535085,0.2891508761964782,0.05635732180319285
perpetration,ORIENTSEX.BN_2,Sociodemographic indicators,0.7357302037849933,0.07229948213535084,0.2891508761964782,0.056357321803192834
perpetration,FUGAS.BN,Running away,1.0449675439933577,0.05638893776749207,0.1905221274261064,0.0439550798711588
perpetration,EDAD,Sociodemographic indicators,1.0550254875265501,0.053441010344658695,0.1822035820521627,0.04165717552227212
perpetration,PAÍS,Sociodemographic indicators,0.8260855749117904,0.045360769773026104,0.1923479367432843,0.035358641913273356
perpetration,ABUSOSUBS1,Substance use,0.8417912699538815,0.04410073948474017,0.189711863598785,0.03437645047370316
perpetration,APOYO.MEDIAN,Social support,0.809482022670773,0.040359916269394114,0.1498674483693235,0.031460485220156334
perpetration,CONVIVEN.3,Household composition,0.8897175367779436,0.037603772862231835,0.1458680137572026,0.029312076181175893
perpetration,APOYO.VAR,Social support,0.7745192879152195,0.0334691218173075,0.1270763014453257,0.026089122812762006
perpetration,CONVIVEN.6,Household composition,0.7368032761997654,0.03166370402725498,0.2160110825004967,0.024681802754885008
perpetration,APOYO.MEAN,Social support,0.5187844719296014,0.030912712963321112,0.1240124098271705,0.02409640651397959
perpetration,AUTOEFIC.MEAN,Self-efficacy,0.6660098998956184,0.02942939257151744,0.0994361962013396,0.022940160823289594
perpetration,ABUSOSUBS2,Substance use,0.6823911828337594,0.028905135728212728,0.1233486620507761,0.022531503516860514
perpetration,CONVIVEN.1,Household composition,0.6942292246331322,0.027699989483068132,0.1880051602363421,0.021592094094392264
perpetration,MORAL.MEAN,Moral domain,0.5596700595123145,0.025158520767209914,0.1285202939945183,0.019611023607549367
perpetration,MORAL.VAR,Moral domain,0.4382391677993891,0.016926251723408857,0.0929955901708793,0.013193984066333746
perpetration,IMPULS.VAR,Impulsivity,0.527243216238175,0.015344801197500238,0.1360572857920772,0.01196124610511836
perpetration,AUTOEFIC.VAR,Self-efficacy,0.5544819262599568,0.01516635518406154,0.0933016217685661,0.011822147744980254
perpetration,IMPULS.MEDIAN,Impulsivity,0.49858757472130943,0.011276249433311816,0.092769649692319,0.008789817012195408
perpetration,CONVIVEN.4,Household composition,0.4171005723745529,0.011094774666521121,0.141047208546368,0.00864835774403584
perpetration,IMPULS.MEAN,Impulsivity,0.3017910359734457,0.007203675479919493,0.057749588495709,0.0056152526297154285
overlap,GENERO.BN1,Sociodemographic indicators,0.7293733074910652,0.11986364869293041,0.4932451332962569,0.09510674781942571
overlap,GENERO.BN0,Sociodemographic indicators,0.7293733074910623,0.11986364869293038,0.4932451332962571,0.09510674781942569
overlap,CONVIVEN_H,Household composition,1.080407858381206,0.09554897831899294,0.348004810786583,0.07581408278892324
overlap,PORNO.T,Pornography exposure,0.9846939185227068,0.08277928092726525,0.2116208217491607,0.06568186670165295
overlap,CONVIVEN.2,Household composition,1.123212636608144,0.08022790170756115,0.2791401541712492,0.06365745494140564
overlap,ETNIA.BN,Sociodemographic indicators,1.1178736586844251,0.07310165004708559,0.2762142008850706,0.05800307492743742
overlap,ORIENTSEX.BN0,Sociodemographic indicators,0.7415543050854267,0.07162857683378618,0.2958493395335323,0.05683425348620357
overlap,ORIENTSEX.BN1,Sociodemographic indicators,0.741554305085427,0.07162857683378618,0.2958493395335323,0.05683425348620357
overlap,FUGAS.BN,Running away,1.0367575156037585,0.057188599474166345,0.1855395177364427,0.0453767407186936
overlap,EDAD,Sociodemographic indicators,1.009583127415571,0.05260146750116606,0.1833741115381536,0.04173704504341675
overlap,PAÍS,Sociodemographic indicators,0.7821225882279186,0.04177956218977492,0.1987611744175408,0.03315031978851563
overlap,ABUSOSUBS1,Substance use,0.6853581262484406,0.040202819593800725,0.1861797586156217,0.03189924106626154
overlap,APOYO.MEDIAN,Social support,0.7740765853940927,0.03936172243749468,0.1459281989390951,0.031231865961225607
overlap,CONVIVEN.3,Household composition,0.8531256439620526,0.0385575247769132,0.140727751276675,0.030593769049143155
overlap,APOYO.VAR,Social support,0.8045094650007611,0.03553499561734541,0.1229716070206897,0.028195519690888557
overlap,CONVIVEN.1,Household composition,0.7189596589068944,0.031394385468674076,0.187715577949514,0.024910120243078607
overlap,APOYO.MEAN,Social support,0.5074777864164929,0.030286690867838285,0.1230344431054562,0.02403121131437984
overlap,CONVIVEN_0,Household composition,0.6941228794976199,0.029657393955571425,0.2424836332340401,0.023531890766481003
overlap,ABUSOSUBS2,Substance use,0.5147620066468462,0.027156635458298477,0.1124647008801324,0.021547644413637816
overlap,AUTOEFIC.MEAN,Self-efficacy,0.4825690117545377,0.025742058683095582,0.0880474892219442,0.020425237427887738
overlap,MORAL.MEAN,Moral domain,0.4753998427618849,0.023511234744658573,0.1364009820189043,0.018655172758106162
overlap,MORAL.VAR,Moral domain,0.4105772451442253,0.01577589517462068,0.1013928629250755,0.01251750718720477
overlap,AUTOEFIC.VAR,Self-efficacy,0.4280236634740945,0.014253402201231573,0.0954484944284813,0.011309473251512424
overlap,IMPULS.VAR,Impulsivity,0.29789382222327176,0.012835454306861855,0.0863195234770329,0.010184391424941427
overlap,IMPULS.MEDIAN,Impulsivity,0.45510469079691807,0.011886991849917601,0.0950355017378889,0.009431826483923489
overlap,CONVIVEN.4,Household composition,0.25673710032538477,0.010630536713125093,0.0829391258611188,0.008434882346610613
overlap,IMPULS.MEAN,Impulsivity,0.2684532044748885,0.007306827209923419,0.0582109235044226,0.0057976590934136285
