outcome,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,support,positive_support,negative_support
victimization,405,329,148,60,0.8709677419354839,0.31027253668763105,0.5517711171662125,0.7115384615384616,0.5906201393115574,0.6755629691409508,0.5870488322717622,942,465,477
perpetration,202,504,217,19,0.9140271493212669,0.30097087378640774,0.28611898016997167,0.9194915254237288,0.6074990115538373,0.43581445523193096,0.4447983014861996,942,221,721
overlap,144,355,409,34,0.8089887640449438,0.5353403141361257,0.28857715430861725,0.9232505643340858,0.6721645390905348,0.4254062038404726,0.5870488322717622,942,178,764
