outcome,metric,point,ci_lower,ci_upper,n_boot_valid
victimization,recall_sensitivity,0.8709677419354839,0.8378363363363364,0.900990599059906,5000
victimization,specificity,0.31027253668763105,0.2689004495703473,0.3515154823342596,5000
victimization,precision_ppv,0.5517711171662125,0.5150684931506849,0.5870172735813184,5000
victimization,npv,0.7115384615384616,0.6473677854055429,0.773334975369458,5000
victimization,balanced_accuracy,0.5906201393115574,0.5644428557245016,0.6164922351458587,5000
victimization,f1_positive,0.6755629691409508,0.6439493827448601,0.7053061224489795,5000
victimization,accuracy,0.5870488322717622,0.5551751592356687,0.6178609341825898,5000
