0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.82982683,0.58444166,0.16180198,-0.10516612,0.20074536,-0.059587564,-0.26571396,0.03457984,-0.0009845414,0.09496989,0.03795914,-0.23452745,-0.057065222,0.0062870285,-0.15626805,-0.1311158,-0.040090572,0.06488185,0.10133593,-0.27905363,-0.03582387,-0.014553808
0.94982946,0.012446191,-0.13683675,-0.63622504,-0.47870097,-0.07385791,0.0833479,0.27695683,-0.054655265,0.51297075,0.18718743,-0.26925552,-0.13128556,0.06420209,-0.18195324,0.028721992,-0.107978106,0.050184816,0.2162355,0.08282217,0.004809585,-0.032120317
0.74352926,-0.1049569,-0.109746665,-0.6740478,-0.10532102,0.16923743,-0.07631239,-0.24606672,-0.06611139,-0.18525581,-0.029697362,0.21315013,0.022444364,0.059099425,-0.51164114,-0.046109006,0.04000304,0.07275286,-0.014951421,0.015328923,-0.008243533,0.014113336
0.6259298,0.7520563,-0.09576032,-0.04988012,-0.38799337,-0.4060091,-0.0059081786,0.36744875,-0.156169,-0.2789531,-0.03526512,0.1617671,0.04326042,-0.07957833,-0.023188129,0.30185398,0.10927013,-0.023476908,0.17833623,0.046281546,-0.025414184,0.03786307
0.9403794,-0.08675542,-0.07925119,0.34571424,0.63831437,-0.8624944,0.009485126,0.534905,-0.22372673,0.7443852,-0.115678884,0.3794078,-0.026303513,0.19444259,0.019805795,-0.15493485,0.51012117,0.050623648,0.082112744,0.08634826,-0.23153014,0.019210236
-0.8930487,-1.0325944,0.65109736,-0.50340974,0.10478709,-0.44288513,-0.75194174,0.13808034,-0.3110544,-0.27429202,0.16365649,-0.012143444,0.14581148,-0.1034065,0.07014271,0.027088607,0.12077943,-0.08894356,0.009265408,0.09321956,0.081102386,0.03516156
-0.7044534,0.70822966,-0.25768253,-0.1079069,-0.12286203,-0.21460861,-0.17434242,0.22890472,-0.0752842,-0.095534265,0.008581741,-0.18555316,-0.052109417,-0.02445983,-0.12513877,0.13827209,0.015938332,0.05667066,0.47402045,0.10819665,-0.015493716,0.088924624
0.696696,0.5149625,0.103051335,0.024835851,0.005900373,-0.08257799,0.16422208,-0.11701104,-0.003426629,-0.11397433,-0.013576678,0.28785512,0.11426782,-0.1457602,0.14747164,-0.19373837,0.16068819,-0.21195427,0.14620097,0.022726936,-0.04005995,0.111756444
0.8051128,0.43010563,-0.11178859,0.5613191,-0.42678082,0.23000811,-0.31936848,0.24670114,-0.1853015,0.071447186,0.018403994,-0.11672027,0.39940995,0.12054322,-0.119701825,-0.1681204,0.05822834,0.07205926,-0.01443514,0.02606274,-0.034847524,0.0036422745
-0.7227106,0.30677587,-0.31062046,0.664468,-0.507117,0.28420547,0.19366741,-0.035983656,-0.044957444,0.17981356,0.076940574,0.09577954,0.39397025,-0.003266037,0.13280916,-0.7651072,-0.33778396,-0.47409913,0.43126392,-0.33538687,-0.072237544,0.025711065
-0.6445841,0.35764998,0.058644686,-0.011564385,0.51650465,0.29482862,0.022675706,-0.6491815,0.12378394,0.025279434,-0.021116909,0.0061735283,0.02945376,-0.04056312,-0.26304823,-0.27221447,0.15897326,-0.0787239,-0.014469287,-0.027759818,-0.058740325,0.21968439
-0.7199021,0.24805132,-0.3234029,0.67155415,-0.32291543,0.32650286,-0.17762184,0.12321205,0.7328131,-0.046281252,0.2533885,0.0803266,0.25045624,0.4885266,0.23282596,0.21223877,-0.41128188,0.14699753,0.13537738,-0.28098086,-0.042156395,0.17576323
-0.72225654,0.47406268,-0.06388336,-0.08236263,0.39902914,0.15909691,-0.028775169,-0.2567939,0.023796232,-0.0071899532,-0.030391587,0.27706105,0.06093163,-0.07832291,-0.17220844,0.025637522,-0.062208146,-0.015336371,-0.05148181,0.12133488,-0.030173821,0.11184491
0.91381794,-0.96698534,-0.2944928,-0.08235424,-0.12581448,-0.5371565,0.3198365,-0.19750285,1.1586188,0.059139308,-0.060605593,-0.40262356,0.18789183,-0.29717052,-0.20626937,-0.15045291,-0.15037586,0.55850434,0.23631589,0.063076496,-0.06295636,-0.07014535
0.8553129,-1.2993814,-0.59500796,0.8758217,-0.6390281,-0.23573841,0.15349783,-0.110816985,0.030025577,0.38113365,-0.8686445,0.10648257,-0.4912074,-0.18626565,-0.3500746,0.12668537,0.08684115,0.07727851,0.14782958,0.07295113,-0.3760469,0.0018722424
0.8187588,-0.10955063,-0.09941311,-0.61959475,-0.21370547,0.13655956,0.12328982,-0.11698449,-0.04214403,0.13367616,0.049064204,0.21884859,0.013865751,0.01017113,-0.22435217,3.0569012e-05,0.1244635,0.09634568,-0.06046389,0.013242777,-0.014428531,0.05724246
-0.91329455,-1.4429799,0.5402151,0.50395197,-0.82889414,-0.22475107,0.082615264,0.00026750183,0.54727846,0.009316049,0.52999884,0.2827565,0.47465956,0.26453483,-0.17173953,-0.017210998,0.003829294,-0.02728467,-0.055949736,-0.3448983,0.046261713,0.04748775
0.6698377,0.31228238,-0.09290007,0.5755557,-0.19343975,0.42241985,-0.31324014,-0.10589735,-0.16114798,-0.33036888,-0.11502519,0.32126048,0.50349545,0.06709101,0.31997383,-0.26421902,0.10100231,0.15649243,0.23550978,-0.02646669,0.0063995593,-0.15205075
0.7468877,0.27459988,0.027304199,0.7697383,-0.63819385,0.24424498,0.3756988,-0.32606834,-0.086138815,0.2415924,0.03075794,0.019430242,0.35762918,0.12343961,-0.3438287,0.060092557,-0.09715895,-0.15965448,-0.14497834,0.0055513037,-0.030047633,-0.12214844
-0.89321613,0.21548721,1.0797709,-0.099465206,-0.26334482,-0.23206864,-0.2937929,0.37471902,-0.094410524,0.10567849,0.030119283,-0.033337466,0.020899577,-0.09769977,-0.052371673,-0.079868875,0.13149884,0.035584312,-0.06987066,-0.23858923,-0.0017273687,-0.10654451
0.7366485,-1.2243334,-0.41663715,0.7460929,-0.24667886,0.41534916,0.6158835,0.18879808,-0.4518923,-0.23151654,0.3376058,0.27836514,-0.41331562,-0.28270987,-0.2801479,0.10945263,-0.43681368,0.036164913,-0.1232203,-0.09945003,0.11892175,-0.47373956
0.9569323,-0.42143568,0.062913485,-0.70502496,0.43262908,0.5058252,-0.16994491,-0.30300218,0.4290275,0.38542444,-0.61161107,-0.11776022,0.13521937,-0.40595633,-0.44567418,0.039014984,-0.08717965,0.057040412,-0.012910648,-0.016023295,-0.20871134,-0.01226632
-0.5877419,-0.08662905,-0.3457978,-0.8301186,0.25227773,0.35705116,-0.5348187,0.000600387,-0.058446065,0.018117998,0.002470833,-0.050395172,-0.090527825,0.10693997,0.027015751,0.1018355,0.051893357,-0.12100896,0.4714671,-0.02782278,-0.009187315,0.033636868
0.8093786,0.45949093,0.25051594,-0.021402515,0.2875931,0.05999581,-0.0033686291,-0.28587216,0.059787787,0.19067612,0.0354358,-0.058523435,-0.039298225,0.011716084,0.10198992,-0.06993533,-0.3701998,0.18502995,-0.01383271,0.06638811,0.0086568585,-0.1073293
-0.6240571,-0.7528758,-0.85207087,0.2957391,-0.6066223,-0.18543015,-0.12173402,0.20710672,-0.36639073,0.15617186,0.27804106,-0.052595135,0.42456153,0.016077911,0.36557811,0.20618092,0.15074651,-0.070578866,0.34333473,0.013363534,0.08384461,-0.14415622
0.49601847,0.13651614,1.371481,-0.018633125,-0.3088083,-0.2812947,-0.29185992,0.031782478,-0.07865072,-0.17344262,-0.021641372,-0.19641037,0.02739041,0.0021316854,0.02963835,-0.37563676,-0.36661297,-0.045406457,-0.21645032,0.17371394,0.013931257,-0.011969444
-0.6602202,-0.8409468,-0.74963725,-0.17752618,-0.0017568433,-0.8635204,0.20457646,0.3733938,0.115857065,0.39734948,-1.182806,0.06617662,-0.0779067,0.04439115,0.051774975,0.06529192,-0.0058690743,-0.03577573,0.015975304,-0.3192945,0.5613262,-0.11207065
-0.7264777,0.57579017,-0.14806841,-0.049275298,0.06426861,-0.057942033,0.07137811,-0.05249179,-0.006450721,0.05934554,0.010953271,0.09794201,-0.012483604,-0.04298875,-0.023929892,0.0145930555,-0.21116982,0.19447516,-0.22870257,-0.08992984,-0.022253083,0.05726302
-0.6734749,0.44785786,-0.09114913,0.1978933,-0.29928133,-0.1276573,0.63756615,-0.3528266,0.09819475,0.30793664,0.09261086,-0.13245751,-0.063872695,-0.058346033,0.75398856,-0.16334307,-0.21015145,-0.3061334,-0.03184982,0.16323887,-0.032904144,0.21530233
0.73359936,-0.01783201,-0.21900938,-0.54986656,-0.6651562,-0.13149281,0.30981284,-0.021645231,-0.0702683,-0.021821257,0.05951,0.08536135,-0.039838437,0.029667225,0.058965754,-0.14851229,-0.23070946,0.1864255,0.15790115,0.067812145,0.05149464,-0.2197462
-0.39646566,-0.13686556,0.0689853,0.55518377,0.26358533,0.49033332,0.28244156,-0.48541734,1.4720546,0.5029598,-0.235976,-0.25574827,-0.71975803,-0.59852445,-0.10034681,0.11467782,0.53545654,-0.068727426,-0.13011646,0.13948202,-0.15107197,0.021122517
