idx_original,y_true,y_pred,y_prob,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,GENERO_BIN_2,ORIENTSEX.BN_1,ORIENTSEX.BN_2,ORIENTSEX.BN_3
1313,0,1,0.576216308196562,1,0.0,14.0,0.0,3,3,1.0,1.0,0.0,0.0,1.0,0,3.4,0.64,2.5,2.0,1.0,3.4285714285714284,4.0,0.5306122448979592,2.6,0.24,5.0,1,0,0,1,0,0
1314,0,1,0.5181583838193216,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.0,1.2,2.5,2.5,0.75,3.7705421923585543,4.0,0.3159053129257113,4.6,0.6399999999999999,1.0,0,1,0,1,0,0
1316,0,0,0.4145271453796262,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.4,0.24,2.625,2.0,0.734375,3.0,3.0,0.8571428571428571,4.2,0.1599999999999999,1.0,1,0,0,1,0,0
1319,0,1,0.7582099861564454,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.8,0.1599999999999999,1.75,2.0,0.4375,3.4285714285714284,4.0,1.1020408163265307,4.6,0.6399999999999999,1.0,0,1,0,1,0,0
1320,0,0,0.4906727437831903,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.8,0.1599999999999999,1.625,1.5,0.484375,3.4285714285714284,4.0,1.1020408163265307,4.6,0.6399999999999999,1.0,1,0,0,1,0,0
1323,0,0,0.2930882011350363,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.6,0.24,2.25,2.5,0.6875,3.857142857142857,4.0,0.1224489795918367,3.0,1.6,1.0,1,0,0,1,0,0
1330,0,1,0.7320808734155596,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.8,0.1599999999999999,2.25,1.5,1.9375,4.0,4.0,0.0,4.4,0.6399999999999999,1.0,1,0,0,1,0,0
1331,0,1,0.9616950485343222,1,0.0,15.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,3.8,0.1599999999999999,3.375,4.0,0.734375,3.7142857142857144,4.0,0.489795918367347,4.2,2.560000000000001,1.0,1,0,0,1,0,0
1335,0,1,0.5892727411098072,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,4.0,0.0,2.5,2.5,2.25,4.0,4.0,0.0,4.2,0.96,1.0,1,0,0,1,0,0
1336,0,1,0.7106796432094237,2,1.0,16.0,0.0,2,2,1.0,1.0,0.0,0.0,0.0,0,3.6,0.24,1.75,1.5,0.6875,4.0,4.0,0.0,2.4,2.24,5.0,1,0,0,1,0,0
1349,1,1,0.9038481733163108,1,0.0,17.0,1.0,2,3,0.0,0.0,0.0,0.0,0.0,1,2.8,2.16,2.375,2.5,1.484375,2.2857142857142856,1.0,2.2040816326530615,4.2,2.56,2.0,0,1,0,1,0,0
1351,0,1,0.6373295241863918,1,0.0,16.0,0.0,2,2,1.0,0.0,0.0,0.0,0.0,0,2.6,0.64,2.875,3.5,1.609375,3.7142857142857144,4.0,0.489795918367347,4.2,0.5599999999999999,2.0,0,1,0,1,0,0
1355,0,0,0.241846495188683,1,0.0,15.0,0.0,2,2,1.0,0.0,1.0,0.0,1.0,0,3.2,0.1599999999999999,2.375,2.0,0.984375,3.0,3.0,0.0,2.8,0.96,1.0,1,0,0,1,0,0
1358,1,1,0.5125076491636384,1,1.0,15.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,4.0,0.0,2.125,1.0,2.109375,4.0,4.0,0.0,4.0,0.4,1.0,1,0,0,1,0,0
1371,1,1,0.8101398861748946,1,1.0,14.0,1.0,0,1,1.0,1.0,0.0,0.0,1.0,1,1.6,0.24,2.25,1.5,1.9375,2.2857142857142856,2.0,1.6326530612244896,4.0,0.8,2.0,0,1,0,0,1,0
1381,0,0,0.3019251185485736,1,0.0,15.0,0.0,0,1,1.0,0.0,0.0,0.0,1.0,0,3.4,0.24,2.875,3.0,1.359375,4.0,4.0,0.0,4.0,0.0,1.0,1,0,0,1,0,0
1384,1,1,0.8322273466035047,2,1.0,14.0,0.0,2,2,0.0,1.0,0.0,1.0,1.0,0,1.4,0.24,2.25,2.0,0.9375,2.4285714285714284,2.0,1.3877551020408163,4.0,0.8,4.0,0,1,0,1,0,0
1387,0,0,0.4889928948011765,2,1.0,15.0,0.0,4,4,1.0,1.0,0.0,0.0,1.0,1,3.2,0.5599999999999999,2.875,3.0,1.359375,3.4285714285714284,4.0,0.5306122448979592,3.8,0.5599999999999999,1.0,0,1,0,1,0,0
1390,0,1,0.9195863362248974,1,0.0,15.0,0.0,0,1,1.0,0.0,0.0,0.0,1.0,1,3.8,0.1599999999999999,2.375,2.5,1.484375,4.0,4.0,0.0,5.0,0.0,2.0,0,1,0,1,0,0
1395,0,1,0.7333285693936796,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,1,3.2,0.5599999999999999,2.625,2.5,0.484375,3.142857142857143,3.0,0.4081632653061224,4.0,0.4,4.0,1,0,0,1,0,0
1398,0,0,0.3374135233137539,1,1.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.8,0.1599999999999999,2.375,2.5,0.484375,3.0,3.0,0.0,3.8,0.1599999999999999,1.0,0,1,0,0,1,0
1399,0,0,0.3489715798099189,1,0.0,16.0,0.0,2,0,1.0,1.0,0.0,1.0,1.0,1,2.6,0.24,2.0,2.0,0.25,3.142857142857143,3.0,0.6938775510204082,4.2,0.1599999999999999,3.0,1,0,0,1,0,0
1407,0,1,0.5222703248623397,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.2,0.1599999999999999,2.125,2.0,1.109375,3.4285714285714284,3.0,0.2448979591836734,3.2,0.1599999999999999,1.0,1,0,0,1,0,0
1411,0,1,0.5746164271930662,1,0.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.4,0.64,2.375,3.0,1.234375,3.142857142857143,4.0,0.979591836734694,5.0,0.0,4.0,0,1,0,1,0,0
1412,0,1,0.5970930198599226,1,0.0,15.0,0.0,0,1,1.0,0.0,1.0,0.0,1.0,0,3.2,0.1599999999999999,2.625,3.0,0.234375,3.7142857142857144,4.0,0.2040816326530612,3.4,0.64,5.0,1,0,0,1,0,0
1413,0,0,0.2883740343874845,1,1.0,15.0,0.0,2,2,1.0,0.0,0.0,0.0,0.0,0,3.4,0.24,2.5,2.5,1.75,3.857142857142857,4.0,0.1224489795918367,5.0,0.0,1.0,0,1,0,1,0,0
1418,0,1,0.7183469438195669,1,0.0,16.0,1.0,2,2,0.0,0.0,0.0,0.0,0.0,1,1.8,0.16,1.75,2.0,0.4375,3.5714285714285716,4.0,0.2448979591836734,4.2,0.1599999999999999,1.0,0,1,0,1,0,0
1420,0,1,0.6123538279959411,2,1.0,17.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,1,3.4,0.24,3.25,3.5,0.6875,2.857142857142857,3.0,1.5510204081632657,4.0,0.4,1.0,1,0,0,0,1,0
1421,0,0,0.2509032972235785,2,1.0,16.0,0.0,3,2,1.0,0.0,0.0,0.0,0.0,1,2.4,0.24,2.375,3.0,0.734375,2.2857142857142856,2.0,0.7755102040816327,4.0,0.4,1.0,0,1,0,1,0,0
1424,0,1,0.6335751997642688,2,1.0,17.0,0.0,2,3,1.0,0.0,0.0,0.0,0.0,0,3.0,0.4,2.75,3.0,0.4375,2.0,2.0,0.5714285714285714,4.4,0.24,3.0,1,0,0,1,0,0
1427,0,1,0.6006867568876759,1,0.0,17.0,0.0,2,2,1.0,1.0,0.0,0.0,0.0,0,2.0,0.4,1.375,1.0,0.484375,3.4285714285714284,4.0,0.816326530612245,4.291007029103776,0.3714391272155414,3.0,1,0,0,1,0,0
