idx_original,y_true,y_pred,y_prob,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,GENERO_BIN_2,ORIENTSEX.BN_1,ORIENTSEX.BN_2,ORIENTSEX.BN_3
1097,1,1,0.7824773413897281,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.6,0.24,2.0,1.5,1.25,4.0,4.0,0.0,4.6,0.6399999999999999,1.0,0,1,0,1,0,0
1511,0,1,0.509393451422437,2,1.0,14.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0,3.6,0.24,2.125,2.0,1.359375,3.857142857142857,4.0,0.1224489795918367,4.8,0.1599999999999999,4.0,1,0,0,0,0,1
2851,1,1,0.509393451422437,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,1.8,0.16,2.625,2.5,1.484375,3.2857142857142856,4.0,1.0612244897959184,4.4,0.64,1.0,0,1,0,1,0,0
2602,0,1,0.509393451422437,1,0.0,15.0,0.0,2,2,1.0,1.0,0.0,0.0,0.0,0,3.2,0.5599999999999999,2.5,2.5,0.75,2.2857142857142856,2.0,0.489795918367347,4.0,0.0,1.0,0,1,0,1,0,0
3131,1,1,0.509393451422437,1,0.0,14.0,1.0,2,0,1.0,0.0,0.0,0.0,0.0,0,2.2,0.5599999999999999,2.5,2.5,0.75,3.7142857142857144,4.0,0.2040816326530612,4.6,0.24,2.0,0,1,0,1,0,0
1137,1,1,0.509393451422437,1,0.0,17.0,0.0,3,3,1.0,1.0,0.0,0.0,1.0,0,3.4,0.24,2.75,3.0,0.9375,3.857142857142857,4.0,0.1224489795918367,4.6,0.6399999999999999,4.0,1,0,0,1,0,0
181,1,1,0.509393451422437,1,0.0,15.0,0.0,3,2,1.0,1.0,0.0,0.0,0.0,0,2.8,0.96,2.0,1.5,1.25,4.0,4.0,0.0,4.8,0.1599999999999999,1.0,0,1,0,1,0,0
2052,1,1,0.509393451422437,1,0.0,14.0,0.0,2,2,1.0,1.0,0.0,0.0,0.0,0,2.2,0.96,2.125,2.0,0.359375,3.7142857142857144,4.0,0.2040816326530612,4.4,1.44,1.0,0,1,0,1,0,0
1902,0,1,0.509393451422437,1,0.0,17.0,1.0,2,2,1.0,0.0,0.0,0.0,0.0,0,3.0,0.4,2.0,2.0,0.25,2.5714285714285716,2.0,1.673469387755102,3.8,0.5599999999999999,4.0,1,0,0,1,0,0
2030,1,1,0.509393451422437,1,0.0,15.0,0.0,2,2,1.0,0.0,0.0,0.0,0.0,0,3.4,0.64,2.375,2.0,0.734375,3.7142857142857144,4.0,0.2040816326530612,3.4,1.84,5.0,1,0,0,1,0,0
