outcome,n,positives,negatives,prevalence,mean_predicted_probability,mean_probability_positives,mean_probability_negatives,brier_score,brier_reference_prevalence_model,brier_skill_score,roc_auc,average_precision_pr_auc,log_loss
victimization,942,465,477,0.49363057324840764,0.49720090244289433,0.536138607292204,0.4592427624954541,0.23067550393751896,0.2499594304028561,0.07714822535103993,0.6342012127769888,0.5880607408346172,0.6528090040637908
perpetration,942,221,721,0.2346072186836518,0.5747039368704373,0.6283818428063285,0.5582506536362737,0.2802442865386713,0.17956667162517298,-0.5606698281051425,0.6950690657144113,0.3984508426195649,0.758789270102044
overlap,942,178,764,0.18895966029723993,0.5284751702358862,0.685026232401317,0.4920012316685477,0.25064082479559935,0.15325390707759162,-0.6354612392929158,0.7635449144067298,0.43609769572238033,0.7119198815593135
