PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,ORIENTSEX.BN_1,ORIENTSEX.BN_2
1,0.0,16.0,0.0,4,4,1.0,1.0,0.0,0.0,1.0,1,3.6,0.24,2.375,2.5,1.484375,4.0,4.0,0.0,5.0,0.0,1.0,0,1,1,0
1,0.0,16.0,0.0,3,2,1.0,1.0,0.0,0.0,1.0,0,2.7906218655967905,0.1566005438582548,2.375,2.0,0.734375,3.4285714285714284,4.0,0.5306122448979593,2.8,0.5599999999999999,4.0,1,0,1,0
1,0.0,17.0,0.0,3,3,1.0,1.0,0.0,0.0,0.0,0,2.4,1.4400000000000002,2.625,2.5,1.484375,3.2857142857142856,4.0,0.7755102040816327,4.2,0.96,3.0,0,1,1,0
1,0.0,16.0,0.0,3,3,1.0,1.0,0.0,0.0,1.0,0,3.0,0.4,2.25,2.0,0.9375,3.2857142857142856,4.0,0.7755102040816327,4.0,0.4,4.0,1,0,1,0
1,0.0,17.0,0.0,3,3,1.0,1.0,0.0,0.0,1.0,0,3.4,0.24,2.0,2.0,0.75,3.5714285714285716,4.0,0.5306122448979592,4.4,1.44,2.0,0,1,1,0
1,0.0,15.0,0.0,3,2,0.0,1.0,0.0,0.0,0.0,0,3.3906218655967906,0.2478543051421063,2.875,3.0,1.359375,2.857142857142857,3.0,1.5510204081632657,3.0,1.2,4.0,1,0,1,0
1,0.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.2,0.5599999999999999,2.25,2.0,0.4375,3.7142857142857144,4.0,0.2040816326530612,3.8572001001753065,0.1959674459103831,2.0,1,0,0,1
1,0.0,17.0,0.0,3,2,1.0,1.0,0.0,0.0,1.0,0,1.8,0.56,2.5,2.5,1.25,3.5714285714285716,4.0,0.2448979591836734,4.4,0.64,1.0,0,1,1,0
1,1.0,17.0,0.0,5,4,1.0,0.0,0.0,0.0,0.0,0,2.2,2.16,1.375,1.0,0.984375,3.5714285714285716,4.0,1.1020408163265307,1.8,2.5600000000000005,2.0,1,0,0,1
1,0.0,17.0,0.0,4,4,1.0,1.0,1.0,0.0,1.0,0,4.0,0.0,2.25,2.5,1.1875,3.857142857142857,4.0,0.1224489795918367,4.2,0.5599999999999999,5.0,1,0,1,0
