seed,pos_weight_multiplier,u1,a1,d1,u2,a2,d2,threshold,recall_0,recall_1,specificity,precision_ppv,npv,f1_positive,accuracy,balanced_accuracy,TP,FP,TN,FN,epochs_ran,tier,epochs_fit_total,base_pos_weight,effective_pos_weight
1142,1.0,64,linear,0.3,4,relu,0.1,0.5,0.6796116504854369,0.6199095022624435,0.6796116504854369,0.37228260869565216,0.8536585365853658,0.46519524617996605,0.6656050955414012,0.6497605763739402,137,231,490,84,12,0,22,3.2545180722891565,3.2545180722891565
1192,1.5,64,linear,0.3,4,relu,0.1,0.5,0.2912621359223301,0.9004524886877828,0.2912621359223301,0.2802816901408451,0.9051724137931034,0.42749731471535984,0.43418259023354566,0.5958573123050565,199,511,210,22,2,3,7,3.2545180722891565,4.8817771084337345
1242,2.0,64,linear,0.3,4,relu,0.1,0.5,0.09153952843273232,0.995475113122172,0.09153952843273232,0.25142857142857145,0.9850746268656716,0.40145985401459855,0.3036093418259023,0.5435073207774521,220,655,66,1,7,1,7,3.2545180722891565,6.509036144578313
1292,2.5,64,linear,0.3,4,relu,0.1,0.5,0.14563106796116504,0.9864253393665159,0.14563106796116504,0.26139088729016785,0.9722222222222222,0.4132701421800948,0.34288747346072185,0.5660282036638404,218,616,105,3,7,1,7,3.2545180722891565,8.136295180722891
1342,3.0,64,linear,0.3,4,relu,0.1,0.5,0.04299583911234397,0.995475113122172,0.04299583911234397,0.24175824175824176,0.96875,0.3890362511052166,0.2664543524416136,0.519235476117258,220,690,31,1,7,1,7,3.2545180722891565,9.763554216867469
1392,3.5,64,linear,0.3,4,relu,0.1,0.5,0.130374479889043,0.9547511312217195,0.130374479889043,0.25178997613365156,0.9038461538461539,0.39848914069877245,0.3237791932059448,0.5425628055553813,211,627,94,10,3,1,7,3.2545180722891565,11.390813253012048
1442,4.0,64,linear,0.3,4,relu,0.1,0.5,0.12482662968099861,0.9638009049773756,0.12482662968099861,0.2523696682464455,0.9183673469387755,0.4,0.321656050955414,0.5443137673291871,213,631,90,8,1,1,7,3.2545180722891565,13.018072289156626
2142,1.0,64,sigmoid,0.3,16,linear,0.0,0.5,0.24410540915395285,0.9095022624434389,0.24410540915395285,0.26943699731903487,0.8979591836734694,0.4157187176835574,0.4002123142250531,0.5768038357986959,201,545,176,20,2,3,37,3.2545180722891565,3.2545180722891565
2192,1.5,64,sigmoid,0.3,16,linear,0.0,0.5,0.012482662968099861,1.0,0.012482662968099861,0.23687031082529475,1.0,0.3830155979202773,0.24416135881104034,0.5062413314840499,221,712,9,0,7,1,7,3.2545180722891565,4.8817771084337345
2242,2.0,64,sigmoid,0.3,16,linear,0.0,0.5,0.24965325936199723,0.9230769230769231,0.24965325936199723,0.2738255033557047,0.9137055837563451,0.422360248447205,0.40764331210191085,0.5863650912194602,204,541,180,17,22,3,24,3.2545180722891565,6.509036144578313
