u1,a1,d1,u2,a2,d2,threshold,accuracy,balanced_accuracy,recall_sensitivity,specificity,precision_ppv,npv,f1_positive,TP,FP,TN,FN
64,relu,0.3,16,relu,0.1,0.15,0.23248407643312102,0.5268324607329843,1.0,0.05366492146596859,0.19755826859045506,1.0,0.329935125115848,178,723,41,0
64,relu,0.3,16,relu,0.1,0.2,0.2781316348195329,0.5485102064827343,0.9831460674157303,0.11387434554973822,0.20539906103286384,0.9666666666666667,0.33980582524271846,175,677,87,3
64,relu,0.3,16,relu,0.1,0.25,0.3673036093418259,0.5927113359609388,0.9550561797752809,0.23036649214659685,0.22427440633245382,0.9565217391304348,0.36324786324786323,170,588,176,8
64,relu,0.3,16,relu,0.1,0.3,0.4299363057324841,0.6227057473969057,0.9325842696629213,0.31282722513089006,0.2402315484804631,0.952191235059761,0.38204833141542005,166,525,239,12
64,relu,0.3,16,relu,0.1,0.35,0.49575371549893843,0.6460453556091534,0.8876404494382022,0.40445026178010474,0.25774877650897227,0.939209726443769,0.3994943109987358,158,455,309,20
64,relu,0.3,16,relu,0.1,0.4,0.554140127388535,0.6648038119889406,0.8426966292134831,0.4869109947643979,0.2767527675276753,0.93,0.4166666666666667,150,392,372,28
64,relu,0.3,16,relu,0.1,0.5,0.6624203821656051,0.6755397376316254,0.6966292134831461,0.6544502617801047,0.31958762886597936,0.9025270758122743,0.4381625441696113,124,264,500,54
64,relu,0.3,16,relu,0.05,0.15,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,relu,0.05,0.2,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,relu,0.05,0.25,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,relu,0.05,0.3,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,relu,0.05,0.35,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,relu,0.05,0.4,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
