,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN_H,CONVIVEN_0,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO.BN0,ORIENTSEX.BN0,GENERO.BN1,ORIENTSEX.BN1
505,True,False,14.0,False,0,1,1.0,1.0,0.0,0.0,True,False,3.4,0.24,2.5,2.5,0.25,2.7142857142857144,3.0,0.7755102040816327,3.2,0.5599999999999999,1.0,True,False,False,True
506,True,False,14.0,False,0,1,1.0,1.0,0.0,0.0,True,False,3.6,0.24,2.875,3.0,0.609375,3.7142857142857144,4.0,0.2040816326530612,3.2,0.1599999999999999,1.0,False,False,True,True
507,True,False,14.0,False,0,1,1.0,1.0,0.0,0.0,True,False,3.2,0.5599999999999999,2.625,2.0,1.234375,3.857142857142857,4.0,0.1224489795918367,4.0,0.4,1.0,True,True,False,False
508,True,False,16.0,False,0,1,1.0,1.0,0.0,0.0,True,False,1.8,0.16,2.625,3.0,0.234375,2.7142857142857144,3.0,0.2040816326530612,2.4,0.64,1.0,False,True,True,False
509,True,True,14.0,False,0,1,0.0,1.0,0.0,0.0,True,False,2.3906218655967906,0.2290980363356871,1.875,2.0,0.359375,2.142857142857143,2.0,0.4081632653061224,4.6,0.24,2.0,False,True,True,False
510,True,False,14.0,False,0,1,1.0,0.0,0.0,0.0,False,True,2.4,1.04,2.375,2.0,1.734375,3.4285714285714284,4.0,0.5306122448979592,4.6,0.6399999999999999,2.0,False,False,True,True
511,True,False,14.0,False,0,1,1.0,1.0,0.0,0.0,True,False,2.2,0.96,2.625,2.5,1.484375,2.4285714285714284,2.0,0.5306122448979592,4.6,0.24,1.0,False,True,True,False
512,True,False,15.0,False,2,2,1.0,0.0,0.0,0.0,False,True,4.0,0.0,1.875,2.0,0.359375,2.5714285714285716,3.0,0.816326530612245,3.2,1.36,2.0,True,True,False,False
513,True,False,14.0,False,2,2,1.0,1.0,0.0,0.0,False,False,3.0,0.0,2.25,2.0,0.1875,3.5714285714285716,4.0,1.1020408163265307,4.0,0.0,1.0,False,True,True,False
514,True,False,15.0,False,0,1,1.0,1.0,0.0,0.0,True,False,1.2,0.16,2.375,2.5,1.484375,2.2857142857142856,1.0,2.2040816326530615,4.0,0.4,2.0,True,False,False,True
515,True,False,14.0,False,2,2,1.0,0.0,0.0,0.0,True,False,3.8,0.1599999999999999,1.5,1.5,0.25,3.7142857142857144,4.0,0.489795918367347,5.0,0.0,2.0,False,True,True,False
516,True,False,17.0,False,0,1,1.0,1.0,0.0,0.0,True,False,3.4,0.24,2.25,2.0,0.9375,3.857142857142857,4.0,0.1224489795918367,4.6,0.24,4.0,True,True,False,False
517,True,False,17.0,False,0,1,1.0,1.0,0.0,0.0,True,False,3.4,0.24,2.75,3.0,1.4375,2.7142857142857144,4.0,2.2040816326530615,4.4,0.64,1.0,False,True,True,False
518,True,False,16.0,False,2,0,1.0,1.0,0.0,0.0,True,False,2.4,0.24,3.125,3.0,0.609375,3.5714285714285716,4.0,0.5306122448979592,4.6,0.24,1.0,False,False,True,True
519,True,False,16.0,False,2,0,1.0,1.0,0.0,0.0,True,True,3.2,0.1599999999999999,2.5,2.5,0.75,3.2857142857142856,3.0,0.489795918367347,3.8,2.16,2.0,False,False,True,True
520,True,False,16.0,True,0,1,1.0,1.0,0.0,0.0,True,False,3.0,0.0,2.875,3.0,0.859375,4.0,4.0,0.0,4.0,0.4,4.0,True,True,False,False
521,True,False,16.0,False,2,0,1.0,0.0,0.0,0.0,False,False,2.8,0.1599999999999999,2.375,2.5,0.984375,3.857142857142857,4.0,0.1224489795918367,3.4,0.24,3.0,True,True,False,False
522,True,False,17.0,True,3,3,0.0,0.0,0.0,0.0,False,True,2.4,1.44,2.125,2.0,0.609375,2.142857142857143,2.0,1.2653061224489794,2.0,0.8,5.0,True,True,False,False
523,True,False,17.0,False,2,2,1.0,1.0,0.0,0.0,True,False,2.8,0.5599999999999999,1.75,1.5,0.6875,2.714321392892822,3.0,0.4898163137806147,3.2,0.96,5.0,True,True,False,False
524,True,False,17.0,False,2,0,1.0,1.0,0.0,0.0,True,False,3.2,0.1599999999999999,2.625,3.0,0.734375,3.2857142857142856,4.0,0.7755102040816327,4.8,0.1599999999999999,1.0,False,True,True,False
525,True,False,17.0,False,0,1,1.0,1.0,0.0,0.0,True,False,2.0,0.0,2.25,2.0,1.4375,3.4285714285714284,4.0,1.1020408163265307,4.6,0.6399999999999999,1.0,True,True,False,False
526,True,True,16.0,False,0,1,1.0,1.0,0.0,0.0,True,False,3.4,0.24,3.375,3.5,0.484375,3.142857142857143,4.0,1.2653061224489797,1.8,1.3600000000000003,5.0,False,True,True,False
527,True,False,17.0,False,3,0,1.0,1.0,0.0,0.0,True,False,3.2,0.5599999999999999,2.125,2.0,1.109375,2.7142857142857144,3.0,1.0612244897959184,5.0,0.0,1.0,False,True,True,False
528,True,False,17.0,False,3,3,1.0,1.0,0.0,0.0,False,False,3.6,0.64,3.125,3.0,0.609375,3.5714285714285716,4.0,0.5306122448979593,4.2,0.96,4.0,True,False,False,True
529,True,False,17.0,False,2,0,1.0,1.0,0.0,0.0,True,False,2.4,0.64,2.625,2.0,1.234375,3.142857142857143,3.0,0.4081632653061224,4.8,0.1599999999999999,1.0,False,True,True,False
530,True,False,17.0,True,4,0,1.0,0.0,0.0,0.0,True,False,2.2,0.5599999999999999,1.875,1.0,1.609375,3.857142857142857,4.0,0.1224489795918367,4.857200100175307,0.0815672455597697,3.0,False,True,True,False
531,True,False,17.0,False,3,0,1.0,1.0,0.0,0.0,False,False,3.8,0.1599999999999999,2.375,2.5,0.984375,4.0,4.0,0.0,3.2,3.359999999999999,4.0,True,True,False,False
532,True,False,17.0,False,4,2,1.0,0.0,0.0,0.0,False,False,2.0,0.4,2.75,3.0,0.6875,3.0,3.0,1.1428571428571428,4.4,0.24,1.0,True,True,False,False
533,True,False,17.0,False,2,0,1.0,1.0,0.0,0.0,True,False,2.8,0.5599999999999999,1.875,1.5,0.859375,3.857142857142857,4.0,0.1224489795918367,4.8,0.1599999999999999,2.0,False,True,True,False
534,True,False,17.0,False,3,2,1.0,0.0,1.0,0.0,True,False,3.2,0.5599999999999999,2.5,2.5,1.75,3.857142857142857,4.0,0.1224489795918367,3.4,1.04,3.0,False,True,True,False
535,True,False,17.0,False,0,1,1.0,1.0,0.0,0.0,True,False,3.2,1.36,2.25,2.0,0.9375,3.7142857142857144,4.0,0.2040816326530612,4.4,0.64,1.0,False,True,True,False
536,True,False,16.0,True,3,2,1.0,1.0,0.0,0.0,True,False,3.4,0.24,2.375,2.0,0.734375,4.0,4.0,0.0,4.8,0.1599999999999999,4.0,True,False,False,True
537,True,False,17.0,False,2,0,1.0,1.0,0.0,0.0,True,False,2.6,1.04,2.75,3.0,0.6875,3.5714285714285716,4.0,0.2448979591836734,4.6,0.24,1.0,False,True,True,False
538,True,True,17.0,False,0,1,1.0,1.0,0.0,0.0,False,False,3.6,0.24,2.125,2.0,1.359375,4.0,4.0,0.0,4.2,0.96,1.0,False,True,True,False
539,True,False,15.0,False,2,0,1.0,1.0,0.0,0.0,False,False,3.0,0.8,2.75,3.0,0.9375,3.0,3.0,1.1428571428571428,4.8,0.1599999999999999,5.0,True,True,False,False
