label,precision,recall,f1-score,support
0,0.9370277078085643,0.4869109947643979,0.6408268733850129,764.0
1,0.28073394495412846,0.8595505617977528,0.42323651452282157,178.0
accuracy,,,0.5573248407643312,942.0
macro avg,0.6088808263813463,0.6732307782810754,0.5320316939539173,942.0
weighted avg,0.8130146613243927,0.5573248407643312,0.5997110730904587,942.0
