label,precision,recall,f1-score,support
0,0.9321266968325792,0.5392670157068062,0.6832504145936982,764.0
1,0.296,0.8314606741573034,0.4365781710914454,178.0
accuracy,,,0.5944798301486199,942.0
macro avg,0.6140633484162896,0.6853638449320548,0.5599142928425718,942.0
weighted avg,0.8119244122930896,0.5944798301486199,0.6366393112567544,942.0
