,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
2707,0.7935261721681695,0.28430852333377943,0.27121244661803834,0.058874922901777815,0.6567962795680053,0.4800666042711401,0.32754851391562917,0.19977016223706454,-0.18400549366253832,-0.5559708016176784,-0.033892497127720154,-0.1982239294134487,-0.007785659736005854,0.02973912243900482,-0.002502234499361309,-0.590471865191347,-0.01980866913434097,-0.127768744403426
729,-0.6682718970631365,-0.4158197649839798,-0.4135413833767391,-0.03295547620470392,-0.26902313984720383,0.8075046135707481,-0.390591132554283,-0.40510813902008946,-0.17073695518085827,-0.06502087982227851,-0.04959370513852837,-0.015659907705633875,0.2492459553760912,0.12896011405941946,-0.4967002283906283,-0.058864819997726324,0.22972272926153098,0.022266415325291864
2441,0.6262043775021693,0.6007215277849665,-0.022232580419505182,-0.010540571428980489,-0.25962609896958644,-0.26528694939917613,0.1151199870397719,-0.07722911002476812,-0.0879302093302197,-0.34016976251184167,-0.06284513732074459,0.16200938184168903,0.07433059264533112,0.13342520307592737,0.38045045347405304,-0.059380695450022586,-0.17547203924583207,-0.10177089637826994
1799,0.7581927752364849,0.5609586208719282,0.10003054986537452,-0.09269503634160312,0.2149458914563001,-0.04183832015425893,-0.03723445783287246,0.08801747708110293,0.0024433848747363,0.12949329858458522,0.04003907677621311,0.28122840503548524,0.03963946540513323,-0.10460175610394762,-0.06047423498931772,-0.13157893310790933,0.1759175037323735,-0.06443263497917896
1774,0.6554161007367942,0.01032208560358537,-0.07851311816238433,0.2886614557762718,0.2785288877891163,-0.7249574387513084,-0.02746294077731019,-0.3779796656383403,-0.1706965362549508,-0.34904343511625613,0.1513946810366125,-0.21650817628994626,0.08927961067667169,-0.3205038720907662,-0.2937258045631216,0.011487506198271954,0.3015048396411875,0.15039056813478477
937,0.632109086505937,-0.132282859492932,-0.1167946083778689,0.5655813764322786,0.18783969491278146,-0.5036264265121339,-0.3246756278738373,-0.509688910838668,-0.14112927389281563,-0.7119148859897936,0.10816885282630595,-0.019423175680308612,-0.7117382026976388,-0.564264523198006,-0.13849487514107078,-0.11148011581085539,0.050878980659378084,0.034389106123123674
882,-0.5849937786502177,-0.1454129838193256,-0.5485741735461994,-0.6182672002661495,-0.4554686782397624,-0.036210194519424095,0.10746650569736037,0.35856822898949026,0.37275519976888843,0.3198277921678489,-0.5713105027739497,-0.280685665419797,0.10173929618065544,-0.4745506132820569,0.025076229062195123,-0.055814419103216606,0.2579774321575403,-0.081050580055884
309,0.7541544107485213,0.38174047178243137,0.22145072248857464,-0.055369624962237185,0.6778386529344929,0.31744552586502656,-0.21766304561231561,-0.3096567210749702,0.026541762358022046,-0.01585630316399569,-0.02566223217500966,0.4051203944776313,0.08469122329827325,0.08950270684338923,0.24041895028912214,-0.14909778223811992,0.13174463707300335,-0.06971448736741769
1593,-0.743085700450024,0.4788069963650962,-0.09577811167319336,0.015010815276695967,0.09988051901191976,0.054529195637679564,0.08023200971299672,-0.3883037022890366,0.00903831964205112,-0.07349979358580326,-0.0521032908088539,-0.07901631535621459,-0.040505617482757404,0.2513677863209427,0.5263996697643549,0.039630973425015856,0.1741708977094368,-0.07615912330457045
2896,-0.6582025072218722,-0.3282765655598515,-0.36590061601259743,1.1310546636217713,-0.07193242804384932,-0.4919787244806966,0.06556189397400954,-0.21560311441850927,-0.27726510551405864,0.3667577193169247,-0.20406903876484692,-0.23000991120879422,0.08302911729116823,0.4693738210024448,-0.4083388310281731,-0.18850582392320583,0.3129995436237677,-0.09584069720750123
