accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0.6105263233184814,0.6758113503456116,0.26203808188438416,0.407665491104126,0.6490066051483154,0.6758862137794495,0.4253731369972229,0.4100719392299652
0.623781681060791,0.668591320514679,0.28349944949150085,0.445993036031723,0.6490066051483154,0.6687280535697937,0.43670886754989624,0.49640288949012756
0.635477602481842,0.6584773659706116,0.30444204807281494,0.4895470440387726,0.6467990875244141,0.6589130163192749,0.4393063485622406,0.5467625856399536
0.6370370388031006,0.6523526310920715,0.31269675493240356,0.5191637873649597,0.6556291580200195,0.6494219303131104,0.454054057598114,0.6043165326118469
0.6662768125534058,0.6388641595840454,0.3546391725540161,0.599303126335144,0.6688741445541382,0.6384772062301636,0.469613254070282,0.6115108132362366
0.6538011431694031,0.6411138772964478,0.33747410774230957,0.5679442286491394,0.6777042150497437,0.6269391179084778,0.47999998927116394,0.6043165326118469
0.6370370388031006,0.6312354207038879,0.32820019125938416,0.5940766334533691,0.6732891798019409,0.6226905584335327,0.4754098355770111,0.6258992552757263
0.6514619588851929,0.6260538697242737,0.33706721663475037,0.5766550302505493,0.6821191906929016,0.6134719252586365,0.4858756959438324,0.6187050342559814
0.6530214548110962,0.6262325644493103,0.34294235706329346,0.6010453104972839,0.6799116730690002,0.6072300672531128,0.483146071434021,0.6187050342559814
0.6662768125534058,0.6127719283103943,0.3601190447807312,0.6324042081832886,0.6821191906929016,0.6025494337081909,0.4861878454685211,0.633093535900116
0.6732943654060364,0.6136823296546936,0.3653061091899872,0.6236934065818787,0.6887417435646057,0.5960529446601868,0.49438202381134033,0.633093535900116
0.6682261228561401,0.6098950505256653,0.36024218797683716,0.6219512224197388,0.684326708316803,0.5946009755134583,0.48876404762268066,0.6258992552757263
0.6709551811218262,0.6068446040153503,0.3644578456878662,0.6324042081832886,0.6887417435646057,0.5931146144866943,0.49444442987442017,0.6402877569198608
0.6768031120300293,0.6045383214950562,0.37003058195114136,0.6324042081832886,0.6821191906929016,0.5933951735496521,0.4863387942314148,0.6402877569198608
0.6740740537643433,0.6132543683052063,0.36659878492355347,0.6271777153015137,0.6865342259407043,0.5943222045898438,0.49189189076423645,0.6546762585639954
0.6881091594696045,0.5996215343475342,0.38374486565589905,0.6498258113861084,0.6975717544555664,0.5881730318069458,0.5056818127632141,0.6402877569198608
0.6943469643592834,0.6025505661964417,0.3903966546058655,0.6515679359436035,0.6799116730690002,0.58843594789505,0.4833333194255829,0.6258992552757263
0.6884990334510803,0.6003236770629883,0.3821989595890045,0.6358885169029236,0.6821191906929016,0.5885264277458191,0.4861878454685211,0.633093535900116
0.6873294115066528,0.5923991799354553,0.3814968764781952,0.6393728256225586,0.684326708316803,0.5876536965370178,0.4888888895511627,0.633093535900116
0.6920077800750732,0.5929955244064331,0.3877338767051697,0.6498258113861084,0.6931567192077637,0.5850734710693359,0.5,0.633093535900116
0.6912280917167664,0.5981659889221191,0.386929452419281,0.6498258113861084,0.684326708316803,0.5876703858375549,0.4888888895511627,0.633093535900116
0.689278781414032,0.5911945700645447,0.3865717053413391,0.6620209217071533,0.6799116730690002,0.5897453427314758,0.48351648449897766,0.633093535900116
0.689668595790863,0.592971682548523,0.38509318232536316,0.6480836272239685,0.6777042150497437,0.5872335433959961,0.48022598028182983,0.6115108132362366
0.6935672760009766,0.5938787460327148,0.38818565011024475,0.6411150097846985,0.6777042150497437,0.5857227444648743,0.48022598028182983,0.6115108132362366
0.6978557705879211,0.5842903256416321,0.39498433470726013,0.6585366129875183,0.6799116730690002,0.5859321355819702,0.483146071434021,0.6187050342559814
0.6935672760009766,0.5875788331031799,0.38794925808906555,0.6393728256225586,0.684326708316803,0.5846226811408997,0.4886363744735718,0.6187050342559814
0.6955165863037109,0.5862837433815002,0.39162304997444153,0.6515679359436035,0.6887417435646057,0.5843238234519958,0.49425286054611206,0.6187050342559814
0.6994152069091797,0.58894282579422,0.3968586325645447,0.6602787375450134,0.6887417435646057,0.5861365795135498,0.49425286054611206,0.6187050342559814
0.6849902272224426,0.5955828428268433,0.3776150643825531,0.6289198398590088,0.6887417435646057,0.5884177088737488,0.4943181872367859,0.6258992552757263
0.6869395971298218,0.5843955278396606,0.3837563395500183,0.6585366129875183,0.6931567192077637,0.5896995663642883,0.5,0.633093535900116
0.6846004128456116,0.5802029967308044,0.38046795129776,0.6515679359436035,0.6909492015838623,0.588789701461792,0.49714285135269165,0.6258992552757263
0.6947368383407593,0.5801754593849182,0.3936927914619446,0.6742160320281982,0.6931567192077637,0.5871034264564514,0.5,0.6258992552757263
0.6908382177352905,0.5790486335754395,0.38860630989074707,0.6655052304267883,0.6909492015838623,0.586288571357727,0.49714285135269165,0.6258992552757263
0.6978557705879211,0.5751231908798218,0.3952033221721649,0.6602787375450134,0.6887417435646057,0.5847674608230591,0.49425286054611206,0.6187050342559814
0.6994152069091797,0.5866854190826416,0.3957671821117401,0.6515679359436035,0.6887417435646057,0.5874775052070618,0.49425286054611206,0.6187050342559814
