strategy,model,threshold_type,victim_threshold,perp_threshold,overlap_threshold,label,n,positive_support,negative_support,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,average_precision_pr_auc,roc_auc
Direct overlap classifier,Weighted logistic regression SW_pos1.5,direct overlap threshold,,,0.5,direct_overlap,1006,193,813,152,373,440,41,0.7875647668393783,0.5412054120541205,0.2895238095238095,0.9147609147609148,0.6643850894467493,0.42339832869080785,0.588469184890656,0.38341313179141945,0.7335971805313908
Smart AND recall-matched benchmark,Victimization prediction AND perpetration prediction,recall-matched benchmark thresholds,0.05,0.395,,smart_and_recall_matched,1006,193,813,155,433,380,38,0.8031088082901554,0.46740467404674046,0.26360544217687076,0.9090909090909091,0.635256741168448,0.3969270166453265,0.5318091451292246,0.327441143970246,0.6943738090230642
