,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,GENERO_BIN_2,ORIENTSEX.BN_1,ORIENTSEX.BN_2,ORIENTSEX.BN_3
948,1,0.0,14.0,0.0,2,2,1.0,1.0,0.0,0.0,1.0,0,2.4,0.64,3.125,3.0,0.859375,2.4285714285714284,2.0,0.816326530612245,4.2,0.1599999999999999,5.0,1,0,0,1,0,0
949,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.6,0.24,2.362149824912456,2.4485992996498247,0.469468170139034,4.0,4.0,0.0,2.8,1.7600000000000002,1.0,1,0,0,1,0,0
950,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.8,0.1599999999999999,2.625,3.0,0.234375,3.0,3.0,0.8571428571428571,3.4,1.04,4.0,1,0,0,1,0,0
951,1,0.0,14.0,0.0,2,2,1.0,1.0,1.0,1.0,1.0,0,4.0,0.0,1.625,1.5,0.484375,4.0,4.0,0.0,3.2,2.16,2.0,1,0,0,1,0,0
952,1,0.0,14.0,0.0,2,0,1.0,1.0,0.0,0.0,0.0,0,3.4,0.24,2.25,2.0,0.9375,3.857142857142857,4.0,0.1224489795918367,5.0,0.0,1.0,0,1,0,1,0,0
953,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.2,1.36,2.625,2.5,0.984375,3.857142857142857,4.0,0.1224489795918367,4.4,0.6399999999999999,1.0,1,0,0,1,0,0
954,2,1.0,14.0,0.0,4,0,1.0,0.0,0.0,0.0,1.0,1,3.6,0.24,3.0,3.0,1.0,4.0,4.0,0.0,3.8,1.36,2.0,1,0,0,1,0,0
955,1,0.0,14.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,1,3.0,0.0,2.25,2.0,0.1875,3.857142857142857,4.0,0.1224489795918367,4.6,0.24,1.0,0,1,0,1,0,0
956,1,1.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.0,0.4,2.375,2.0,1.234375,3.7142857142857144,4.0,0.2040816326530612,4.0,1.2,1.0,0,1,0,1,0,0
957,1,0.0,14.0,0.0,2,2,1.0,0.0,1.0,0.0,0.0,0,2.4,0.64,2.0,2.0,0.5,4.0,4.0,0.0,4.8,0.1599999999999999,1.0,0,1,0,1,0,0
