outcome,component_number,component,explained_variance_ratio,explained_variance_percent,cumulative_variance_ratio,cumulative_variance_percent,retained
overlap,1,PC1,0.2040525073573734,20.40525073573734,0.2040525073573734,20.40525073573734,True
overlap,2,PC2,0.10835211162443636,10.835211162443636,0.31240461898180977,31.24046189818098,True
overlap,3,PC3,0.09202573993070694,9.202573993070693,0.4044303589125167,40.443035891251675,True
overlap,4,PC4,0.08167493716034088,8.167493716034087,0.4861052960728576,48.610529607285756,True
overlap,5,PC5,0.06787249159576514,6.787249159576514,0.5539777876686227,55.397778766862274,True
overlap,6,PC6,0.05647885233332858,5.647885233332858,0.6104566400019513,61.04566400019513,True
overlap,7,PC7,0.046376784533778095,4.637678453377809,0.6568334245357295,65.68334245357295,True
overlap,8,PC8,0.037897721950635864,3.7897721950635863,0.6947311464863654,69.47311464863654,True
overlap,9,PC9,0.03353391491929145,3.353391491929145,0.7282650614056568,72.82650614056568,True
overlap,10,PC10,0.030824227350741612,3.0824227350741613,0.7590892887563985,75.90892887563984,True
overlap,11,PC11,0.027448591641599077,2.744859164159908,0.7865378803979975,78.65378803979975,True
overlap,12,PC12,0.023608559780892276,2.3608559780892278,0.8101464401788898,81.01464401788898,True
overlap,13,PC13,0.022251717118299427,2.2251717118299426,0.8323981572971892,83.23981572971893,True
overlap,14,PC14,0.021854626518299218,2.185462651829922,0.8542527838154884,85.42527838154884,True
overlap,15,PC15,0.01982589411184384,1.982589411184384,0.8740786779273323,87.40786779273323,True
overlap,16,PC16,0.018898995070244295,1.8898995070244295,0.8929776729975766,89.29776729975765,True
overlap,17,PC17,0.01733711437839426,1.733711437839426,0.9103147873759708,91.03147873759708,True
overlap,18,PC18,0.015887431460860343,1.5887431460860344,0.9262022188368312,92.62022188368312,True
overlap,19,PC19,0.013892124531179408,1.3892124531179408,0.9400943433680106,94.00943433680105,False
overlap,20,PC20,0.013068085868869954,1.3068085868869954,0.9531624292368805,95.31624292368805,False
overlap,21,PC21,0.01272421304597594,1.272421304597594,0.9658866422828565,96.58866422828565,False
overlap,22,PC22,0.009239762268333547,0.9239762268333547,0.97512640455119,97.512640455119,False
overlap,23,PC23,0.008491495141364247,0.8491495141364247,0.9836178996925543,98.36178996925543,False
overlap,24,PC24,0.007663111425006942,0.7663111425006942,0.9912810111175613,99.12810111175612,False
overlap,25,PC25,0.0061429357445595715,0.6142935744559571,0.9974239468621209,99.7423946862121,False
overlap,26,PC26,0.001545093420136865,0.1545093420136865,0.9989690402822577,99.89690402822578,False
overlap,27,PC27,0.0010309597177424789,0.10309597177424788,1.0000000000000002,100.00000000000003,False
overlap,28,PC28,2.961584536800896e-17,2.961584536800896e-15,1.0000000000000002,100.00000000000003,False
overlap,29,PC29,0.0,0.0,1.0000000000000002,100.00000000000003,False
