outcome,fold_id,model_label,selected_threshold,target_recall,threshold_status,n_components,target_n_components,retained_variance,train_n,test_n,train_positive_prevalence,test_positive_prevalence,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,roc_auc,pr_auc_average_precision,positive_support,negative_support,support,selected_ccp_alpha,class_weight_positive,tune_class_weight_positive,epochs_ran,tune_epochs_ran,tune_TP,tune_FP,tune_TN,tune_FN,tune_recall_sensitivity,tune_specificity,tune_precision_ppv,tune_npv,tune_balanced_accuracy,tune_f1_positive,tune_accuracy,tune_roc_auc,tune_pr_auc_average_precision,tune_positive_support,tune_negative_support,tune_support,positive_class_weight,tune_positive_class_weight
perpetration,13,compact_dnn_screening_threshold_fold_internal,0.424,0.9,target_met,22,22,0.9907922629336358,3014,753,0.23490378234903783,0.2350597609561753,127,241,335,50,0.7175141242937854,0.5815972222222222,0.3451086956521739,0.8701298701298701,0.6495556732580038,0.4660550458715596,0.6135458167330677,0.7218396892655368,0.42889558327914734,177,576,753,,3.2570621468926553,3.2597173144876326,36.0,19.0,134.0,387.0,74.0,8.0,0.9436619718309859,0.16052060737527116,0.2571976967370441,0.9024390243902439,0.5520912896031285,0.40422322775263947,0.3449419568822554,0.6809293941523327,0.40703041128107015,142.0,461.0,603.0,,
perpetration,14,compact_dnn_screening_threshold_fold_internal,0.333,0.9,target_met,22,22,0.9908495032549488,3014,753,0.23490378234903783,0.2350597609561753,177,576,0,0,1.0,0.0,0.2350597609561753,,0.5,0.3806451612903226,0.2350597609561753,0.5468259573132455,0.2735123469412496,177,576,753,,3.2570621468926553,3.2597173144876326,16.0,24.0,130.0,312.0,149.0,12.0,0.9154929577464789,0.3232104121475054,0.29411764705882354,0.9254658385093167,0.6193516849469921,0.44520547945205485,0.4626865671641791,0.722281629036693,0.45951845153805304,142.0,461.0,603.0,,
perpetration,15,compact_dnn_screening_threshold_fold_internal,0.271,0.9,target_met,22,22,0.9909055479666862,3014,753,0.23490378234903783,0.2350597609561753,177,576,0,0,1.0,0.0,0.2350597609561753,,0.5,0.3806451612903226,0.2350597609561753,0.6337197897049591,0.3848534100016282,177,576,753,,3.2570621468926553,3.2597173144876326,16.0,36.0,129.0,320.0,141.0,13.0,0.9084507042253521,0.30585683297180044,0.2873051224944321,0.9155844155844156,0.6071537685985763,0.4365482233502538,0.44776119402985076,0.7207234731600012,0.44489215460051357,142.0,461.0,603.0,,
perpetration,16,compact_dnn_screening_threshold_fold_internal,0.466,0.9,target_met,22,22,0.9910786377208992,3013,754,0.23498174576833722,0.23474801061007958,168,547,30,9,0.9491525423728814,0.05199306759098787,0.23496503496503496,0.7692307692307693,0.5005728049819346,0.3766816143497758,0.2625994694960212,0.5537996063801662,0.30101040749620267,177,577,754,,3.255649717514124,3.2579505300353353,16.0,16.0,133.0,392.0,69.0,9.0,0.9366197183098591,0.14967462039045554,0.25333333333333335,0.8846153846153846,0.5431471693501573,0.39880059970014997,0.33499170812603646,0.611950444532706,0.3033080032399333,142.0,461.0,603.0,,
perpetration,17,compact_dnn_screening_threshold_fold_internal,0.297,0.9,target_met,22,22,0.9908725910289987,3013,754,0.23498174576833722,0.23474801061007958,154,376,201,23,0.8700564971751412,0.3483535528596187,0.29056603773584905,0.8973214285714286,0.6092050250173799,0.4356435643564357,0.4708222811671088,0.7220084403058876,0.43646616463338894,177,577,754,,3.255649717514124,3.2579505300353353,43.0,56.0,129.0,332.0,129.0,13.0,0.9084507042253521,0.279826464208243,0.279826464208243,0.9084507042253521,0.5941385842167975,0.42786069651741293,0.42786069651741293,0.6481164645137637,0.3651335141385431,142.0,461.0,603.0,,
perpetration,18,compact_dnn_screening_threshold_fold_internal,0.3,0.9,target_met,22,22,0.9907786149230772,3014,753,0.23490378234903783,0.2350597609561753,177,576,0,0,1.0,0.0,0.2350597609561753,,0.5,0.3806451612903226,0.2350597609561753,0.6341513653483992,0.3490848934283575,177,576,753,,3.2570621468926553,3.2597173144876326,16.0,35.0,132.0,322.0,139.0,10.0,0.9295774647887324,0.30151843817787416,0.2907488986784141,0.9328859060402684,0.6155479514833033,0.44295302013422816,0.4494195688225539,0.7042406281506829,0.4271742322328234,142.0,461.0,603.0,,
perpetration,19,compact_dnn_screening_threshold_fold_internal,0.425,0.9,target_met,22,22,0.9907248499432624,3014,753,0.23490378234903783,0.2350597609561753,137,303,273,40,0.7740112994350282,0.4739583333333333,0.31136363636363634,0.8722044728434505,0.6239848163841808,0.44408427876823336,0.5444887118193891,0.6979657093534213,0.4160130828579909,177,576,753,,3.2570621468926553,3.2597173144876326,27.0,21.0,128.0,304.0,157.0,14.0,0.9014084507042254,0.3405639913232104,0.2962962962962963,0.9181286549707602,0.6209862210137179,0.44599303135888496,0.472636815920398,0.7154532400476612,0.46360697281539887,142.0,461.0,603.0,,
perpetration,20,compact_dnn_screening_threshold_fold_internal,0.41300000000000003,0.9,target_met,22,22,0.9907078055048261,3014,753,0.23490378234903783,0.2350597609561753,177,576,0,0,1.0,0.0,0.2350597609561753,,0.5,0.3806451612903226,0.2350597609561753,0.6167853499686127,0.38257545935236037,177,576,753,,3.2570621468926553,3.2597173144876326,16.0,22.0,132.0,306.0,155.0,10.0,0.9295774647887324,0.3362255965292842,0.3013698630136986,0.9393939393939394,0.6329015306590082,0.4551724137931034,0.4759535655058043,0.724252237939568,0.43472185897215665,142.0,461.0,603.0,,
perpetration,21,compact_dnn_screening_threshold_fold_internal,0.439,0.9,target_met,22,22,0.9910425754739951,3013,754,0.23498174576833722,0.23474801061007958,139,313,264,38,0.7853107344632768,0.45753899480069327,0.3075221238938053,0.8741721854304636,0.6214248646319851,0.4419713831478537,0.5344827586206896,0.686807860646829,0.3908927032326295,177,577,754,,3.255649717514124,3.2579505300353353,22.0,18.0,130.0,378.0,83.0,12.0,0.9154929577464789,0.18004338394793926,0.2559055118110236,0.8736842105263158,0.5477681708472091,0.39999999999999997,0.35323383084577115,0.6519049219394457,0.3676676373361141,142.0,461.0,603.0,,
perpetration,22,compact_dnn_screening_threshold_fold_internal,0.375,0.9,target_met,22,22,0.9909004293564334,3013,754,0.23498174576833722,0.23474801061007958,131,274,303,46,0.7401129943502824,0.5251299826689775,0.3234567901234568,0.8681948424068768,0.63262148850963,0.4501718213058419,0.5755968169761273,0.7111789991089701,0.4377096471875235,177,577,754,,3.255649717514124,3.2579505300353353,41.0,27.0,129.0,309.0,152.0,13.0,0.9084507042253521,0.3297180043383948,0.2945205479452055,0.9212121212121213,0.6190843542818735,0.4448275862068966,0.4660033167495854,0.7230607069750389,0.42680205379437175,142.0,461.0,603.0,,
perpetration,23,compact_dnn_screening_threshold_fold_internal,0.291,0.9,target_met,22,22,0.9909372651768864,3014,753,0.23490378234903783,0.2350597609561753,151,354,222,26,0.8531073446327684,0.3854166666666667,0.299009900990099,0.8951612903225806,0.6192620056497176,0.4428152492668621,0.4953519256308101,0.7038115976145638,0.4100388980402906,177,576,753,,3.2570621468926553,3.2597173144876326,69.0,24.0,131.0,374.0,87.0,11.0,0.9225352112676056,0.18872017353579176,0.2594059405940594,0.8877551020408163,0.5556276924016987,0.4049459041731066,0.3615257048092869,0.6762243744462435,0.4354356845725946,142.0,461.0,603.0,,
perpetration,24,compact_dnn_screening_threshold_fold_internal,0.363,0.9,target_met,22,22,0.9906826756210713,3014,753,0.23490378234903783,0.2350597609561753,166,451,125,11,0.9378531073446328,0.2170138888888889,0.26904376012965964,0.9191176470588235,0.5774334981167608,0.4181360201511335,0.38645418326693226,0.7010014516635279,0.4177363887715366,177,576,753,,3.2570621468926553,3.2597173144876326,19.0,23.0,128.0,309.0,152.0,14.0,0.9014084507042254,0.3297180043383948,0.2929061784897025,0.9156626506024096,0.6155632275213101,0.44214162348877367,0.46434494195688225,0.6874828144572424,0.3984392694101279,142.0,461.0,603.0,,
perpetration,25,compact_dnn_screening_threshold_fold_internal,0.34600000000000003,0.9,target_met,22,22,0.990651919145823,3014,753,0.23490378234903783,0.2350597609561753,177,576,0,0,1.0,0.0,0.2350597609561753,,0.5,0.3806451612903226,0.2350597609561753,0.6251863622096674,0.33180366564105757,177,576,753,,3.2570621468926553,3.2597173144876326,16.0,33.0,134.0,297.0,164.0,8.0,0.9436619718309859,0.3557483731019523,0.3109048723897912,0.9534883720930233,0.6497051724664691,0.4677137870855148,0.494195688225539,0.7123369282942776,0.4667445288115022,142.0,461.0,603.0,,
overlap,1,weighted_logistic_regression_SW_pos1.5_screening_threshold_fold_internal,0.486,0.8,target_met,18,18,0.9509856521776443,3013,754,0.18918021905077995,0.1896551724137931,113,304,307,30,0.7902097902097902,0.502454991816694,0.2709832134292566,0.9109792284866469,0.6463323910132421,0.4035714285714286,0.5570291777188329,0.7430556350359951,0.4133988148841242,143,611,754,,,,,,92.0,224.0,265.0,22.0,0.8070175438596491,0.5419222903885481,0.2911392405063291,0.9233449477351916,0.6744699171240987,0.427906976744186,0.5920398009950248,0.7420083952211818,0.3944536089749223,114.0,489.0,603.0,6.428947368421053,6.427631578947368
overlap,2,weighted_logistic_regression_SW_pos1.5_screening_threshold_fold_internal,0.47300000000000003,0.8,target_met,18,18,0.9506051195189298,3013,754,0.18918021905077995,0.1896551724137931,114,309,302,29,0.7972027972027972,0.49427168576104746,0.2695035460992908,0.9123867069486404,0.6457372414819224,0.4028268551236749,0.5517241379310345,0.7461343893422453,0.4032461614966476,143,611,754,,,,,,92.0,245.0,244.0,22.0,0.8070175438596491,0.49897750511247446,0.27299703264094954,0.9172932330827067,0.6529975244860617,0.4079822616407982,0.5572139303482587,0.7362860115523983,0.45406007772409934,114.0,489.0,603.0,6.428947368421053,6.427631578947368
