outcome,fold_id,ccp_alpha,selected_threshold,threshold_status,tune_TP,tune_FP,tune_TN,tune_FN,tune_recall_sensitivity,tune_specificity,tune_precision_ppv,tune_npv,tune_balanced_accuracy,tune_f1_positive,tune_accuracy,tune_roc_auc,tune_pr_auc_average_precision,tune_positive_support,tune_negative_support,tune_support
victimization,1,0.0,0.001,target_not_met_nonzero_specificity,174.0,116.0,189.0,124.0,0.5838926174496645,0.6196721311475409,0.6,0.6038338658146964,0.6017823742986027,0.5918367346938775,0.6019900497512438,0.6017823742986028,0.5559740447649894,298.0,305.0,603.0
victimization,1,0.0003773227030840084,0.091,target_not_met_nonzero_specificity,175.0,117.0,188.0,123.0,0.587248322147651,0.6163934426229508,0.5993150684931506,0.6045016077170418,0.6018208823853008,0.5932203389830508,0.6019900497512438,0.6017823742986026,0.5567299449970582,298.0,305.0,603.0
victimization,1,0.0003856539451000881,0.001,target_not_met_nonzero_specificity,177.0,125.0,180.0,121.0,0.5939597315436241,0.5901639344262295,0.5860927152317881,0.5980066445182725,0.5920618329849268,0.59,0.5920398009950248,0.5993123555946749,0.557740220786741,298.0,305.0,603.0
victimization,1,0.00039637203643111255,0.001,target_not_met_nonzero_specificity,185.0,129.0,176.0,113.0,0.6208053691275168,0.5770491803278689,0.589171974522293,0.6089965397923875,0.5989272747276928,0.6045751633986929,0.5986733001658375,0.5979810760259655,0.5512058242218587,298.0,305.0,603.0
victimization,1,0.0004059595407326407,0.001,target_not_met_nonzero_specificity,190.0,141.0,164.0,108.0,0.6375838926174496,0.5377049180327869,0.5740181268882175,0.6029411764705882,0.5876444053251182,0.604133545310016,0.5870646766169154,0.5870337770931895,0.5411827263124164,298.0,305.0,603.0
victimization,1,0.00041588234147485844,0.001,target_not_met_nonzero_specificity,194.0,149.0,156.0,104.0,0.6510067114093959,0.5114754098360655,0.565597667638484,0.6,0.5812410606227307,0.6053042121684866,0.5804311774461028,0.5752723071845088,0.527718595633977,298.0,305.0,603.0
victimization,1,0.000527325354503571,0.001,target_not_met_nonzero_specificity,197.0,160.0,145.0,101.0,0.6610738255033557,0.47540983606557374,0.5518207282913166,0.5894308943089431,0.5682418307844648,0.6015267175572518,0.5671641791044776,0.5713829904279899,0.5285723300434986,298.0,305.0,603.0
victimization,1,0.0005861984844222517,0.001,target_not_met_nonzero_specificity,205.0,168.0,137.0,93.0,0.6879194630872483,0.4491803278688525,0.5495978552278821,0.5956521739130435,0.5685498954780503,0.6110283159463488,0.5671641791044776,0.5731323577951369,0.5287637437389432,298.0,305.0,603.0
victimization,1,0.000635858347371112,0.001,target_not_met_nonzero_specificity,211.0,171.0,134.0,87.0,0.7080536912751678,0.43934426229508194,0.5523560209424084,0.6063348416289592,0.5736989767851248,0.6205882352941178,0.572139303482587,0.5834195180988007,0.5357597235323193,298.0,305.0,603.0
victimization,1,0.000653898758029317,0.001,target_not_met_nonzero_specificity,214.0,188.0,117.0,84.0,0.7181208053691275,0.3836065573770492,0.5323383084577115,0.582089552238806,0.5508636813730883,0.6114285714285714,0.548922056384743,0.5727527780833974,0.5326538297899172,298.0,305.0,603.0
