outcome,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,roc_auc,pr_auc_average_precision
overlap,81.0% (5.0),51.5% (7.1),28.3% (2.1),92.2% (1.4),66.3% (2.3),41.8% (2.1),57.1% (5.1),74.8% (1.7),42.2% (3.0)
perpetration,83.0% (13.4),34.4% (26.0),29.6% (5.3),86.5% (3.0),58.7% (6.5),42.8% (3.8),45.8% (16.8),66.6% (5.7),39.1% (5.2)
victimization,85.1% (7.2),33.6% (11.3),55.9% (2.6),70.5% (4.7),59.4% (2.8),67.2% (1.7),59.1% (2.9),68.3% (2.1),65.7% (2.6)
