outcome,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,roc_auc,pr_auc_average_precision
overlap,81.0% (72.5–89.6),51.5% (37.6–62.7),28.3% (24.9–31.7),92.2% (90.4–95.2),66.3% (62.5–70.0),41.8% (38.5–45.0),57.1% (47.5–64.9),74.8% (71.6–77.9),42.2% (36.3–47.7)
perpetration,83.0% (62.6–100.0),34.4% (0.0–67.1),29.6% (23.5–38.4),86.5% (79.8–90.9),58.7% (50.0–67.3),42.8% (37.9–49.1),45.8% (23.5–66.8),66.6% (54.3–72.5),39.1% (27.0–45.3)
victimization,85.1% (69.8–92.6),33.6% (16.2–54.6),55.9% (51.9–61.2),70.5% (61.8–77.2),59.4% (54.3–64.2),67.2% (63.7–70.1),59.1% (53.8–64.0),68.3% (64.3–71.1),65.7% (60.3–69.5)
