idx_original,y_pred,y_prob,V.SUM.TOTAL,P.SUM.TOTAL
3001,0,0.2979397781299525,1.0,0.0
1694,0,0.2979397781299525,1.0,0.0
677,0,0.2979397781299525,0.0,0.0
840,1,0.7824773413897281,3.0,0.0
1903,1,0.509393451422437,0.0,0.0
1172,1,0.509393451422437,2.0,0.0
1190,1,0.7824773413897281,2.0,0.0
942,1,0.509393451422437,0.0,0.0
1579,1,0.509393451422437,0.0,0.0
1290,1,0.7824773413897281,4.0,0.0
1251,1,0.509393451422437,10.0,2.0
1429,1,0.509393451422437,6.0,4.0
1945,1,0.509393451422437,1.0,0.0
315,1,0.509393451422437,0.0,0.0
3169,0,0.2979397781299525,0.0,0.0
2055,1,0.509393451422437,0.0,0.0
1410,1,0.509393451422437,4.0,0.0
3137,0,0.2979397781299525,1.0,0.0
1904,1,0.509393451422437,4.0,1.0
3034,1,0.7824773413897281,8.0,2.0
3583,0,0.2979397781299525,0.0,0.0
1707,1,0.509393451422437,0.0,0.0
3152,0,0.2979397781299525,0.0,0.0
1670,0,0.2979397781299525,0.0,1.0
2347,1,0.509393451422437,0.0,0.0
3733,0,0.2979397781299525,0.0,2.0
555,1,0.7824773413897281,0.0,0.0
1337,1,0.509393451422437,0.0,0.0
2940,1,0.7824773413897281,3.0,0.0
2774,0,0.2979397781299525,2.0,0.0
297,1,0.509393451422437,6.0,5.0
3541,1,0.7824773413897281,0.0,0.0
1846,1,0.509393451422437,1.0,1.0
2879,1,0.509393451422437,0.0,0.0
3457,1,0.509393451422437,6.0,1.0
3317,1,0.509393451422437,13.0,6.0
1486,1,0.509393451422437,0.0,0.0
1388,1,0.509393451422437,2.0,0.0
1142,1,0.7824773413897281,1.0,0.0
650,1,0.509393451422437,0.0,0.0
998,1,0.509393451422437,0.0,0.0
972,1,0.7824773413897281,1.0,0.0
3349,0,0.2979397781299525,0.0,0.0
2077,0,0.2979397781299525,1.0,0.0
351,1,0.509393451422437,5.0,0.0
3462,1,0.509393451422437,12.0,0.0
748,1,0.509393451422437,3.0,0.0
2178,1,0.509393451422437,0.0,0.0
1239,1,0.509393451422437,0.0,0.0
2918,0,0.2979397781299525,0.0,0.0
2736,1,0.509393451422437,0.0,0.0
2115,1,0.509393451422437,0.0,0.0
1925,1,0.509393451422437,5.0,0.0
1679,1,0.509393451422437,0.0,0.0
1702,0,0.2979397781299525,1.0,0.0
3101,0,0.2979397781299525,1.0,0.0
956,1,0.7824773413897281,0.0,0.0
3553,0,0.2979397781299525,2.0,1.0
1600,0,0.2979397781299525,1.0,0.0
197,1,0.509393451422437,1.0,0.0
