outcome,severity_threshold,alternative_definition,n,positives,negatives,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,fpr,fnr
victimization,>=1,V.SUM.TOTAL >= 1,942,458,484,355,379,105,103,0.7751091703056768,0.21694214876033058,0.48365122615803813,0.5048076923076923,0.4960256595330037,0.5956375838926175,0.4883227176220807,0.7830578512396694,0.22489082969432314
victimization,>=2,V.SUM.TOTAL >= 2,942,279,663,221,513,150,58,0.7921146953405018,0.22624434389140272,0.3010899182561308,0.7211538461538461,0.5091795196159523,0.43632773938795655,0.39384288747346075,0.7737556561085973,0.2078853046594982
victimization,>=3,V.SUM.TOTAL >= 3,942,204,738,164,570,168,40,0.803921568627451,0.22764227642276422,0.22343324250681199,0.8076923076923077,0.5157819225251076,0.34968017057569295,0.3524416135881104,0.7723577235772358,0.19607843137254902
perpetration,>=1,P.SUM.TOTAL >= 1,942,228,714,184,522,192,44,0.8070175438596491,0.2689075630252101,0.26062322946175637,0.8135593220338984,0.5379625534424296,0.39400428265524623,0.3991507430997877,0.7310924369747899,0.19298245614035087
perpetration,>=2,P.SUM.TOTAL >= 2,942,96,846,79,627,219,17,0.8229166666666666,0.25886524822695034,0.11189801699716714,0.9279661016949152,0.5408909574468085,0.1970074812967581,0.31634819532908703,0.7411347517730497,0.17708333333333334
perpetration,>=3,P.SUM.TOTAL >= 3,942,46,896,41,665,231,5,0.8913043478260869,0.2578125,0.05807365439093484,0.9788135593220338,0.5745584239130435,0.10904255319148937,0.28874734607218683,0.7421875,0.10869565217391304
overlap,>=1,V.SUM.TOTAL >= 1 AND P.SUM.TOTAL >= 1,942,185,757,95,404,353,90,0.5135135135135135,0.4663143989431968,0.1903807615230461,0.7968397291196389,0.48991395622835515,0.2777777777777778,0.47558386411889597,0.5336856010568032,0.4864864864864865
overlap,>=2,V.SUM.TOTAL >= 2 AND P.SUM.TOTAL >= 2,942,70,872,37,462,410,33,0.5285714285714286,0.4701834862385321,0.07414829659318638,0.9255079006772009,0.49937745740498035,0.13005272407732868,0.4745222929936306,0.5298165137614679,0.4714285714285714
overlap,>=3,V.SUM.TOTAL >= 3 AND P.SUM.TOTAL >= 3,942,37,905,21,478,427,16,0.5675675675675675,0.4718232044198895,0.04208416833667335,0.963882618510158,0.5196953859937286,0.07835820895522387,0.47558386411889597,0.5281767955801105,0.43243243243243246
