,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
251,-0.5338649740165168,-0.2282445963911305,-0.39955557420633386,0.806374395773677,0.287556190515196,-0.05612478753747918,-0.6340502805652033,-0.1514849214391829,-0.2373869518271144,0.13694702806822928,0.23925414154186778,-0.6081602632609894,0.38726036225953014,0.0815346410759938,-0.023765763108934287,-0.06597602136302079,-0.000256725361241635,0.09157102323732506
2500,0.5840553403985603,-0.6376258908137366,1.276849716830417,-0.5712108728091257,-0.4253039212116191,0.09753671012517548,0.11735501118078838,-0.2090657217258687,-0.03524626317771912,0.3292297195890801,0.05559912866040793,0.270878787332616,-0.030137811447630548,0.04548683179153536,0.00837135717886629,0.1678224834911293,-0.28308713248514816,0.07081425219507598
1745,-0.6496223344806765,0.06567738789987503,-0.5222772130292888,-0.714989955578864,-0.42928876932078763,-0.02061916441057558,-0.19288079460364987,0.2513441186732379,-0.1392294699945018,-0.05192040875462415,0.02696752298314163,-0.14246837553528266,-0.10145762599108399,0.08418037292272043,0.045458175540200915,0.25614549938073045,0.1882919757742462,-0.08908737066570892
2379,0.8912266907604035,-0.18357023292305175,0.040196590598023704,0.3300116857897653,0.8757238051034899,-0.7193938936552501,-0.20686215099507216,0.037185566622698084,-0.19194935836273683,0.5277948647676544,-0.2157881920124413,0.06808333989127462,-0.1878078391805753,0.41777830943283206,0.051470707126399576,0.08159618220470989,0.061254416782404245,-0.003608605426466439
2528,-0.6832147677818998,-0.19359235655744084,-0.2717814319976689,-0.7503008017853914,0.2805297158311147,0.4226676083151635,-0.2115091279422553,-0.4088392905559643,0.020093914007305237,-0.10378191581867088,-0.01853478046042257,0.20436910572859987,-0.02246790272213361,0.05914659902726721,-0.3618861186960823,-0.2899424827929224,-0.18721393652268117,-0.05863881195729311
1318,-0.694052703865121,0.3880619241522075,-0.3446816834173796,0.5940958569288597,-0.4538937839022486,0.30850932969875633,-0.16284100775698385,0.012495215477597492,-0.16658659963803155,0.020606388881002316,-0.023906152010839198,-0.11102921243722617,0.3409122369822272,0.1407143217907541,-0.10317055419571793,0.15652075457688155,0.16355533210739778,-0.21721230022237795
1786,-0.6708747260502554,-0.2759624422803428,-0.2334884356026202,-0.5811307648147715,0.05647490563547389,0.4134039086018418,0.09488232651215739,-0.7769534624446424,0.0418928114445458,-0.147878796013194,-0.05324883472043316,0.034639199862087425,-0.030901583381123643,0.1018781627721789,-0.2339119598134759,-0.13439793786165105,0.16123080462209302,-0.21857658890419415
583,0.6817131027389964,0.6244584490601032,0.06662790621645058,-0.12555374139800612,0.1229963756073991,-0.12008892153685771,-0.47227652892086425,-0.07659524390430487,-0.09040724319012852,-0.4491436370862662,-0.09669288445609754,-0.2691848084920673,-0.049717649437131126,0.09845607008397723,-0.09621916877991071,0.12011937529783831,-0.0682461207377109,-0.09716867632504474
2106,0.645875124470608,-0.6994990369460156,1.2720299107397275,-0.5033466633253154,-0.47092197843968253,-0.0037715450150768407,0.0024300772415827812,0.1042475380666174,0.8414471512145154,0.27379187192697174,0.39790524454162185,0.05459493393488119,-0.11905946934212051,0.35399557745549903,-0.2538653660637285,-0.06767043129648331,-0.2736115517487115,-0.09715340680273267
3051,-0.6351552595022016,-0.6033253936114533,-0.5968105753694485,-0.5042338312078385,0.43070917911028006,-0.2970040350063457,-0.2093699670973857,0.20257715974995738,-0.22357090311888972,0.15522832835956127,0.2750821925512837,0.5225185235610006,0.21279705453024222,-0.25939974389517373,-0.19232189671673908,0.15902308744837973,0.041427341590004135,0.2145974138835914
3415,-0.6917890989734188,0.6540195623943165,-0.20993521843246565,-0.1087647999835696,0.055293356417375455,-0.09383457737473304,-0.2788447251433271,0.06970218999693285,-0.07488264449510335,-0.17183412013467808,-0.0298390223901017,-0.22030013100612536,-0.01400937846612972,0.010997628870982426,-0.20689042642242927,0.04428547864186528,0.1962034236179846,0.12785021999166696
1339,-0.6478579569298634,-1.0648891522743942,-0.5735511170918346,-0.24480581140012617,0.5952552914691325,-0.05555547137087846,0.2970046767721347,0.661006812769792,0.8318772263588511,-0.5522602071543378,-0.13156929837894502,-0.3385867873516499,0.1536685635301984,-0.2295188721342081,-0.16918484336469894,0.26548887255716463,-0.11380485826618715,0.014224063351705375
1313,-0.8342974071539381,-1.1905663340529145,0.49419999481864246,0.21563067744620015,-0.6707349313107671,-0.24121771163828482,-0.508929412406544,0.24734744351515173,-0.40278133264298993,0.19334785157484236,0.27604242494936465,-0.20962935996603563,0.4105140003466282,0.10087090943725019,-0.26432147074444146,0.033149232834170976,-0.3841931446397091,0.2129770348082219
3512,0.926437889236016,-0.21935954908339172,0.010963887101220437,0.17583584256322124,0.8348790115266193,-0.4478755985793632,-0.4385927236630274,0.026638211420155374,0.271693479263568,0.2192203599373973,-0.3837534378013848,-0.5308450948640573,0.2904714769647607,-0.669783635398579,-0.07987499350025296,-0.19445191074457593,-0.1238608033499473,-0.11065331598258796
3736,-0.7010052080834677,-0.2678868861899578,-0.305596726697367,0.38381408462169714,0.9991520048386671,-0.47768497610827054,0.2987777957021995,0.5408648254531085,-0.42176746970758766,-0.3377316039819692,-0.26431005583820055,-0.09405781072721035,-0.20217702191290896,0.419258466672174,-0.06319133109881071,-0.22715573295017424,0.09004377077768938,-0.010044177204365368
2965,0.8486829047462451,-0.4924099340545966,-0.30674501193498155,-0.12711621992836272,-0.21133774646199424,0.7205189428775036,-0.45297092612565426,0.16561423294577177,0.1717641790446498,0.17068103173911225,-0.6837606145304407,0.09833089242913236,0.559668009386995,-0.28228922409228063,-0.06736800096431371,0.1884944142916668,-0.07769336319150792,-0.08893410522437291
947,-0.714208896077003,0.711583217756905,-0.2681561826132691,-0.05707868686471926,-0.27132694865965906,-0.2886424683147485,0.06846467181950325,0.2862349563219012,-0.06319889198862652,0.04533052155051193,0.056049253174525845,-0.07339896410645928,-0.030666530336368496,-0.07663776692568178,-0.13470056832229493,0.042790989434067735,-0.11109335556848283,0.046787237915866975
3634,-0.7278919190954763,0.5914519959352067,-0.15305248371143407,-0.09129649495547014,0.127681452889638,-0.045618699050594035,0.014147803685890949,0.03502690309107697,-0.010673269663134026,0.05694687488190493,0.028234494824928402,0.16479394661373895,0.021844314711688583,-0.08275184612139656,-0.19999073452058447,-0.07064019490272527,-0.25274132640247277,0.17201229838175552
2756,-0.7238676558502201,0.5624960283429391,-0.15288514732951416,-0.11531099995259235,0.24703265233463384,0.028489047436478572,-0.04037468889784274,0.11078714563996978,-0.018151298590702022,0.09008459274670529,0.01568086733017781,0.33724453496140866,0.05288903380140502,-0.12927281486551268,0.1451307142282537,0.07628080835471308,-0.15472532573312797,-0.08313217223985979
3419,-0.7266288814318683,0.49047775672813937,-0.07159417898873596,-0.07701503426138485,0.33162628751904544,0.11845087311222792,-0.027810811207466764,-0.2708623558779163,0.03881607843791289,-0.05113930178090748,-0.02306411556231134,0.18001743077238472,0.027997498219483517,-0.07226950565769315,-0.17773906451649807,-0.07243017035509908,-0.039903837283982876,-0.002053090534873869
2939,-0.6500914546717098,-0.05438440695854176,-0.40292806527705377,-0.7870187234684265,0.0688036211033422,0.25554982213702143,-0.28724938414536605,0.05848422707690734,-0.06591166952535224,-0.02794631803172958,0.01768705067433169,0.1976977845639292,0.004807069780193804,0.013735345627227223,-0.22465491158483022,-0.17601115150127405,0.01313106006850674,0.10336190985832065
1055,0.6642612981273963,-0.07860526391659066,-0.20442216976807306,-0.5899594196495943,-0.3986136032679356,0.01784045589230953,-0.03387776706998823,-0.30444812456560977,-0.11077653526198306,-0.3959897196139087,-0.08796018789906775,0.01830041126319503,-0.05782846933177294,0.18343987454350422,0.32365491612296743,0.10064162620560278,-0.24265316223759636,0.13329955648054576
1671,0.6665721144205402,-0.1721365462988389,-0.14385242041188193,-0.5163616182382855,-0.3782447046703361,0.10950646348765755,0.35402319488591344,-0.4068667790849506,-0.022528183740996206,-0.23760449983906778,-0.036310653601466666,0.43423206638024187,0.0542187250484148,-0.019316662433478956,0.34998667612028556,-0.1552316078820404,0.0250121192111905,0.020007188782063094
775,-0.6589161743069486,-0.2727729366999242,-0.3692084442880416,-0.516172813271345,-0.12227839076568886,0.2062557551314008,0.19560332375646616,-0.04003910928717707,0.863497503610687,-0.031080738559223626,0.32195450181377383,0.4011236263264741,0.007507467410960681,0.2660275780932586,0.01216036477472884,-0.2682254169117486,-0.12719129231773407,-0.07975010815867416
