[Iter 49] UMAP-Gower: n_n=15, min_d=0.5, spread=5 -> DBSCAN eps=10, min_s=3 (silhouette=0.781)
[Iter 50] UMAP-Gower: n_n=15, min_d=0.5, spread=15 -> DBSCAN eps=10, min_s=15 (silhouette=0.673)
[Iter 51] UMAP-Gower: n_n=15, min_d=2, spread=2 -> DBSCAN eps=10, min_s=100 (silhouette=0.660)
[Iter 52] UMAP-Gower: n_n=15, min_d=2, spread=5 -> DBSCAN eps=2, min_s=5 (silhouette=0.738)
[Iter 53] UMAP-Gower: n_n=15, min_d=2, spread=15 -> DBSCAN eps=10, min_s=15 (silhouette=0.646)
[Iter 54] UMAP-Gower: n_n=15, min_d=10, spread=15 -> DBSCAN eps=10, min_s=15 (silhouette=0.534)
[Iter 55] UMAP-Gower: n_n=50, min_d=0.01, spread=0.3 -> DBSCAN eps=2, min_s=3 (silhouette=0.905)
[Iter 56] UMAP-Gower: n_n=50, min_d=0.01, spread=0.5 -> DBSCAN eps=10, min_s=3 (silhouette=0.913)
[Iter 57] UMAP-Gower: n_n=50, min_d=0.01, spread=2 -> DBSCAN eps=0.5, min_s=5 (silhouette=0.879)
[Iter 58] UMAP-Gower: n_n=50, min_d=0.01, spread=5 -> DBSCAN eps=10, min_s=3 (silhouette=0.856)
[Iter 59] UMAP-Gower: n_n=50, min_d=0.01, spread=15 -> DBSCAN eps=10, min_s=5 (silhouette=0.720)
[Iter 60] UMAP-Gower: n_n=50, min_d=0.1, spread=0.3 -> DBSCAN eps=2, min_s=3 (silhouette=0.818)
[Iter 61] UMAP-Gower: n_n=50, min_d=0.1, spread=0.5 -> DBSCAN eps=2, min_s=3 (silhouette=0.827)
[Iter 62] UMAP-Gower: n_n=50, min_d=0.1, spread=2 -> DBSCAN eps=10, min_s=3 (silhouette=0.854)
[Iter 63] UMAP-Gower: n_n=50, min_d=0.1, spread=5 -> DBSCAN eps=10, min_s=3 (silhouette=0.826)
[Iter 64] UMAP-Gower: n_n=50, min_d=0.1, spread=15 -> DBSCAN eps=10, min_s=5 (silhouette=0.747)
[Iter 65] UMAP-Gower: n_n=50, min_d=0.5, spread=0.5 -> DBSCAN eps=2, min_s=3 (silhouette=0.738)
[Iter 66] UMAP-Gower: n_n=50, min_d=0.5, spread=2 -> DBSCAN eps=10, min_s=50 (silhouette=0.869)
[Iter 67] UMAP-Gower: n_n=50, min_d=0.5, spread=5 -> DBSCAN eps=2, min_s=3 (silhouette=0.791)
[Iter 68] UMAP-Gower: n_n=50, min_d=0.5, spread=15 -> DBSCAN eps=10, min_s=15 (silhouette=0.742)
[Iter 69] UMAP-Gower: n_n=50, min_d=2, spread=2 -> DBSCAN eps=10, min_s=3 (silhouette=0.752)
[Iter 70] UMAP-Gower: n_n=50, min_d=2, spread=5 -> DBSCAN eps=10, min_s=50 (silhouette=0.751)
[Iter 71] UMAP-Gower: n_n=50, min_d=2, spread=15 -> DBSCAN eps=10, min_s=15 (silhouette=0.703)
[Iter 72] UMAP-Gower: n_n=50, min_d=10, spread=15 -> DBSCAN eps=10, min_s=15 (silhouette=0.607)
[Iter 73] UMAP-Gower: n_n=100, min_d=0.01, spread=0.3 -> DBSCAN eps=2, min_s=3 (silhouette=0.899)
[Iter 74] UMAP-Gower: n_n=100, min_d=0.01, spread=0.5 -> DBSCAN eps=2, min_s=3 (silhouette=0.907)
[Iter 75] UMAP-Gower: n_n=100, min_d=0.01, spread=2 -> DBSCAN eps=10, min_s=3 (silhouette=0.892)
[Iter 76] UMAP-Gower: n_n=100, min_d=0.01, spread=5 -> DBSCAN eps=10, min_s=3 (silhouette=0.833)
[Iter 77] UMAP-Gower: n_n=100, min_d=0.01, spread=15 -> DBSCAN eps=10, min_s=50 (silhouette=0.704)
[Iter 78] UMAP-Gower: n_n=100, min_d=0.1, spread=0.3 -> DBSCAN eps=0.5, min_s=15 (silhouette=0.835)
[Iter 79] UMAP-Gower: n_n=100, min_d=0.1, spread=0.5 -> DBSCAN eps=2, min_s=3 (silhouette=0.868)
[Iter 80] UMAP-Gower: n_n=100, min_d=0.1, spread=2 -> DBSCAN eps=10, min_s=3 (silhouette=0.889)
[Iter 81] UMAP-Gower: n_n=100, min_d=0.1, spread=5 -> DBSCAN eps=10, min_s=3 (silhouette=0.811)
[Iter 82] UMAP-Gower: n_n=100, min_d=0.1, spread=15 -> DBSCAN eps=10, min_s=50 (silhouette=0.690)
[Iter 83] UMAP-Gower: n_n=100, min_d=0.5, spread=0.5 -> DBSCAN eps=0.5, min_s=3 (silhouette=0.691)
[Iter 84] UMAP-Gower: n_n=100, min_d=0.5, spread=2 -> DBSCAN eps=10, min_s=3 (silhouette=0.847)
[Iter 85] UMAP-Gower: n_n=100, min_d=0.5, spread=5 -> DBSCAN eps=10, min_s=3 (silhouette=0.819)
[Iter 86] UMAP-Gower: n_n=100, min_d=0.5, spread=15 -> DBSCAN eps=10, min_s=50 (silhouette=0.718)
[Iter 87] UMAP-Gower: n_n=100, min_d=2, spread=2 -> DBSCAN eps=10, min_s=3 (silhouette=0.822)
[Iter 88] UMAP-Gower: n_n=100, min_d=2, spread=5 -> DBSCAN eps=10, min_s=3 (silhouette=0.733)
[Iter 89] UMAP-Gower: n_n=100, min_d=2, spread=15 -> DBSCAN eps=10, min_s=50 (silhouette=0.664)
[Iter 90] UMAP-Gower: n_n=100, min_d=10, spread=15 -> DBSCAN eps=10, min_s=15 (silhouette=0.564)
