outcome,component,component_number,feature,loading,abs_loading,explained_variance_ratio_component,explained_variance_percent_component,cumulative_variance_percent_at_component,domain
victimization,PC1,1,GENERO.BN0,0.4933273059078343,0.4933273059078343,0.2203672784095051,22.036727840950515,22.036727840950515,Sociodemographic indicators
victimization,PC1,1,GENERO.BN1,-0.4933273059078339,0.4933273059078339,0.2203672784095051,22.036727840950515,22.036727840950515,Sociodemographic indicators
victimization,PC1,1,PORNO.T,0.2128921307689877,0.2128921307689877,0.2203672784095051,22.036727840950515,22.036727840950515,Other
victimization,PC1,1,ORIENTSEX.BN0,0.0921450708098245,0.0921450708098245,0.2203672784095051,22.036727840950515,22.036727840950515,Sociodemographic indicators
victimization,PC1,1,ORIENTSEX.BN1,-0.0921450708098245,0.0921450708098245,0.2203672784095051,22.036727840950515,22.036727840950515,Sociodemographic indicators
victimization,PC1,1,AUTOEFIC.MEAN,0.0436798579915107,0.0436798579915107,0.2203672784095051,22.036727840950515,22.036727840950515,Self-efficacy
victimization,PC1,1,MORAL.MEAN,-0.0367669117875108,0.0367669117875108,0.2203672784095051,22.036727840950515,22.036727840950515,Moral domain
victimization,PC1,1,CONVIVEN_H,-0.0316735093534291,0.0316735093534291,0.2203672784095051,22.036727840950515,22.036727840950515,Household composition
victimization,PC2,2,CONVIVEN_H,0.3428200084431438,0.3428200084431438,0.110667462540076,11.066746254007608,33.10347409495812,Household composition
victimization,PC2,2,CONVIVEN.2,0.2740702793340697,0.2740702793340697,0.110667462540076,11.066746254007608,33.10347409495812,Household composition
victimization,PC2,2,ORIENTSEX.BN0,0.1243572950922953,0.1243572950922953,0.110667462540076,11.066746254007608,33.10347409495812,Sociodemographic indicators
victimization,PC2,2,ORIENTSEX.BN1,-0.1243572950922953,0.1243572950922953,0.110667462540076,11.066746254007608,33.10347409495812,Sociodemographic indicators
victimization,PC2,2,ETNIA.BN,-0.1023559254309708,0.1023559254309708,0.110667462540076,11.066746254007608,33.10347409495812,Sociodemographic indicators
victimization,PC2,2,FUGAS.BN,-0.0858807668947189,0.0858807668947189,0.110667462540076,11.066746254007608,33.10347409495812,Running away
victimization,PC2,2,CONVIVEN.1,0.0847664891416937,0.0847664891416937,0.110667462540076,11.066746254007608,33.10347409495812,Household composition
victimization,PC2,2,PAÍS,0.0657177778343612,0.0657177778343612,0.110667462540076,11.066746254007608,33.10347409495812,Sociodemographic indicators
victimization,PC3,3,ORIENTSEX.BN0,0.2895265966000471,0.2895265966000471,0.0899506921706588,8.995069217065888,42.09854331202401,Sociodemographic indicators
victimization,PC3,3,ORIENTSEX.BN1,-0.2895265966000471,0.2895265966000471,0.0899506921706588,8.995069217065888,42.09854331202401,Sociodemographic indicators
victimization,PC3,3,CONVIVEN_H,-0.134161016436704,0.134161016436704,0.0899506921706588,8.995069217065888,42.09854331202401,Household composition
victimization,PC3,3,CONVIVEN.2,-0.106571020049882,0.106571020049882,0.0899506921706588,8.995069217065888,42.09854331202401,Household composition
victimization,PC3,3,PORNO.T,-0.083886811588877,0.083886811588877,0.0899506921706588,8.995069217065888,42.09854331202401,Other
victimization,PC3,3,ETNIA.BN,0.0817852385380059,0.0817852385380059,0.0899506921706588,8.995069217065888,42.09854331202401,Sociodemographic indicators
victimization,PC3,3,GENERO.BN1,0.0438654957733912,0.0438654957733912,0.0899506921706588,8.995069217065888,42.09854331202401,Sociodemographic indicators
victimization,PC3,3,GENERO.BN0,-0.0438654957733878,0.0438654957733878,0.0899506921706588,8.995069217065888,42.09854331202401,Sociodemographic indicators
victimization,PC4,4,ETNIA.BN,0.2852994473544626,0.2852994473544626,0.0849724880256118,8.497248802561183,50.595792114585194,Sociodemographic indicators
victimization,PC4,4,CONVIVEN_H,0.2709616461077742,0.2709616461077742,0.0849724880256118,8.497248802561183,50.595792114585194,Household composition
victimization,PC4,4,PAÍS,-0.140860269452952,0.140860269452952,0.0849724880256118,8.497248802561183,50.595792114585194,Sociodemographic indicators
victimization,PC4,4,CONVIVEN.2,-0.1328011935146323,0.1328011935146323,0.0849724880256118,8.497248802561183,50.595792114585194,Household composition
victimization,PC4,4,CONVIVEN.3,0.0602252360963059,0.0602252360963059,0.0849724880256118,8.497248802561183,50.595792114585194,Household composition
victimization,PC4,4,APOYO.MEDIAN,-0.0589635376251946,0.0589635376251946,0.0849724880256118,8.497248802561183,50.595792114585194,Social support
victimization,PC4,4,APOYO.VAR,0.0569739609988844,0.0569739609988844,0.0849724880256118,8.497248802561183,50.595792114585194,Social support
victimization,PC4,4,APOYO.MEAN,-0.0520980863398945,0.0520980863398945,0.0849724880256118,8.497248802561183,50.595792114585194,Social support
victimization,PC5,5,EDAD,0.1900261003699185,0.1900261003699185,0.0683598217309426,6.835982173094263,57.431774287679445,Sociodemographic indicators
victimization,PC5,5,ABUSOSUBS1,0.1890098706516408,0.1890098706516408,0.0683598217309426,6.835982173094263,57.431774287679445,Substance use
victimization,PC5,5,FUGAS.BN,0.1312959823676212,0.1312959823676212,0.0683598217309426,6.835982173094263,57.431774287679445,Running away
victimization,PC5,5,CONVIVEN.2,-0.128319234180769,0.128319234180769,0.0683598217309426,6.835982173094263,57.431774287679445,Household composition
victimization,PC5,5,CONVIVEN_H,0.1239543393742519,0.1239543393742519,0.0683598217309426,6.835982173094263,57.431774287679445,Household composition
victimization,PC5,5,ABUSOSUBS2,0.1221699454480455,0.1221699454480455,0.0683598217309426,6.835982173094263,57.431774287679445,Substance use
victimization,PC5,5,ETNIA.BN,-0.1100080984155497,0.1100080984155497,0.0683598217309426,6.835982173094263,57.431774287679445,Sociodemographic indicators
victimization,PC5,5,PORNO.T,0.0875136917755014,0.0875136917755014,0.0683598217309426,6.835982173094263,57.431774287679445,Other
victimization,PC6,6,CONVIVEN.2,0.2280303955029858,0.2280303955029858,0.0579271653705427,5.792716537054275,63.22449082473373,Household composition
victimization,PC6,6,ETNIA.BN,0.1787780291243263,0.1787780291243263,0.0579271653705427,5.792716537054275,63.22449082473373,Sociodemographic indicators
victimization,PC6,6,FUGAS.BN,0.1109886861179108,0.1109886861179108,0.0579271653705427,5.792716537054275,63.22449082473373,Running away
victimization,PC6,6,EDAD,0.1082315103880374,0.1082315103880374,0.0579271653705427,5.792716537054275,63.22449082473373,Sociodemographic indicators
victimization,PC6,6,CONVIVEN.3,-0.1010816941643012,0.1010816941643012,0.0579271653705427,5.792716537054275,63.22449082473373,Household composition
victimization,PC6,6,ABUSOSUBS1,0.0861036883485245,0.0861036883485245,0.0579271653705427,5.792716537054275,63.22449082473373,Substance use
victimization,PC6,6,CONVIVEN_H,-0.0784522650541431,0.0784522650541431,0.0579271653705427,5.792716537054275,63.22449082473373,Household composition
victimization,PC6,6,PAÍS,-0.0677069343111032,0.0677069343111032,0.0579271653705427,5.792716537054275,63.22449082473373,Sociodemographic indicators
victimization,PC7,7,FUGAS.BN,0.1964090291504359,0.1964090291504359,0.0480912599184775,4.809125991847751,68.03361681658147,Running away
victimization,PC7,7,EDAD,-0.1689365066312795,0.1689365066312795,0.0480912599184775,4.809125991847751,68.03361681658147,Sociodemographic indicators
victimization,PC7,7,APOYO.MEDIAN,-0.1229675765802238,0.1229675765802238,0.0480912599184775,4.809125991847751,68.03361681658147,Social support
victimization,PC7,7,APOYO.MEAN,-0.1032235541298041,0.1032235541298041,0.0480912599184775,4.809125991847751,68.03361681658147,Social support
victimization,PC7,7,APOYO.VAR,0.1004907390657655,0.1004907390657655,0.0480912599184775,4.809125991847751,68.03361681658147,Social support
