outcome,component,component_number,explained_variance_ratio,explained_variance_percent,cumulative_variance_ratio,cumulative_variance_percent
overlap,PC4,4,0.0832988129466532,8.33%,0.5016993211390145,50.17%
overlap,PC5,5,0.0682113209408058,6.82%,0.5699106420798203,56.99%
overlap,PC6,6,0.0589640664568404,5.90%,0.6288747085366607,62.89%
overlap,PC7,7,0.0468790980613777,4.69%,0.6757538065980384,67.58%
overlap,PC8,8,0.0407583711213823,4.08%,0.7165121777194208,71.65%
overlap,PC9,9,0.034136789474835,3.41%,0.7506489671942558,75.06%
overlap,PC10,10,0.0317381476058911,3.17%,0.7823871148001469,78.24%
overlap,PC11,11,0.0296100363624749,2.96%,0.8119971511626218,81.20%
overlap,PC12,12,0.0255245099287509,2.55%,0.8375216610913728,83.75%
overlap,PC13,13,0.0224557643429507,2.25%,0.8599774254343235,86.00%
overlap,PC14,14,0.0208802458187525,2.09%,0.8808576712530761,88.09%
overlap,PC15,15,0.0204913761042978,2.05%,0.901349047357374,90.13%
overlap,PC16,16,0.0177452429514311,1.77%,0.9190942903088052,91.91%
overlap,PC17,17,0.0165385789281134,1.65%,0.9356328692369184,93.56%
overlap,PC18,18,0.0144058087313565,1.44%,0.950038677968275,95.00%
overlap,PC19,19,0.0134127984844527,1.34%,0.9634514764527278,96.35%
overlap,PC20,20,0.0099461690075012,0.99%,0.973397645460229,97.34%
overlap,PC21,21,0.0095534852440139,0.96%,0.982951130704243,98.30%
overlap,PC22,22,0.0079489636652724,0.79%,0.9909000943695154,99.09%
overlap,PC23,23,0.0064571728950649,0.65%,0.9973572672645804,99.74%
overlap,PC24,24,0.0015673267502565,0.16%,0.998924594014837,99.89%
overlap,PC25,25,0.0010754059851597,0.11%,0.9999999999999968,100.00%
overlap,PC26,26,3.0824680785425626e-15,0.00%,0.9999999999999998,100.00%
overlap,PC27,27,2.5013836675898285e-18,0.00%,0.9999999999999998,100.00%
