Analysis,Selected artefact,Sample n,Selected iteration,Dimensionality reduction,UMAP n_neighbors,UMAP min_dist,UMAP spread,Clustering algorithm,DBSCAN eps,DBSCAN min_samples,Number of clusters,Silhouette,Cross-tab available,Interpretive note
Victimization clustering,comb_56,4024,56,UMAP with Gower distance,50,0.01,0.5,DBSCAN,10,3,9,0.913,PERPETRADOR status by victimization cluster,Use for cluster sizes and perpetration enrichment. Substantive labels require item-level profiles.
Perpetration clustering,comb_130,4024,130,UMAP with Gower distance,100,0.01,0.5,DBSCAN,10,3,5,0.93,VÍCTIMA status by perpetration cluster,Use for cluster sizes and victimization enrichment. Substantive labels require item-level profiles. Iteration 130 selected; iteration 131 tied on silhouette but is not the artefact provided.
