outcome,n,positives,negatives,prevalence,mean_predicted_probability,brier_score,brier_reference_prevalence_model,brier_skill_score,roc_auc,average_precision_pr_auc,threshold_for_validation,TP,FP,TN,FN,matches_official_operating_point
victimization,942,465,477,0.49363057324840764,0.49720090244289433,0.23067550393751896,0.2499594304028561,0.07714822535103993,0.6342012127769888,0.5880607408346172,0.5,405,329,148,60,True
perpetration,942,221,721,0.2346072186836518,0.5747039369337118,0.2802442866314283,0.17956667162517298,-0.5606698286217029,0.6950690657144113,0.3984508426195649,0.5,202,504,217,19,True
overlap,942,178,764,0.18895966029723993,0.551835355267334,0.2686257576994871,0.15325390707759162,-0.7528150689396997,0.7536252132478382,0.4335309108027502,0.523164,144,355,409,34,True
