strategy,n,positives,negatives,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,fpr,fnr,auc_pr,auc_roc,ccp_alpha,depth,n_leaves
victim_tree_candidate,942,465,477,260,195,282,205,0.5591397849462365,0.5911949685534591,0.5714285714285714,0.5790554414784395,0.5751673767498477,0.5652173913043478,0.5753715498938429,0.4088050314465409,0.44086021505376344,0.5371305292201121,0.5751673767498479,0.0,26,511
victim_tree_candidate,942,465,477,260,195,282,205,0.5591397849462365,0.5911949685534591,0.5714285714285714,0.5790554414784395,0.5751673767498477,0.5652173913043478,0.5753715498938429,0.4088050314465409,0.44086021505376344,0.5377997593119845,0.5763237979306147,0.0003185840707964603,26,509
victim_tree_candidate,942,465,477,260,195,282,205,0.5591397849462365,0.5911949685534591,0.5714285714285714,0.5790554414784395,0.5751673767498477,0.5652173913043478,0.5753715498938429,0.4088050314465409,0.44086021505376344,0.5379690574591127,0.5769527287482248,0.0003267528931245744,26,507
victim_tree_candidate,942,465,477,260,195,282,205,0.5591397849462365,0.5911949685534591,0.5714285714285714,0.5790554414784395,0.5751673767498477,0.5652173913043478,0.5753715498938429,0.4088050314465409,0.44086021505376344,0.5381298004593873,0.5757782737088883,0.00032869785082174474,26,505
victim_tree_candidate,942,465,477,260,195,282,205,0.5591397849462365,0.5911949685534591,0.5714285714285714,0.5790554414784395,0.5751673767498477,0.5652173913043478,0.5753715498938429,0.4088050314465409,0.44086021505376344,0.5372544628413274,0.5750456482045039,0.000331858407079646,26,503
victim_tree_candidate,942,465,477,260,195,282,205,0.5591397849462365,0.5911949685534591,0.5714285714285714,0.5790554414784395,0.5751673767498477,0.5652173913043478,0.5753715498938429,0.4088050314465409,0.44086021505376344,0.5376628837739531,0.5715222830864949,0.00033252882810404927,26,495
victim_tree_candidate,942,465,477,260,195,282,205,0.5591397849462365,0.5911949685534591,0.5714285714285714,0.5790554414784395,0.5751673767498477,0.5652173913043478,0.5753715498938429,0.4088050314465409,0.44086021505376344,0.5392594609430849,0.575834629516918,0.0003331598125976055,26,491
victim_tree_candidate,942,465,477,260,195,282,205,0.5591397849462365,0.5911949685534591,0.5714285714285714,0.5790554414784395,0.5751673767498477,0.5652173913043478,0.5753715498938429,0.4088050314465409,0.44086021505376344,0.5332290473235551,0.5707287933094385,0.00033431661750245827,26,487
victim_tree_candidate,942,465,477,261,195,282,204,0.5612903225806452,0.5911949685534591,0.5723684210526315,0.5802469135802469,0.5762426455670522,0.5667752442996742,0.5764331210191083,0.4088050314465409,0.43870967741935485,0.5320477212637709,0.5702734383805594,0.0003371260008428151,26,483
victim_tree_candidate,942,465,477,261,196,281,204,0.5612903225806452,0.589098532494759,0.5711159737417943,0.5793814432989691,0.5751944275377021,0.5661605206073753,0.5753715498938429,0.4109014675052411,0.43870967741935485,0.5339188728212738,0.571229232884741,0.0003382497541789577,26,479
victim_tree_candidate,942,465,477,261,196,281,204,0.5612903225806452,0.589098532494759,0.5711159737417943,0.5793814432989691,0.5751944275377021,0.5661605206073753,0.5753715498938429,0.4109014675052411,0.43870967741935485,0.533433677103768,0.5708550303194246,0.00034036759700476534,26,477
victim_tree_candidate,942,465,477,261,196,281,204,0.5612903225806452,0.589098532494759,0.5711159737417943,0.5793814432989691,0.5751944275377021,0.5661605206073753,0.5753715498938429,0.4109014675052411,0.43870967741935485,0.5341088347404845,0.5704334888753636,0.00034256351698544083,26,475
victim_tree_candidate,942,465,477,261,196,281,204,0.5612903225806452,0.589098532494759,0.5711159737417943,0.5793814432989691,0.5751944275377021,0.5661605206073753,0.5753715498938429,0.4109014675052411,0.43870967741935485,0.5318989747750136,0.5687563400284034,0.0003432555644945023,26,473
victim_tree_candidate,942,465,477,261,195,282,204,0.5612903225806452,0.5911949685534591,0.5723684210526315,0.5802469135802469,0.5762426455670522,0.5667752442996742,0.5764331210191083,0.4088050314465409,0.43870967741935485,0.5334004662703888,0.5699555916232727,0.0003435710567412805,26,471
victim_tree_candidate,942,465,477,261,195,282,204,0.5612903225806452,0.5911949685534591,0.5723684210526315,0.5802469135802469,0.5762426455670522,0.5667752442996742,0.5764331210191083,0.4088050314465409,0.43870967741935485,0.5344516561207804,0.5719844007123374,0.0003438685208596713,26,469
victim_tree_candidate,942,465,477,263,195,282,202,0.5655913978494623,0.5911949685534591,0.574235807860262,0.5826446280991735,0.5783931832014607,0.5698808234019501,0.578556263269639,0.4088050314465409,0.4344086021505376,0.531724679032002,0.5711458262888574,0.0003441494591937071,26,467
victim_tree_candidate,942,465,477,263,195,282,202,0.5655913978494623,0.5911949685534591,0.574235807860262,0.5826446280991735,0.5783931832014607,0.5698808234019501,0.578556263269639,0.4088050314465409,0.4344086021505376,0.5207637701826844,0.5629607087306419,0.0003446669771774566,26,461
victim_tree_candidate,942,465,477,263,194,283,202,0.5655913978494623,0.5932914046121593,0.5754923413566739,0.5835051546391753,0.5794414012308109,0.5704989154013014,0.5796178343949044,0.40670859538784065,0.4344086021505376,0.5222075245902206,0.5592164288451568,0.00034490583163149506,26,457
victim_tree_candidate,942,465,477,263,194,283,202,0.5655913978494623,0.5932914046121593,0.5754923413566739,0.5835051546391753,0.5794414012308109,0.5704989154013014,0.5796178343949044,0.40670859538784065,0.4344086021505376,0.5222075245902205,0.5567074682716802,0.00034534858622922525,26,455
victim_tree_candidate,942,465,477,264,194,283,201,0.567741935483871,0.5932914046121593,0.5764192139737991,0.5847107438016529,0.5805166700480151,0.5720476706392199,0.5806794055201698,0.40670859538784065,0.432258064516129,0.5193294897886147,0.5539753386984063,0.0003475462590506837,26,451
victim_tree_candidate,942,465,477,263,193,284,202,0.5655913978494623,0.5953878406708596,0.5767543859649122,0.5843621399176955,0.580489619260161,0.5711183496199783,0.5806794055201698,0.40461215932914046,0.4344086021505376,0.5214364276675725,0.5561732152115597,0.00042477876106194687,26,445
victim_tree_candidate,942,465,477,263,191,286,202,0.5655913978494623,0.59958071278826,0.579295154185022,0.5860655737704918,0.5825860553188611,0.5723612622415668,0.5828025477707006,0.40041928721174,0.4344086021505376,0.5235040834991036,0.5581141092400982,0.0004435918064236651,26,442
victim_tree_candidate,942,465,477,263,190,287,202,0.5655913978494623,0.6016771488469602,0.5805739514348786,0.5869120654396728,0.5836342733482113,0.5729847494553377,0.583864118895966,0.39832285115303984,0.4344086021505376,0.5244993845050295,0.5550979463943554,0.0004551201011378002,26,439
victim_tree_candidate,942,465,477,263,190,287,202,0.5655913978494623,0.6016771488469602,0.5805739514348786,0.5869120654396728,0.5836342733482113,0.5729847494553377,0.583864118895966,0.39832285115303984,0.4344086021505376,0.5252432750700566,0.5560311985753252,0.0004614880367092757,26,438
victim_tree_candidate,942,465,477,264,194,283,201,0.567741935483871,0.5932914046121593,0.5764192139737991,0.5847107438016529,0.5805166700480151,0.5720476706392199,0.5806794055201698,0.40670859538784065,0.432258064516129,0.5244225026049847,0.5535966276684475,0.000471976401179941,26,412
victim_tree_candidate,942,465,477,264,193,284,201,0.567741935483871,0.5953878406708596,0.5776805251641138,0.5855670103092784,0.5815648880773653,0.5726681127982647,0.5817409766454352,0.40461215932914046,0.432258064516129,0.5253510041735725,0.5544554901828183,0.0005213193885760256,26,411
victim_tree_candidate,942,465,477,264,194,283,201,0.567741935483871,0.5932914046121593,0.5764192139737991,0.5847107438016529,0.5805166700480151,0.5720476706392199,0.5806794055201698,0.40670859538784065,0.432258064516129,0.5227536895176574,0.552519104618922,0.0005309734513274337,26,396
victim_tree_candidate,942,465,477,264,194,283,201,0.567741935483871,0.5932914046121593,0.5764192139737991,0.5847107438016529,0.5805166700480151,0.5720476706392199,0.5806794055201698,0.40670859538784065,0.432258064516129,0.5227274077960451,0.5524785284371407,0.0005530973451327434,26,394
