strategy,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,victim_threshold,perp_threshold,benchmark_note
"Direct overlap classifier — LogisticRegression_SW_pos1.5, threshold=0.50",139,337,427,39,0.7808988764044944,0.5589005235602095,0.2920168067226891,0.9163090128755365,0.6698996999823519,0.4250764525993884,0.6008492569002123,,,Direct overlap model trained on the dual-role target under the common split.
Smart AND recall-matched — victim≥0.01 AND perp≥0.43,142,357,407,36,0.797752808988764,0.5327225130890052,0.2845691382765531,0.9187358916478555,0.6652376610388846,0.4194977843426883,0.5828025477707006,0.01,0.43,Smart AND threshold pair selected among candidates with recall >= direct-overlap recall.
