[Iter 50] UMAP-Gower: n_n=5, min_d=0.2, spread=15 -> DBSCAN eps=2, min_s=50 (silhouette=0.553)
[Iter 51] UMAP-Gower: n_n=5, min_d=0.5, spread=0.5 -> DBSCAN eps=10, min_s=3 (silhouette=0.652)
[Iter 52] UMAP-Gower: n_n=5, min_d=0.5, spread=2 -> DBSCAN eps=2, min_s=3 (silhouette=0.739)
[Iter 53] UMAP-Gower: n_n=5, min_d=0.5, spread=3 -> DBSCAN eps=2, min_s=15 (silhouette=0.701)
[Iter 54] UMAP-Gower: n_n=5, min_d=0.5, spread=5 -> DBSCAN eps=2, min_s=3 (silhouette=0.775)
[Iter 55] UMAP-Gower: n_n=5, min_d=0.5, spread=15 -> DBSCAN eps=2, min_s=50 (silhouette=0.558)
[Iter 56] UMAP-Gower: n_n=5, min_d=1, spread=2 -> DBSCAN eps=2, min_s=15 (silhouette=0.654)
[Iter 57] UMAP-Gower: n_n=5, min_d=1, spread=3 -> DBSCAN eps=2, min_s=15 (silhouette=0.737)
[Iter 58] UMAP-Gower: n_n=5, min_d=1, spread=5 -> DBSCAN eps=10, min_s=50 (silhouette=0.681)
[Iter 59] UMAP-Gower: n_n=5, min_d=1, spread=15 -> DBSCAN eps=10, min_s=50 (silhouette=0.515)
[Iter 60] UMAP-Gower: n_n=5, min_d=2, spread=2 -> DBSCAN eps=2, min_s=15 (silhouette=0.643)
[Iter 61] UMAP-Gower: n_n=5, min_d=2, spread=3 -> DBSCAN eps=2, min_s=50 (silhouette=0.614)
[Iter 62] UMAP-Gower: n_n=5, min_d=2, spread=5 -> DBSCAN eps=0.1, min_s=3 (silhouette=0.560)
[Iter 63] UMAP-Gower: n_n=5, min_d=2, spread=15 -> DBSCAN eps=10, min_s=100 (silhouette=0.499)
[Iter 64] UMAP-Gower: n_n=5, min_d=10, spread=15 -> DBSCAN eps=10, min_s=50 (silhouette=0.483)
[Iter 65] UMAP-Gower: n_n=15, min_d=0.01, spread=0.3 -> DBSCAN eps=2, min_s=3 (silhouette=0.703)
[Iter 66] UMAP-Gower: n_n=15, min_d=0.01, spread=0.5 -> DBSCAN eps=1, min_s=3 (silhouette=0.880)
[Iter 67] UMAP-Gower: n_n=15, min_d=0.01, spread=2 -> DBSCAN eps=1, min_s=15 (silhouette=0.865)
[Iter 68] UMAP-Gower: n_n=15, min_d=0.01, spread=3 -> DBSCAN eps=10, min_s=3 (silhouette=0.845)
[Iter 69] UMAP-Gower: n_n=15, min_d=0.01, spread=5 -> DBSCAN eps=10, min_s=50 (silhouette=0.822)
[Iter 70] UMAP-Gower: n_n=15, min_d=0.01, spread=15 -> DBSCAN eps=10, min_s=50 (silhouette=0.645)
[Iter 71] UMAP-Gower: n_n=15, min_d=0.1, spread=0.3 -> DBSCAN eps=2, min_s=3 (silhouette=0.691)
[Iter 72] UMAP-Gower: n_n=15, min_d=0.1, spread=0.5 -> DBSCAN eps=0.5, min_s=3 (silhouette=0.805)
[Iter 73] UMAP-Gower: n_n=15, min_d=0.1, spread=2 -> DBSCAN eps=2, min_s=3 (silhouette=0.833)
[Iter 74] UMAP-Gower: n_n=15, min_d=0.1, spread=3 -> DBSCAN eps=10, min_s=3 (silhouette=0.848)
[Iter 75] UMAP-Gower: n_n=15, min_d=0.1, spread=5 -> DBSCAN eps=10, min_s=3 (silhouette=0.791)
[Iter 76] UMAP-Gower: n_n=15, min_d=0.1, spread=15 -> DBSCAN eps=10, min_s=3 (silhouette=0.691)
[Iter 77] UMAP-Gower: n_n=15, min_d=0.2, spread=0.3 -> DBSCAN eps=2, min_s=3 (silhouette=0.676)
[Iter 78] UMAP-Gower: n_n=15, min_d=0.2, spread=0.5 -> DBSCAN eps=0.5, min_s=3 (silhouette=0.830)
[Iter 79] UMAP-Gower: n_n=15, min_d=0.2, spread=2 -> DBSCAN eps=2, min_s=3 (silhouette=0.855)
[Iter 80] UMAP-Gower: n_n=15, min_d=0.2, spread=3 -> DBSCAN eps=10, min_s=3 (silhouette=0.850)
[Iter 81] UMAP-Gower: n_n=15, min_d=0.2, spread=5 -> DBSCAN eps=10, min_s=3 (silhouette=0.834)
[Iter 82] UMAP-Gower: n_n=15, min_d=0.2, spread=15 -> DBSCAN eps=10, min_s=50 (silhouette=0.645)
[Iter 83] UMAP-Gower: n_n=15, min_d=0.5, spread=0.5 -> DBSCAN eps=1, min_s=3 (silhouette=0.742)
[Iter 84] UMAP-Gower: n_n=15, min_d=0.5, spread=2 -> DBSCAN eps=2, min_s=3 (silhouette=0.841)
[Iter 85] UMAP-Gower: n_n=15, min_d=0.5, spread=3 -> DBSCAN eps=10, min_s=3 (silhouette=0.812)
[Iter 86] UMAP-Gower: n_n=15, min_d=0.5, spread=5 -> DBSCAN eps=10, min_s=50 (silhouette=0.781)
